name,Control,H3.3 KD1,RefID
Grm7,K4K27,K4,NM_177328
Islr2,K4K27,K4,NM_001161540
Islr2,K4K27,K4,NM_001161541
Map3k20,K4K27,K4,NM_001164791
Tox3,K4K27,K4K27,NM_172913
Prag1,K4K27,K4,NM_172911
Dlgap2,K4K27,K4K27,NM_172910
Mrs2,K4K27,K4,NM_001013389
Mir615,K4K27,K4K27,NR_030526
Lrp2,K4K27,K4K27,NM_001081088
Homer2,K4K27,K4K27,NM_011983
Wdr93,K4K27,K4,NM_001037927
Ptpn9,K4K27,K4,NM_019651
Ugt8a,K4K27,K4,NM_011674
Uchl1,K4K27,K4K27,NM_011670
Kif21a,K4K27,K4,NM_001109040
Sox1,K4K27,K4K27,NM_009233
Sox18,K4K27,K4,NM_009236
Ptpn5,K4K27,K4K27,NM_001163565
Fam102b,K4K27,K4K27,NM_001163567
Rnf219,K4K27,K4K27,NM_026047
Man1a,K4K27,K4,NM_008548
Smad6,K4K27,K4,NM_008542
Grin3a,K4K27,K4,NM_001033351
Iqsec3,K4K27,K4K27,NM_001033354
Fgfr1,K4K27,K4,NM_010206
1110017D15Rik,K4K27,K4,NM_028624
Npnt,K4K27,K4,NM_033525
Laptm4b,K4K27,K4K27,NM_033521
Rbm46,K4K27,K4K27,NM_001146328
Tpbg,K4K27,K4K27,NM_001164792
Cdh6,K4K27,K4K27,NM_007666
Cdh8,K4K27,K4,NM_007667
Cdh2,K4K27,K4K27,NM_007664
Cables1,K4K27,K4,NM_022021
Cd34,K4K27,K4,NM_001111059
Sntb1,K4K27,K4K27,NM_016667
Rab15,K4K27,K4,NM_134050
Egfr,K4K27,K4,NM_207655
Efna5,K4K27,K4K27,NM_207654
Arhgap24,K4K27,K4,NM_029270
Nop14,K4K27,K4,NM_029278
Kcnh7,K4K27,K4K27,NM_133207
Spsb4,K4K27,K4,NM_145134
Tifa,K4K27,K4K27,NM_145133
Boll,K4K27,K4K27,NM_001113367
Dnm3,K4K27,K4,NM_172646
Sall3,K4K27,K4K27,NM_178280
Piezo2,K4K27,K4K27,NM_001039485
Kcnj10,K4K27,K4K27,NM_001039484
Inpp5f,K4K27,K4,NM_178641
Oaf,K4K27,K4,NM_178644
Smc1b,K4K27,K4,NM_080470
Dchs1,K4K27,K4K27,NM_001162943
Zdhhc2,K4K27,K4K27,NM_178395
Nr3c1,K4K27,K4,NM_008173
Grin2b,K4K27,K4,NM_008171
Grin2a,K4K27,K4,NM_008170
Grm8,K4K27,K4K27,NM_008174
Gsx1,K4K27,K4K27,NM_008178
Nrxn1,K4K27,K4,NM_177284
Plekhg3,K4K27,K4,NM_153804
Hoxb7,K4K27,K4K27,NM_010460
Hoxb8,K4K27,K4K27,NM_010461
Hoxc10,K4K27,K4K27,NM_010462
Hoxc12,K4K27,K4K27,NM_010463
Hoxc13,K4K27,K4K27,NM_010464
Hoxc6,K4K27,K4K27,NM_010465
Hoxc8,K4K27,K4K27,NM_010466
Hoxd1,K4K27,K4K27,NM_010467
Hoxd3,K4K27,K4K27,NM_010468
Hoxd4,K4K27,K4,NM_010469
Fev,K4K27,K4K27,NM_153111
St5,K4K27,K4,NM_001001326
Pex2,K4K27,K4K27,NM_008994
Cdkn2a,K4K27,K4K27,NM_001040654
Anxa3,K4K27,K4,NM_013470
Lemd1,K4K27,K4,NM_001033250
Arfgef3,K4K27,K4,NM_001033258
Kcnq2,K4K27,K4,NM_001006676
Kcnq2,K4K27,K4,NM_001006677
Kcnq2,K4K27,K4,NM_001006674
Kcnq2,K4K27,K4,NM_001006675
Kcnq2,K4K27,K4,NM_001006678
Kcnq2,K4K27,K4,NM_001006679
Amigo1,K4K27,K4,NM_001004293
Gatm,K4K27,K4K27,NM_025961
Pou4f1,K4K27,K4K27,NM_011143
Arfgef1,K4K27,K4K27,NM_001102430
Gjc1,K4K27,K4,NM_001159383
Gjc1,K4K27,K4,NM_001159382
Rfx6,K4K27,K4K27,NM_001159389
Glis1,K4K27,K4K27,NM_147221
Dscam,K4K27,K4,NM_031174
Smad4,K4K27,K4,NM_008540
Fgf14,K4K27,K4,NM_010201
Fgf5,K4K27,K4K27,NM_010203
Scn1b,K4K27,K4,NM_011322
Celsr2,K4K27,K4,NM_017392
Alk,K4K27,K4,NM_007439
Homer2,K4K27,K4K27,NM_001164086
Tbx18,K4K27,K4K27,NM_023814
Camk2d,K4K27,K4K27,NM_023813
Adcy2,K4K27,K4,NM_153534
Col15a1,K4K27,K4K27,NM_009928
Vcan,K4K27,K4,NM_001081249
Cobll1,K4K27,K4K27,NM_027225
Nkx6-2,K4K27,K4K27,NR_027857
2900005J15Rik,K4K27,K4,NR_027851
Fam241a,K4K27,K4K27,NM_027482
Fam189a1,K4K27,K4K27,NM_183087
Wt1,K4K27,K4K27,NM_144783
Acat1,K4K27,K4,NM_144784
9530036O11Rik,K4K27,K4K27,NR_015562
C130071C03Rik,K4K27,K4K27,NR_015561
Rspo3,K4K27,K4K27,NM_028351
Scube2,K4K27,K4,NM_020052
Tmem169,K4K27,K4,NM_175564
Pak6,K4K27,K4,NM_001145854
Lrp4,K4K27,K4K27,NM_001145857
Chrm3,K4K27,K4K27,NM_033269
Gm5088,K4K27,K4,NR_002862
Emx2os,K4K27,K4K27,NR_002863
Dio3os,K4K27,K4,NR_002866
Pax6os1,K4K27,K4K27,NR_002867
Vps13a,K4K27,K4,NM_173028
Pank4,K4K27,K4,NM_172990
Ppp2r2c,K4K27,K4,NM_172994
Zswim5,K4K27,K4K27,NM_001029912
Parp8,K4K27,K4K27,NM_001081009
Pou3f2,K4K27,K4K27,NM_008899
Mab21l1,K4K27,K4K27,NM_010750
Gfra3,K4K27,K4,NM_010280
Ggh,K4K27,K4,NM_010281
Ghr,K4K27,K4K27,NM_010284
Gpr83,K4K27,K4,NM_010287
Rasa2,K4K27,K4,NM_053268
Znrf4,K4K27,K4,NM_011483
Pitpnm3,K4K27,K4,NM_001024927
Tnfaip8l3,K4K27,K4,NM_001033535
Mkx,K4K27,K4K27,NM_177595
H2-K2,K4K27,K4,NR_004446
Mir196b,K4K27,K4K27,NR_029912
Neurog2,K4K27,K4K27,NM_009718
Neurog3,K4K27,K4K27,NM_009719
Arsb,K4K27,K4K27,NM_009712
Syt12,K4K27,K4K27,NM_134164
Ccbe1,K4K27,K4K27,NM_178793
Igfbp7,K4K27,K4K27,NM_008048
Fst,K4K27,K4K27,NM_008046
Epha7,K4K27,K4K27,NM_001122889
Hoxa11os,K4K27,K4K27,NR_015348
Rprml,K4K27,K4K27,NM_001033212
Gpr45,K4K27,K4K27,NM_053107
Klhl1,K4K27,K4,NM_053105
Rhobtb3,K4K27,K4K27,NM_028493
Ube2d1,K4K27,K4,NM_145420
Slc5a8,K4K27,K4K27,NM_145423
Cdh8,K4K27,K4,NM_001039154
Klhl35,K4K27,K4,NM_028145
Lmx1a,K4K27,K4K27,NM_033652
Bhlhe22,K4K27,K4K27,NM_021560
Dop1a,K4K27,K4,NM_177208
Strip2,K4K27,K4K27,NM_177204
Erlin1,K4K27,K4,NM_001164360
Slc5a7,K4K27,K4,NM_022025
B4galt5,K4K27,K4,NM_019835
Nrgn,K4K27,K4K27,NM_022029
Sav1,K4K27,K4K27,NM_022028
Cspg5,K4K27,K4,NM_001166273
Sfrp1,K4K27,K4,NM_013834
Barhl2,K4K27,K4K27,NM_001005477
Avpr1a,K4K27,K4K27,NM_016847
Barhl1,K4K27,K4,NM_019446
Pitx1,K4K27,K4K27,NM_011097
Nr2f2,K4K27,K4K27,NM_009697
