name,Control,H3.3 KD1,RefID
Wwp1,K4,K4,NM_177327
Kbtbd8,K4,K4,NM_001008785
Tsr1,K4,K4,NM_177325
Sbf2,K4,K4,NM_177324
Rint1,K4,K4,NM_177323
Agtr1a,K4,K4,NM_177322
Mia2,K4,,NM_177321
Pik3r5,K4,K4,NM_177320
Prpsap2,K4,K4,NM_001164244
Prpsap2,K4,K4,NM_001164242
Prpsap2,K4,K4,NM_001164243
Tpm1,K4,K4,NM_001164248
Tpm1,K4,K4,NM_001164249
Pak2,K4,K4,NM_177326
Scg3,K4,K4,NM_001164790
Tmem184a,K4,K4,NM_001161548
Slc38a10,K4,K4,NM_001164798
Slc38a10,K4,K4,NM_001164799
Zfp846,K4,K4,NM_172919
Zfp317,K4,K4,NM_172918
Hydin,K4,K4,NM_172916
Ccdc113,K4,K4,NM_172914
Itsn1,K4,K4,NM_010587
Itpr2,K4,K4,NM_010586
Itpr1,K4,K4,NM_010585
Cd47,K4,K4,NM_010581
Itgb5,K4,K4,NM_010580
Jak3,K4,K4,NM_010589
Jag2,K4,K4,NM_010588
Podnl1,K4,K4,NM_001013384
Grm4,K4,K4,NM_001013385
Rasl10b,K4,K4,NM_001013386
Zfp182,K4,K4,NM_001013387
Dync1li2,K4,K4,NM_001013380
Rsad1,K4,K4,NM_001013381
Mir804,K4,K4,NR_030529
Gls,K4,K4,NM_001081081
Armc3,K4,,NM_001081083
Sapcd2,K4,K4,NM_001081085
Ppig,K4,K4,NM_001081086
Gpat2,K4,,NM_001081089
Zfp146,K4,K4,NM_011980
Zfp260,K4,K4,NM_011981
Homer1,K4,K4,NM_011982
Homer3,K4,K4,NM_011984
Mmp23,K4,K4,NM_011985
Ncdn,K4,K4,NM_011986
Pla2g10,K4,K4,NM_011987
Slc27a3,K4,K4,NM_011988
Slc27a4,K4,K4,NM_011989
Ano3,K4,K4,NM_001081556
Camta1,K4,K4,NM_001081557
Tspan6,K4,K4,NM_019656
Lekr1,K4,K4,NM_001037923
Zfp987,K4,K4,NM_001037926
Zfp185,K4,K4,NM_001109043
Gm11992,K4,K4,NM_001037928
Unc119,K4,K4,NM_011676
Ung,K4,K4,NM_011677
Uck1,K4,K4,NM_011675
Ufd1,K4,K4,NM_011672
Asna1,K4,K4,NM_019652
Ucp2,K4,K4,NM_011671
Usp4,K4,K4,NM_011678
Gorasp2,K4,K4,NR_027343
Sp4,K4,K4,NM_009239
Sox4,K4,K4,NM_009238
Armc8,K4,K4,NM_001166138
Sos1,K4,K4,NM_009231
Soat1,K4,K4,NM_009230
Sox3,K4,K4,NM_009237
Sox15,K4,K4,NM_009235
Sox11,K4,K4,NM_009234
Crtc1,K4,K4,NM_001004062
Zfp386,K4,K4,NM_001004066
Naf1,K4,K4,NM_001163564
Crb2,K4,K4,NM_001163566
Dido1,K4,K4,NM_177852
Kif9,K4,K4,NM_001163569
Otud1,K4,K4,NM_027715
Iqgap2,K4,K4,NM_027711
Zfp329,K4,K4,NM_026046
Prpf18,K4,K4,NM_026045
Dph7,K4,K4,NM_026044
Rnpc3,K4,K4,NM_026043
Med29,K4,K4,NM_026042
Rrp15,K4,K4,NM_026041
Srfbp1,K4,K4,NM_026040
Cinp,K4,K4,NM_026048
Man2a1,K4,K4,NM_008549
Mfap2,K4,K4,NM_008546
Mageb3,K4,K4,NM_008545
Fgf4,K4,K4,NM_010202
Klhl21,K4,K4,NM_001033352
Fgfr2,K4,K4,NM_010207
Fgr,K4,K4,NM_010208
Fh1,K4,K4,NM_010209
Ctdp1,K4,K4,NM_026295
Cst6,K4,K4,NM_028623
Kif20a,K4,K4,NM_009004
Mir450b,K4,,NR_030498
