name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
WTvsKO_DOX_peak_1,chr1,29736488,29736794,307,29736591,39.83,6.568,2.41946,3.42955
WTvsKO_DOX_peak_2,chr1,33745536,33745829,294,33745672,30.57,7.35014,2.94088,3.98489
WTvsKO_DOX_peak_3,chr1,63249161,63249984,824,63249620,53.73,9.38747,2.57095,5.48135
WTvsKO_DOX_peak_4,chr1,63259552,63260047,496,63259992,25.94,4.08592,2.2447,1.63961
WTvsKO_DOX_peak_5,chr1,63267380,63267869,490,63267481,28.72,5.20487,2.44128,2.43801
WTvsKO_DOX_peak_6,chr1,63273976,63275496,1521,63274588,35.2,8.70635,3.01661,4.98125
WTvsKO_DOX_peak_7,chr1,63310374,63310685,312,63310572,31.49,7.87245,3.02718,4.35973
WTvsKO_DOX_peak_8,chr1,72876330,72876654,325,72876506,62.99,4.89124,1.77814,2.23806
WTvsKO_DOX_peak_9,chr1,72948095,72948441,347,72948329,45.39,6.52034,2.24121,3.39802
WTvsKO_DOX_peak_10,chr1,73156155,73156568,414,73156533,32.42,4.90379,2.21152,2.23806
WTvsKO_DOX_peak_11,chr1,73160650,73160973,324,73160876,28.72,5.20487,2.44128,2.43801
WTvsKO_DOX_peak_12,chr1,73249533,73250133,601,73249932,39.83,7.18782,2.55193,3.88776
WTvsKO_DOX_peak_13,chr1,73278921,73279551,631,73279285,30.57,7.35014,2.94088,3.98489
WTvsKO_DOX_peak_14,chr1,74192096,74192782,687,74192290,26.86,5.39882,2.5957,2.57055
WTvsKO_DOX_peak_15,chr1,74196441,74196862,422,74196665,29.64,6.8412,2.85459,3.61499
WTvsKO_DOX_peak_16,chr1,74217607,74217973,367,74217803,28.72,6.34605,2.76829,3.25605
WTvsKO_DOX_peak_17,chr1,74542787,74543301,515,74543237,25.94,4.94768,2.50941,2.23806
WTvsKO_DOX_peak_18,chr1,74544993,74545298,306,74545066,34.27,6.48095,2.5195,3.3662
WTvsKO_DOX_peak_19,chr1,74546189,74546744,556,74546391,31.49,7.87245,3.02718,4.35973
WTvsKO_DOX_peak_20,chr1,74549985,74550350,366,74550221,31.49,7.87245,3.02718,4.35973
WTvsKO_DOX_peak_21,chr1,74551697,74552038,342,74551898,35.2,10.08812,3.37236,5.96339
WTvsKO_DOX_peak_22,chr1,74712634,74713160,527,74712886,31.49,7.6125,2.95509,4.19105
WTvsKO_DOX_peak_23,chr1,74713693,74714450,758,74714226,32.42,5.61949,2.38717,2.74351
WTvsKO_DOX_peak_24,chr1,74736153,74736657,505,74736370,40.76,5.63771,2.19774,2.7585
WTvsKO_DOX_peak_25,chr1,74737926,74738356,431,74737934,32.42,4.39627,2.08878,1.88101
WTvsKO_DOX_peak_26,chr1,74738863,74739156,294,74738907,29.64,5.77257,2.55346,2.85715
WTvsKO_DOX_peak_27,chr1,74770851,74771266,416,74771042,59.28,7.81306,2.19531,4.3452
