name,chr,start,end,Xi.pval,Xi_Xa,location
dnase_1,chrX,4553624,4554669,,,intergenic
dnase_2,chrX,4899185,4899577,,,intergenic
dnase_3,chrX,5467550,5469492,0.10762,Xa_only,nontranscribed
dnase_4,chrX,6081397,6084158,0.00744,XaXi,no_ase_genedata
dnase_5,chrX,6091537,6093088,0.11787,Xa_only,intergenic
dnase_6,chrX,6261045,6262246,0.10317,Xa_only,intergenic
dnase_7,chrX,6319609,6321586,0.03186,,no_ase_genedata
dnase_8,chrX,6398713,6402502,0.0982,Xa_only,no_ase_genedata
dnase_9,chrX,6414626,6416135,0.57662,,no_ase_genedata
dnase_10,chrX,6576471,6577928,0.37267,Xa_only,no_ase_genedata
dnase_11,chrX,6582478,6585938,0.01496,Xi_only,no_ase_genedata
dnase_12,chrX,6653645,6654768,0.94595,,intergenic
dnase_13,chrX,6777317,6781553,0.12427,Xa_only,no_ase_genedata
dnase_14,chrX,7041103,7042511,0.36334,Xa_only,nontranscribed
dnase_15,chrX,7070220,7073058,0.00204,XaXi,nontranscribed
dnase_16,chrX,7187236,7190223,0.0115,XaXi,inactivated
dnase_17,chrX,7197263,7198691,0.70164,Xa_only,intergenic
dnase_18,chrX,7200282,7201466,0.70311,,intergenic
dnase_19,chrX,7315737,7317397,0.04266,Xa_only,intergenic
dnase_20,chrX,7317491,7319998,0.00059,XaXi,intergenic
dnase_21,chrX,7340039,7341209,0.1517,Xa_only,intergenic
dnase_22,chrX,7373724,7378114,0.01775,XaXi,no_ase_genedata
dnase_23,chrX,7420552,7421829,0.00563,XaXi,no_ase_genedata
dnase_24,chrX,7422159,7423568,0.83829,,no_ase_genedata
dnase_25,chrX,7428240,7430920,0.15984,,no_ase_genedata
dnase_26,chrX,7433956,7436176,0.07375,Xa_only,no_ase_genedata
dnase_27,chrX,7439216,7440699,0.19435,,no_ase_genedata
dnase_28,chrX,7443891,7445458,0.17517,Xa_only,no_ase_genedata
dnase_29,chrX,7473354,7474396,0.98029,,intergenic
dnase_30,chrX,7533560,7536312,0.00836,XaXi,intergenic
dnase_31,chrX,7558642,7561278,0.47629,,inactivated
dnase_32,chrX,7562716,7565309,0.05827,,inactivated
dnase_33,chrX,7566911,7570072,0.07017,,inactivated
dnase_34,chrX,7572211,7580290,0.00156,XaXi,inactivated
dnase_35,chrX,7582853,7584635,0.03818,,nontranscribed
dnase_36,chrX,7585121,7590491,0.00077,XaXi,inactivated
