name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
WT_DOXvsCTRL_peak_1,chr1,3485994,3486519,526,3486250,27.88,7.25106,3.11825,4.38617
WT_DOXvsCTRL_peak_2,chr1,12694720,12695568,849,12694974,28.63,7.83459,3.2098,4.82321
WT_DOXvsCTRL_peak_3,chr1,120646233,120646681,449,120646445,30.14,7.09779,2.8309,4.24141
WT_DOXvsCTRL_peak_4,chr1,193730621,193731001,381,193730641,45.96,4.37228,1.87853,2.07012
WT_DOXvsCTRL_peak_5,chr10,20513025,20513415,391,20513190,33.15,6.04791,2.44047,3.36523
WT_DOXvsCTRL_peak_6,chr10,28634319,28634707,389,28634589,26.37,7.07069,3.06926,4.21839
WT_DOXvsCTRL_peak_7,chr10,59955070,59955450,381,59955203,42.2,7.63328,2.51577,4.63614
WT_DOXvsCTRL_peak_8,chr10,95455038,95455357,320,95455182,50.48,7.36891,2.29206,4.49711
WT_DOXvsCTRL_peak_9,chr10,95457124,95457440,317,95457433,37.67,3.66338,1.84166,1.44885
WT_DOXvsCTRL_peak_10,chr10,100376004,100376345,342,100376114,45.96,8.33069,2.60907,5.22927
WT_DOXvsCTRL_peak_11,chr11,24628434,24628827,394,24628601,24.87,6.00891,2.90028,3.33103
WT_DOXvsCTRL_peak_12,chr11,52515096,52515496,401,52515317,22.6,5.01286,2.64682,2.54073
WT_DOXvsCTRL_peak_13,chr13,50486014,50486607,594,50486226,25.62,4.97183,2.48728,2.54073
WT_DOXvsCTRL_peak_14,chr14,10421154,10421599,446,10421288,29.39,5.79869,2.53935,3.2288
WT_DOXvsCTRL_peak_15,chr14,44998139,44998850,712,44998461,33.15,3.73849,1.89744,1.51707
WT_DOXvsCTRL_peak_16,chr14,48477080,48477405,326,48477317,25.62,4.75251,2.4199,2.34088
WT_DOXvsCTRL_peak_17,chr14,48708285,48708781,497,48708734,34.66,3.60613,1.87689,1.43192
WT_DOXvsCTRL_peak_18,chr14,48711169,48711932,764,48711527,21.85,4.38705,2.50718,2.08444
WT_DOXvsCTRL_peak_19,chr14,48712267,48713107,841,48712697,25.62,6.53188,2.98477,3.7666
WT_DOXvsCTRL_peak_20,chr14,92825068,92825828,761,92825173,24.87,6.00891,2.90028,3.33103
WT_DOXvsCTRL_peak_21,chr15,37136320,37136769,450,37136685,24.11,6.00891,2.81579,3.33103
WT_DOXvsCTRL_peak_22,chr15,77460629,77460937,309,77460783,36.92,6.53473,2.50936,3.76864
WT_DOXvsCTRL_peak_23,chr15,93491374,93491779,406,93491700,27.13,5.41909,2.49122,2.92283
WT_DOXvsCTRL_peak_24,chr16,3141853,3142412,560,3142332,36.17,6.53473,2.45949,3.76864
WT_DOXvsCTRL_peak_25,chr16,3324497,3324937,441,3324708,32.4,4.39627,2.08752,2.0932
WT_DOXvsCTRL_peak_26,chr16,9392527,9392822,296,9392746,26.37,7.07069,3.06926,4.21839
WT_DOXvsCTRL_peak_27,chr16,9393022,9393700,679,9393474,31.65,8.86222,3.32453,5.66653
WT_DOXvsCTRL_peak_28,chr16,21007493,21007905,413,21007648,30.14,5.23119,2.33293,2.74262
WT_DOXvsCTRL_peak_29,chr17,27496100,27496536,437,27496167,27.88,4.90017,2.40662,2.47953
WT_DOXvsCTRL_peak_30,chr17,27499330,27499824,495,27499549,32.4,6.471,2.59962,3.76015
WT_DOXvsCTRL_peak_31,chr18,10458214,10458662,449,10458443,57.27,7.25591,2.14481,4.39101
