name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
KO_DOXvsCTRL_peak_1,chrX,99146177,99146469,293,99146248,25.54,7.68776,3.36701,1.86239
KO_DOXvsCTRL_peak_2,chrX,99584433,99584794,362,99584597,29.8,8.00104,3.2129,2.12322
KO_DOXvsCTRL_peak_3,chrX,102712142,102712546,405,102712408,31.21,9.87633,3.57935,3.31118
KO_DOXvsCTRL_peak_4,chrX,102819504,102819832,329,102819613,31.21,10.034,3.62702,3.41692
KO_DOXvsCTRL_peak_5,chrX,102822995,102823792,798,102823549,41.86,10.89291,3.29656,3.64995
KO_DOXvsCTRL_peak_6,chrX,102824550,102824944,395,102824750,43.27,13.08492,3.64877,3.64995
KO_DOXvsCTRL_peak_7,chrX,103932997,103933483,487,103933252,29.09,9.95464,3.74575,3.37276
KO_DOXvsCTRL_peak_8,chrX,103936936,103937279,344,103937057,26.96,8.28648,3.54701,2.19238
KO_DOXvsCTRL_peak_9,chrX,103943126,103943581,456,103943327,29.09,10.00074,3.76074,3.3925
KO_DOXvsCTRL_peak_10,chrX,103984632,103984936,305,103984795,37.6,12.94623,4.05182,3.64995
KO_DOXvsCTRL_peak_11,chrX,104061907,104062401,495,104062155,31.21,8.65647,3.22141,2.45633
KO_DOXvsCTRL_peak_12,chrX,150799744,150800086,343,150799913,27.67,8.9006,3.63702,2.60195
KO_DOXvsCTRL_peak_13,chrX,150868070,150868405,336,150868252,31.21,11.50136,4.08704,3.64995
