name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
KO_peak_1,chr1,3532775,3533601,827,3533419,30,7.22994,2.85464,4.00412
KO_peak_2,chr1,3670091,3670540,450,3670337,52,8.37704,2.39521,4.95197
KO_peak_3,chr1,4490934,4491603,670,4491374,101,15.39471,2.4577,11.07914
KO_peak_4,chr1,4570499,4571496,998,4570921,64,22.96589,4.43783,18.27714
KO_peak_5,chr1,4572390,4572993,604,4572772,32,4.84503,2.1696,2.12844
KO_peak_6,chr1,4689508,4689939,432,4689682,52,11.10114,2.8509,7.26759
KO_peak_7,chr1,5021245,5022186,942,5021883,59,7.54215,2.14674,4.26497
KO_peak_8,chr1,5589184,5589496,313,5589413,24,5.97832,2.79323,3.00521
KO_peak_9,chr1,5916079,5916470,392,5916381,44,5.99171,2.14598,3.01612
KO_peak_10,chr1,6359555,6360333,779,6359905,50,9.55888,2.64105,5.94349
KO_peak_11,chr1,6381692,6382600,909,6382329,58,11.52247,2.75201,7.62988
KO_peak_12,chr1,6383401,6384147,747,6383622,52,9.3013,2.5465,5.72997
KO_peak_13,chr1,6439912,6441130,1219,6440852,59,13.80118,3.08214,9.63638
KO_peak_14,chr1,9300119,9301298,1180,9300566,61,12.17225,2.77447,8.19522
KO_peak_15,chr1,9545583,9546516,934,9546283,30,10.13744,3.71178,6.43553
KO_peak_16,chr1,9648543,9649146,604,9648915,39,6.28249,2.31116,3.24191
KO_peak_17,chr1,9796942,9797631,690,9797362,62,9.35437,2.35152,5.77518
KO_peak_18,chr1,9848800,9850615,1816,9849187,70,15.03626,2.9538,10.74974
KO_peak_19,chr1,9966001,9966641,641,9966329,65,13.19005,2.82299,9.09339
KO_peak_20,chr1,9968534,9969435,902,9968929,57,8.35833,2.29635,4.93594
KO_peak_21,chr1,9998694,9999058,365,9998956,23,6.04357,2.87364,3.0468
KO_peak_22,chr1,10233726,10235371,1646,10234193,56,14.75376,3.3479,10.49516
KO_peak_23,chr1,10992442,10993118,677,10992975,48,10.34547,2.84145,6.61599
KO_peak_24,chr1,10994188,10995677,1490,10994856,51,11.57799,2.96695,7.67891
KO_peak_25,chr1,11328712,11329106,395,11328900,24,6.09917,2.83286,3.09213
KO_peak_26,chr1,11412880,11413228,349,11412950,24,5.41263,2.61064,2.56247
KO_peak_27,chr1,11414742,11415857,1116,11414935,27,6.59039,2.82244,3.48372
KO_peak_28,chr1,12657430,12657926,497,12657693,40,17.11203,4.90913,12.66931
KO_peak_29,chr1,12693291,12694386,1096,12693396,49,10.22676,2.78811,6.51238
KO_peak_30,chr1,12991459,12991918,460,12991853,30,4.85352,2.22591,2.13527
KO_peak_31,chr1,13375340,13375989,650,13375753,33,9.05944,3.19537,5.52358
KO_peak_32,chr1,13590407,13591853,1447,13591588,52,15.96534,3.75495,11.60376
KO_peak_33,chr1,14308034,14308375,342,14308226,31,6.98301,2.7413,3.80878
KO_peak_34,chr1,14505176,14506181,1006,14505455,71,16.65357,3.14703,12.24201
KO_peak_35,chr1,14840428,14841257,830,14840638,23,6.04357,2.87364,3.0468
KO_peak_36,chr1,14917034,14917573,540,14917159,31,7.32475,2.83243,4.08346
KO_peak_37,chr1,14917742,14918123,382,14917843,29,6.47616,2.69271,3.40049
KO_peak_38,chr1,14918270,14918641,372,14918559,25,4.71863,2.35352,2.02909
KO_peak_39,chr1,15287747,15288610,864,15288419,65,11.41982,2.57794,7.54723
KO_peak_40,chr1,15891921,15892404,484,15892200,47,6.41861,2.16618,3.35296
KO_peak_41,chr1,15893073,15894265,1193,15893328,52,8.29382,2.38173,4.88156
KO_peak_42,chr1,16057050,16057521,472,16057102,27,5.31782,2.45122,2.48664
KO_peak_43,chr1,16074176,16074544,369,16074344,30,7.65992,2.97468,4.36363
KO_peak_44,chr1,16092100,16092435,336,16092298,24,5.65954,2.68976,2.74763
KO_peak_45,chr1,16092621,16093684,1064,16093216,36,13.5333,4.23772,9.39328
KO_peak_46,chr1,16106394,16107345,952,16106777,39,16.36343,4.78939,11.97103
KO_peak_47,chr1,16517573,16517986,414,16517705,37,6.38248,2.38542,3.32351
KO_peak_48,chr1,16520188,16521018,831,16520641,61,15.58264,3.30167,11.2542
KO_peak_49,chr1,16619947,16620998,1052,16620225,45,13.27598,3.55891,9.17009
KO_peak_50,chr1,16621216,16621595,380,16621440,34,6.27997,2.45249,3.24001
KO_peak_51,chr1,16954107,16954529,423,16954243,24,6.58167,2.99337,3.47675
KO_peak_52,chr1,17096113,17096529,417,17096297,63,8.94704,2.27965,5.42763
KO_peak_53,chr1,17727670,17728681,1012,17727901,27,8.29259,3.35258,4.88044
KO_peak_54,chr1,18057531,18057917,387,18057708,52,9.67921,2.60928,6.04632
KO_peak_55,chr1,18059171,18060101,931,18059558,58,11.39331,2.73206,7.5239
KO_peak_56,chr1,19110522,19111055,534,19110750,56,8.4562,2.32891,5.01841
KO_peak_57,chr1,19184496,19184876,381,19184656,28,5.79472,2.54574,2.85646
KO_peak_58,chr1,19206655,19207009,355,19206883,61,6.66163,1.99892,3.54209
KO_peak_59,chr1,19459993,19460320,328,19460150,30,6.99627,2.7903,3.81924
KO_peak_60,chr1,19899178,19899501,324,19899315,27,7.65928,3.15046,4.36352
KO_peak_61,chr1,20768625,20769763,1139,20769519,28,8.60986,3.38208,5.14879
KO_peak_62,chr1,20770147,20770602,456,20770326,27,8.17268,3.31384,4.78692
KO_peak_63,chr1,21077916,21078461,546,21078227,34,7.45309,2.73435,4.19024
KO_peak_64,chr1,21211819,21212204,386,21211987,27,6.53124,2.80474,3.44531
KO_peak_65,chr1,21272439,21273196,758,21272679,33,12.10407,4.07098,8.13463
KO_peak_66,chr1,21423964,21424422,459,21424241,24,5.65954,2.68976,2.74763
KO_peak_67,chr1,21959625,21960145,521,21959805,50,5.83127,2.0192,2.88612
KO_peak_68,chr1,21962772,21963120,349,21963036,51,7.01746,2.19479,3.8369
KO_peak_69,chr1,22532257,22533031,775,22532600,81,20.06793,3.31643,15.47509
KO_peak_70,chr1,22534301,22535015,715,22534581,79,19.15496,3.25615,14.60183
KO_peak_71,chr1,22804605,22805602,998,22805360,57,9.88472,2.52475,6.22381
KO_peak_72,chr1,22807118,22807561,444,22807286,46,5.88772,2.09151,2.93221
KO_peak_73,chr1,23254449,23254817,369,23254636,31,7.03875,2.75608,3.85412
KO_peak_74,chr1,23255166,23255718,553,23255610,30,7.17073,2.83828,3.95468
KO_peak_75,chr1,23381189,23382086,898,23381385,41,10.40292,3.12096,6.66557
KO_peak_76,chr1,23496615,23497024,410,23496712,24,4.83274,2.4281,2.1186
KO_peak_77,chr1,23759887,23761411,1525,23760428,67,8.5688,2.17264,5.11489
KO_peak_78,chr1,23922698,23924058,1361,23923489,40,14.37902,4.14594,10.15476
KO_peak_79,chr1,24090868,24091203,336,24091067,45,7.69751,2.43743,4.39439
KO_peak_80,chr1,24098432,24099245,814,24098658,59,12.26318,2.84012,8.27501
KO_peak_81,chr1,24133939,24134347,409,24134090,30,5.5929,2.41595,2.69438
KO_peak_82,chr1,24263959,24264433,475,24264199,33,5.43117,2.28231,2.57737
KO_peak_83,chr1,24264824,24265263,440,24264870,32,5.03472,2.21518,2.26272
KO_peak_84,chr1,24585511,24586042,532,24585803,61,5.97982,1.90657,3.0064
KO_peak_85,chr1,24587929,24588527,599,24588075,60,6.0022,1.92018,3.02526
KO_peak_86,chr1,24611729,24612710,982,24612443,105,13.07697,2.21642,8.99192
KO_peak_87,chr1,24613027,24615330,2304,24615034,131,23.56984,2.75107,18.86604
KO_peak_88,chr1,24615616,24616105,490,24615860,115,16.58911,2.4035,12.18215
KO_peak_89,chr1,24683915,24684359,445,24684138,37,14.89828,4.54992,10.62244
KO_peak_90,chr1,25229071,25229587,517,25229356,35,7.39608,2.68134,4.14322
KO_peak_91,chr1,25827694,25828168,475,25827920,48,7.16565,2.2756,3.95069
KO_peak_92,chr1,25828460,25829501,1042,25828761,54,9.57105,2.54315,5.95391
KO_peak_93,chr1,26686074,26688075,2002,26686923,39,10.80635,3.3112,7.0092
KO_peak_94,chr1,30951241,30951577,337,30951454,29,8.15021,3.17427,4.76793
KO_peak_95,chr1,31070917,31071281,365,31071066,26,7.03667,3.01669,3.85263
KO_peak_96,chr1,31613783,31614095,313,31613997,22,5.52258,2.7539,2.63777
KO_peak_97,chr1,32173449,32174287,839,32173663,50,7.15538,2.23526,3.94187
KO_peak_98,chr1,33673573,33673963,391,33673879,26,6.31759,2.79211,3.27041
KO_peak_99,chr1,33713440,33713879,440,33713685,30,5.07476,2.28233,2.29402
KO_peak_100,chr1,33720819,33721232,414,33721019,26,7.70235,3.2314,4.39439
KO_peak_101,chr1,33745401,33745936,536,33745650,26,7.41343,3.13738,4.15764
KO_peak_102,chr1,33905290,33906244,955,33905599,41,11.04506,3.26526,7.21844
KO_peak_103,chr1,33906595,33906907,313,33906642,33,7.08049,2.68247,3.88911
KO_peak_104,chr1,34457810,34458139,330,34457987,52,7.98872,2.33252,4.63154
KO_peak_105,chr1,34460577,34461264,688,34461026,48,7.30188,2.29899,4.06486
KO_peak_106,chr1,34473348,34473852,505,34473546,45,7.33481,2.3706,4.09222
KO_peak_107,chr1,34484917,34485247,331,34485102,31,6.20109,2.53721,3.17522
KO_peak_108,chr1,34560170,34560482,313,34560293,32,6.66118,2.61649,3.5417
KO_peak_109,chr1,34580342,34580794,453,34580574,52,7.44743,2.2459,4.18598
KO_peak_110,chr1,34677160,34677493,334,34677356,48,5.99267,2.07639,3.01683
KO_peak_111,chr1,34805390,34805792,403,34805615,25,7.13625,3.11311,3.92617
KO_peak_112,chr1,34929049,34929612,564,34929391,44,6.37065,2.21543,3.31448
KO_peak_113,chr1,34945960,34946368,409,34946336,25,5.62574,2.62913,2.72107
KO_peak_114,chr1,34960192,34960586,395,34960304,31,9.34082,3.39714,5.76365
KO_peak_115,chr1,35403360,35403672,313,35403610,32,6.41007,2.55313,3.34628
KO_peak_116,chr1,35453372,35453969,598,35453653,39,9.91688,3.10222,6.25126
KO_peak_117,chr1,35748206,35748796,591,35748584,44,5.70036,2.09288,2.78124
KO_peak_118,chr1,35807463,35808003,541,35807853,26,7.27377,3.09239,4.04067
KO_peak_119,chr1,36268609,36269133,525,36268913,54,9.1653,2.47858,5.61425
KO_peak_120,chr1,36308253,36309230,978,36308515,48,14.63863,3.69265,10.38984
KO_peak_121,chr1,36369549,36370781,1233,36369946,42,10.04387,2.9999,6.36097
KO_peak_122,chr1,36472025,36473286,1262,36472852,55,15.60913,3.54321,11.27904
KO_peak_123,chr1,36741837,36742230,394,36741996,51,12.92727,3.21374,8.8583
KO_peak_124,chr1,36780353,36780882,530,36780658,28,7.26653,2.97009,4.03468
KO_peak_125,chr1,37300565,37301478,914,37300928,45,11.63995,3.2092,7.73307
KO_peak_126,chr1,37539335,37540145,811,37539869,62,16.73989,3.45275,12.3226
KO_peak_127,chr1,37541599,37542663,1065,37541824,58,12.95902,2.9781,8.88674
KO_peak_128,chr1,37580265,37580885,621,37580498,33,6.21188,2.46906,3.18413
KO_peak_129,chr1,37631001,37631399,399,37631272,35,7.97139,2.81937,4.61711
KO_peak_130,chr1,37677824,37678262,439,37678059,29,6.9284,2.81944,3.7628
KO_peak_131,chr1,37720665,37721529,865,37720875,56,8.57575,2.34692,5.12052
KO_peak_132,chr1,37863511,37863963,453,37863892,30,5.41453,2.3697,2.56361
KO_peak_133,chr1,37869168,37869545,378,37869256,28,6.57049,2.76615,3.47675
KO_peak_134,chr1,38197566,38197923,358,38197628,46,8.97802,2.64856,5.45416
KO_peak_135,chr1,38219004,38219504,501,38219265,47,7.14503,2.29247,3.93319
KO_peak_136,chr1,38268139,38268616,478,38268343,33,7.13381,2.69578,3.92617
KO_peak_137,chr1,38624500,38626148,1649,38625539,78,12.14171,2.44109,8.16841
KO_peak_138,chr1,38835162,38835559,398,38835300,47,15.34157,3.90266,11.02978
KO_peak_139,chr1,38836359,38837608,1250,38837221,41,10.63446,3.17261,6.86694
KO_peak_140,chr1,38896230,38897062,833,38896408,50,7.53692,2.29832,4.26075
KO_peak_141,chr1,39103058,39103457,400,39103317,26,5.81173,2.63839,2.87032
KO_peak_142,chr1,39194599,39196315,1717,39195427,82,23.64403,3.74569,18.93896
KO_peak_143,chr1,39361003,39361536,534,39361253,27,6.80218,2.88618,3.65851
KO_peak_144,chr1,39477189,39477891,703,39477420,38,9.04683,2.946,5.51356
KO_peak_145,chr1,39598318,39598794,477,39598512,28,7.0155,2.89583,3.8352
KO_peak_146,chr1,39619786,39620098,313,39620065,21,4.85175,2.57512,2.13402
KO_peak_147,chr1,39651111,39652125,1015,39651708,45,9.23035,2.72688,5.66949
KO_peak_148,chr1,39719994,39720425,432,39720256,28,8.193,3.25152,4.80434
KO_peak_149,chr1,39737571,39738013,443,39737613,23,5.53022,2.70039,2.64356
KO_peak_150,chr1,39862801,39863306,506,39863058,25,7.13625,3.11311,3.92617
KO_peak_151,chr1,40056030,40056503,474,40056268,33,8.45597,3.03468,5.01824
KO_peak_152,chr1,40265661,40266296,636,40266270,41,6.70171,2.34611,3.57535
KO_peak_153,chr1,40326434,40326932,499,40326683,52,9.6072,2.59728,5.98437
KO_peak_154,chr1,40682416,40682778,363,40682636,57,6.28586,1.99477,3.24453
KO_peak_155,chr1,42169166,42169481,316,42169341,24,6.58167,2.99337,3.47675
KO_peak_156,chr1,42240751,42241226,476,42241046,23,6.04357,2.87364,3.0468
KO_peak_157,chr1,42492068,42492566,499,42492315,48,8.28297,2.46943,4.88043
KO_peak_158,chr1,42687444,42687772,329,42687621,69,5.53137,1.77783,2.6445
KO_peak_159,chr1,42700495,42700840,346,42700598,71,9.77156,2.26644,6.12629
KO_peak_160,chr1,42712486,42713072,587,42712652,58,6.19602,1.96979,3.17093
KO_peak_161,chr1,42953751,42955055,1305,42953981,73,13.48715,2.68677,9.3518
KO_peak_162,chr1,43091379,43091788,410,43091620,22,5.52258,2.7539,2.63777
KO_peak_163,chr1,43123447,43123832,386,43123531,22,5.52258,2.7539,2.63777
KO_peak_164,chr1,43162477,43163008,532,43162895,45,4.73281,1.90382,2.04077
KO_peak_165,chr1,43164404,43164787,384,43164509,48,5.26686,1.95455,2.44699
KO_peak_166,chr1,43729676,43730476,801,43729748,25,6.62717,2.94618,3.51411
KO_peak_167,chr1,43831395,43831711,317,43831444,28,7.10847,2.92324,3.91176
KO_peak_168,chr1,43900160,43900712,553,43900672,28,6.23674,2.67047,3.20425
KO_peak_169,chr1,44146740,44147479,740,44146913,34,12.78486,4.19072,8.73176
KO_peak_170,chr1,44199350,44200215,866,44199875,35,8.53362,2.9571,5.0846
KO_peak_171,chr1,45767972,45768312,341,45768053,30,6.24061,2.58629,3.20734
KO_peak_172,chr1,45924662,45925333,672,45925070,49,13.70838,3.45058,9.55274
KO_peak_173,chr1,46087687,46088733,1047,46088503,60,17.99516,3.74822,13.50099
KO_peak_174,chr1,51534361,51534820,460,51534435,34,5.10381,2.17997,2.31709
KO_peak_175,chr1,51916717,51917078,362,51916937,23,6.04357,2.87364,3.0468
KO_peak_176,chr1,52234167,52235277,1111,52234456,34,9.23438,3.18625,5.67283
KO_peak_177,chr1,52287800,52288112,313,52288014,27,7.34925,3.05367,4.10426
