name,chrom,start,end,strand,TPM
Eef1a1,chr9,78478453,78481724,-,10916.9394522361
Rplp1,chr9,61913282,61914510,-,6936.2772986346
Hsp90ab1,chr17,45567777,45573261,-,6683.7005157162
Npm1,chr11,33152497,33163206,-,5338.6175996419
Ftl1,chr7,45457943,45459886,-,5001.8534178314
Rpl41,chr10,128548109,128549168,-,4584.9748058416
Rps4x,chrX,102184942,102188371,-,4545.7486281796
Rps26,chr10,128624528,128626506,-,4525.4631107063
Dppa5a,chr9,78367053,78368199,-,4500.907720491
Rps18,chr17,33951998,33955641,-,4496.9759480308
Rpl4,chr9,64173386,64178562,+,4389.0386166823
Actb,chr5,142903117,142906754,-,4094.3287596072
Ppia,chr11,6415869,6419810,+,4036.6738070729
Rpl8,chr15,76904070,76906318,+,4036.3430197647
Rpl12,chr2,32961711,32964045,+,4027.7137962026
Rpl32,chr6,115805513,115808743,-,3965.7454820488
Rps29,chr12,69157721,69159186,-,3819.0827605356
Gnb2l1,chr11,48800359,48806241,+,3748.4213672375
Hspa8,chr9,40801272,40805199,+,3515.7988824561
Rplp0,chr5,115559466,115563729,+,3483.8540671939
Rps24,chr14,24490680,24496146,+,3431.0016267168
Rps15,chr10,80292430,80294114,+,3320.0588413738
Rps5,chr7,12922310,12926686,+,3253.8175584724
Rps17,chr7,81342732,81345234,-,3240.463598872
Rpl11,chr4,136049947,136053371,-,3223.3311082181
Rps12,chr10,23785182,23787209,-,3198.4535803116
Rpl19,chr11,98026709,98030493,+,3168.125990162
Rpl7,chr1,16101295,16104433,-,3078.6952605459
Rps9,chr7,3704040,3706897,+,3067.4869082851
Rpl28,chr7,4792964,4794547,+,3005.8019780988
Rps28,chr17,33823036,33824498,-,2984.4428916389
Pkm,chr9,59656367,59679375,+,2974.8380657354
Rps23,chr13,90923121,90924732,+,2950.1375726197
Rps8,chr4,117153835,117156132,-,2923.4033603928
Rplp2,chr7,141447649,141451342,+,2885.2770502972
Ptma,chr1,86526735,86530698,+,2833.8663667829
Rps11,chr7,45122387,45124389,-,2740.1776896324
Rpl10,chrX,74270815,74273135,+,2680.164005557
Rpl36a,chrX,134585653,134588062,+,2663.0156134408
Rpl23a,chr11,78180935,78183584,-,2645.7905501396
Atp5b,chr10,128083306,128090388,+,2636.6632108564
Cfl1,chr19,5490454,5494031,+,2625.1992878461
Hsp90aa1,chr12,110691035,110696395,-,2621.6654557054
Pabpc1,chr15,36595657,36608973,-,2595.3806768352
Rpl13a,chr7,45125562,45128745,-,2589.1882016989
Aldoa,chr7,126795233,126800447,-,2578.9223322294
Eif4a1,chr11,69666935,69672423,-,2571.7541171526
Rps20,chr4,3834472,3835600,-,2480.9267847491
Rpl18,chr7,45718070,45720835,+,2465.9328203591
Eef2,chr10,81176630,81182509,+,2445.0235747045
Tpt1,chr14,75845255,75848303,+,2372.9347456759
Rps14,chr18,60774595,60778546,+,2366.9119889504
Rpl35,chr2,39001580,39005131,-,2355.6633872913
Rpl3,chr15,80077780,80083406,-,2334.9405915395
Rps16,chr7,28350688,28352698,+,2325.2427055016
Tubb5,chr17,35833919,35838301,-,2313.7520189291
Eif5a,chr11,69916711,69921958,-,2242.3887151952
Rps25,chr9,44407713,44410406,+,2225.9785986797
Uba52,chr8,70508265,70510367,-,2209.1534797421
Mir682,chr13,75645045,75645141,+,2171.9223897682
Rpl9,chr5,65388363,65391431,-,2171.0847521304
Rps2,chr17,24720062,24721927,+,2167.1616380512
Rpl39,chrX,37082519,37085184,-,2130.6023845191
Rpl23,chr11,97777525,97782439,-,2085.6843181224
Rpl14,chr9,120571516,120574653,+,2079.5245396394
Pfn1,chr11,70651846,70654650,-,2072.4380166125
Rpl13,chr8,123102349,123105242,+,2064.9652123008
Rpsa,chr9,120127765,120132369,+,2062.6721869308
Rpl24,chr16,55966274,55971437,+,2001.1499972082
Rps19,chr7,24884713,24889802,+,1931.6949940133
Rpl17,chr18,75000476,75003381,+,1910.1091767358
Rpl7a,chr2,26910806,26913311,+,1903.918515265
Rps3,chr7,99477896,99483709,-,1842.9062723895
Rps3a1,chr3,86137939,86142668,-,1833.4237903041
Tmsb10,chr6,72957346,72958748,-,1780.5548853351
Rps27a,chr11,29545841,29548040,-,1765.4618014062
Eef1g,chr19,8967040,8978180,+,1756.2024349049
Sod1,chr16,90220741,90226324,+,1744.5948323637
Rps13,chr7,116331506,116334190,-,1740.0807037072
Ldha,chr7,46845803,46855627,+,1703.3758705162
Bex1,chrX,136213971,136215513,-,1691.824369666
Prdx1,chr4,116685598,116700000,+,1685.1473283259
