name,chr,start,end,Xi.pval,Xi_Xa,location
ctcf_44894,chrX,4498353,4498714,1,,intergenic
ctcf_44895,chrX,4537882,4538385,1,,intergenic
ctcf_44896,chrX,4538561,4539133,1,,intergenic
ctcf_44897,chrX,4548677,4549587,1,,intergenic
ctcf_44898,chrX,4553267,4554207,1,Xa_only,intergenic
ctcf_44899,chrX,4569294,4570202,1,,intergenic
ctcf_44900,chrX,5080037,5080859,1,,intergenic
ctcf_44901,chrX,5085328,5086161,1,,intergenic
ctcf_44902,chrX,5086457,5087302,1,,intergenic
ctcf_44903,chrX,5087367,5088472,1,,intergenic
ctcf_44904,chrX,5088509,5089962,1,,intergenic
ctcf_44905,chrX,5089973,5090915,1,,intergenic
ctcf_44906,chrX,5092690,5095912,1,,intergenic
ctcf_44907,chrX,5101174,5102115,1,,intergenic
ctcf_44908,chrX,5205896,5206495,,,intergenic
ctcf_44909,chrX,5504014,5504974,0.00076,XaXi,intergenic
ctcf_44910,chrX,5941805,5942477,0.00257,Xi_only,intergenic
ctcf_44911,chrX,6253707,6254747,1,,intergenic
ctcf_44912,chrX,6261143,6262240,0,XaXi,intergenic
ctcf_44913,chrX,6323743,6324678,0.45485,,no_ase_genedata
ctcf_44914,chrX,6474833,6475883,0,XaXi,no_ase_genedata
ctcf_44915,chrX,6522574,6523647,0.00093,XaXi,no_ase_genedata
ctcf_44916,chrX,6653729,6654818,0.02138,Xi_only,intergenic
ctcf_44917,chrX,6832265,6833203,0.126,Xa_only,no_ase_genedata
ctcf_44918,chrX,6854291,6855256,0.38773,Xa_only,no_ase_genedata
ctcf_44919,chrX,6921790,6922906,0.00259,XaXi,no_ase_genedata
ctcf_44920,chrX,7018108,7018982,0.70443,Xa_only,nontranscribed
ctcf_44921,chrX,7149774,7150850,0.0812,Xa_only,intergenic
ctcf_44922,chrX,7209548,7210154,1,,intergenic
ctcf_44923,chrX,7321913,7323035,0,XaXi,intergenic
ctcf_44924,chrX,7325325,7326161,0.22191,,intergenic
