name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
WT_peak_1,chr1,3530951,3531394,444,3531239,32,5.90472,2.42727,3.14435
WT_peak_2,chr1,3531582,3532916,1335,3532723,37,8.18575,2.78866,4.94754
WT_peak_3,chr1,3533036,3533423,388,3533135,36,7.75536,2.72773,4.59502
WT_peak_4,chr1,3672655,3673345,691,3673204,50,6.34118,2.10198,3.48059
WT_peak_5,chr1,4345442,4345893,452,4345557,26,6.60073,2.87966,3.67728
WT_peak_6,chr1,4352333,4352821,489,4352583,23,4.6902,2.42557,2.22238
WT_peak_7,chr1,4353108,4353510,403,4353372,22,4.11839,2.28147,1.82131
WT_peak_8,chr1,4419395,4419779,385,4419522,29,7.57074,3.00363,4.45304
WT_peak_9,chr1,4478541,4479042,502,4478753,34,5.58899,2.29134,2.89449
WT_peak_10,chr1,4490844,4491597,754,4491024,87,10.99662,2.20518,7.27726
WT_peak_11,chr1,4570730,4571348,619,4571000,43,13.66382,3.7612,9.59479
WT_peak_12,chr1,4572381,4573066,686,4572519,35,8.63485,2.98221,5.31039
WT_peak_13,chr1,4591607,4592127,521,4591806,36,9.52461,3.15444,6.03734
WT_peak_14,chr1,4592269,4592888,620,4592623,29,6.13641,2.599,3.31652
WT_peak_15,chr1,4593038,4593470,433,4593251,33,8.26925,2.98576,5.00756
WT_peak_16,chr1,4687753,4688237,485,4687999,54,9.41758,2.51866,5.94812
WT_peak_17,chr1,4688432,4688935,504,4688681,52,7.93851,2.32445,4.74492
WT_peak_18,chr1,4689075,4690041,967,4689756,60,10.95315,2.61817,7.24017
WT_peak_19,chr1,4999545,4999958,414,4999679,27,6.411,2.76891,3.53626
WT_peak_20,chr1,5020494,5020823,330,5020698,69,6.50413,1.89597,3.61117
WT_peak_21,chr1,5021244,5022440,1197,5021591,79,10.10124,2.20206,6.51705
WT_peak_22,chr1,5045620,5046100,481,5045907,32,8.21325,3.02173,4.97057
WT_peak_23,chr1,5588539,5590049,1511,5589510,29,8.23508,3.19963,4.97966
WT_peak_24,chr1,5915805,5917381,1577,5916190,52,9.37221,2.55824,5.91764
WT_peak_25,chr1,5917675,5917985,311,5917734,44,6.94681,2.32197,3.95679
WT_peak_26,chr1,6358187,6358943,757,6358425,57,10.14716,2.56473,6.55627
WT_peak_27,chr1,6359759,6360654,896,6360026,52,8.11801,2.35334,4.8919
WT_peak_28,chr1,6381689,6382612,924,6382306,53,9.25787,2.51586,5.82142
WT_peak_29,chr1,6383355,6384132,778,6383639,54,9.6685,2.55875,6.15918
WT_peak_30,chr1,6439946,6441219,1274,6440834,67,20.8044,3.91036,16.23754
WT_peak_31,chr1,6441874,6442200,327,6442058,49,10.37449,2.81486,6.75007
WT_peak_32,chr1,9299963,9301284,1322,9300714,61,13.01845,2.9012,9.02567
WT_peak_33,chr1,9545465,9546508,1044,9545719,40,15.22143,4.37282,10.99137
WT_peak_34,chr1,9601449,9602258,810,9601674,35,5.58973,2.26459,2.89511
WT_peak_35,chr1,9612810,9613357,548,9613067,46,11.07083,3.05209,7.34118
WT_peak_36,chr1,9796243,9797556,1314,9797278,67,8.57267,2.17312,5.25954
WT_peak_37,chr1,9849050,9849409,360,9849211,71,10.88112,2.40118,7.17794
WT_peak_38,chr1,9849536,9851100,1565,9849829,73,12.06347,2.51218,8.19042
WT_peak_39,chr1,9965868,9966838,971,9966556,61,9.06491,2.32852,5.66014
WT_peak_40,chr1,9968726,9969478,753,9969036,58,7.26409,2.12168,4.20382
WT_peak_41,chr1,9998428,9998887,460,9998701,31,6.8789,2.71377,3.90209
WT_peak_42,chr1,9999678,9999992,315,9999747,32,6.69656,2.62547,3.75442
WT_peak_43,chr1,10010164,10010523,360,10010402,27,5.464,2.4929,2.80951
WT_peak_44,chr1,10233641,10235082,1442,10233912,55,13.10304,3.09839,9.10002
WT_peak_45,chr1,10506540,10507119,580,10506907,24,5.58678,2.66636,2.89281
WT_peak_46,chr1,10804270,10806898,2629,10805845,37,12.09548,3.7578,8.21818
WT_peak_47,chr1,10992558,10992963,406,10992735,44,8.25592,2.56936,4.99671
WT_peak_48,chr1,10994038,10995695,1658,10994439,55,13.61154,3.18611,9.54883
WT_peak_49,chr1,11415050,11415936,887,11415253,34,10.65688,3.57095,6.98487
WT_peak_50,chr1,12657470,12657961,492,12657702,40,15.22143,4.37282,10.99137
WT_peak_51,chr1,12864479,12864913,435,12864758,25,6.08585,2.77301,3.27594
WT_peak_52,chr1,12876543,12876878,336,12876748,36,9.59199,3.17126,6.09384
WT_peak_53,chr1,12994248,12994612,365,12994349,35,4.73311,2.0739,2.25563
WT_peak_54,chr1,13050471,13050818,348,13050633,27,7.13089,2.98632,4.09543
WT_peak_55,chr1,13425324,13425926,603,13425723,35,6.9297,2.57147,3.94293
WT_peak_56,chr1,13477007,13477388,382,13477177,27,7.13089,2.98632,4.09543
WT_peak_57,chr1,13590848,13591879,1032,13591141,52,16.89504,3.94345,12.53137
WT_peak_58,chr1,13739402,13739774,373,13739620,30,6.17184,2.56801,3.34484
WT_peak_59,chr1,14308946,14309273,328,14309136,30,6.69233,2.70752,3.75114
WT_peak_60,chr1,14505136,14506373,1238,14505441,73,14.80442,2.8525,10.61558
WT_peak_61,chr1,14840467,14841142,676,14840654,28,7.67582,3.09297,4.52976
WT_peak_62,chr1,14917389,14918586,1198,14917938,40,12.03735,3.55197,8.16747
WT_peak_63,chr1,15285598,15286111,514,15285827,56,7.07534,2.12337,4.0606
WT_peak_64,chr1,15287408,15288582,1175,15288151,68,11.62478,2.54679,7.81452
WT_peak_65,chr1,15312823,15313295,473,15313012,32,7.03823,2.71272,4.03078
WT_peak_66,chr1,15891526,15892509,984,15892109,58,8.96817,2.36797,5.5793
WT_peak_67,chr1,15893081,15893621,541,15893358,63,10.71773,2.52143,7.03706
WT_peak_68,chr1,15926139,15926498,360,15926261,27,7.13089,2.98632,4.09543
WT_peak_69,chr1,16057305,16057779,475,16057438,32,6.2998,2.52548,3.44678
WT_peak_70,chr1,16058758,16059395,638,16058961,33,6.85734,2.62702,3.88419
WT_peak_71,chr1,16073150,16074059,910,16073665,34,6.27377,2.45103,3.42605
WT_peak_72,chr1,16074453,16074766,314,16074567,39,8.72312,2.83202,5.38313
WT_peak_73,chr1,16091847,16093324,1478,16092360,50,18.08937,4.32508,13.64839
WT_peak_74,chr1,16106473,16108069,1597,16107027,39,14.52909,4.26617,10.36573
WT_peak_75,chr1,16157935,16158553,619,16158353,26,6.16709,2.74602,3.34104
WT_peak_76,chr1,16250925,16251369,445,16251138,26,6.60073,2.87966,3.67728
WT_peak_77,chr1,16520274,16521158,885,16520582,67,16.76265,3.28227,12.40707
WT_peak_78,chr1,16521315,16521636,322,16521449,40,4.596,1.95263,2.16756
WT_peak_79,chr1,16619881,16621311,1431,16620704,43,9.68772,2.88642,6.17536
WT_peak_80,chr1,16953980,16954340,361,16954095,23,5.10408,2.5597,2.52813
WT_peak_81,chr1,17090695,17091341,647,17091219,57,9.49884,2.46636,6.01592
WT_peak_82,chr1,17096345,17096655,311,17096361,58,5.39273,1.85599,2.75379
WT_peak_83,chr1,17727539,17728080,542,17727953,23,5.10408,2.5597,2.52813
WT_peak_84,chr1,18057516,18057955,440,18057709,49,6.20486,2.09569,3.37154
WT_peak_85,chr1,18058975,18060056,1082,18059524,70,14.58172,2.89292,10.41367
WT_peak_86,chr1,18076700,18077024,325,18076823,32,8.67491,3.1472,5.34259
WT_peak_87,chr1,18077869,18078230,362,18078137,27,5.56145,2.52082,2.88654
WT_peak_88,chr1,18977606,18977973,368,18977839,32,4.12304,1.99771,1.82483
WT_peak_89,chr1,19087373,19088215,843,19087828,27,6.7652,2.87501,3.81024
WT_peak_90,chr1,19105230,19105737,508,19105603,62,5.64315,1.85141,2.93776
WT_peak_91,chr1,19110162,19111137,976,19110700,54,6.60677,2.08265,3.68267
WT_peak_92,chr1,19240573,19241042,470,19240851,58,5.4184,1.85963,2.77378
WT_peak_93,chr1,19265395,19265829,435,19265738,41,8.78967,2.77219,5.43819
WT_peak_94,chr1,19266299,19266609,311,19266557,32,4.43549,2.07182,2.04413
WT_peak_95,chr1,19331041,19331777,737,19331637,33,7.5276,2.79493,4.41783
WT_peak_96,chr1,19331956,19332308,353,19332147,29,5.76533,2.49804,3.03394
