name,chr,start,end,PrL.prob,geneName,location
prL1,chr10,40258195.0,40259194.0,1.0,U3,genic
prL2,chr11,101657687.0,101658686.0,1.0,U2,genic
prL3,chr17,24528056.0,24529055.0,1.0,Rab26,genic
prL4,chr19,8723511.0,8724510.0,1.0,SNORD25,genic
prL5,chr1,161034870.0,161035869.0,0.9999,Gas5,genic
prL6,chr11,101604687.0,101605686.0,0.9999,U2,genic
prL7,chr13,23555132.0,23556131.0,0.9999,Hist1h1d,genic
prL8,chr19,5800001.0,5801000.0,0.9999,Scyl1,intergenic
prL9,chr3,88553079.0,88554078.0,0.9999,Ubqln4,overlapTSS
prL10,chr3,96269078.0,96270077.0,0.9999,Hist2h3b,genic
prL11,chr3,96558078.0,96559077.0,0.9999,AC122037.2,genic
prL12,chr7,118115487.0,118116486.0,0.9999,Rps15a,overlapTSS
prL13,chr8,11635001.0,11636000.0,0.9999,Ankrd10,overlapTSS
prL14,chr8,83715102.0,83716101.0,0.9999,Ddx39,overlapTSS
prL15,chr9,78481194.0,78482193.0,0.9999,Eef1a1,overlapTSS
prL16,chrX,169997069.0,169998068.0,0.9999,Mid1,downstream
prL17,chr10,21994195.0,21995194.0,0.9998,Sgk1,genic
prL18,chr11,62602499.0,62603498.0,0.9998,RP23-234K24.8,overlapTSS
prL19,chr15,80082571.0,80083570.0,0.9998,Rpl3,overlapTSS
prL20,chr15,83149571.0,83150570.0,0.9998,U12,genic
prL21,chr17,34952056.0,34953055.0,0.9998,AC087117.1,genic
prL22,chr18,35553347.0,35554346.0,0.9998,SNORA74,upstream
prL23,chr7,45127631.0,45128630.0,0.9998,Rpl13a,genic
prL24,chr8,11758001.0,11759000.0,0.9998,Arhgef7,genic
prL25,chr9,40800918.0,40801917.0,0.9998,Hspa8,overlapTSS
prL26,chr1,72824427.0,72825426.0,0.9997,Igfbp2,overlapTSS
prL27,chr10,81176256.0,81177255.0,0.9997,Eef2,overlapTSS
prL28,chr10,128082945.0,128083944.0,0.9997,Baz2a,genic
prL29,chr13,23581132.0,23582131.0,0.9997,Hist1h4d,genic
prL30,chr13,41000632.0,41001631.0,0.9997,AC133496.1,overlapTSS
prL31,chr17,32036056.0,32037055.0,0.9997,Rrp1b,overlapTSS
prL32,chr6,125163983.0,125164982.0,0.9997,Gapdh,genic
prL33,chr7,141447102.0,141448101.0,0.9997,Rplp2,overlapTSS
prL34,chr1,178336870.0,178337869.0,0.9996,Hnrnpu,overlapTSS
prL35,chr11,48800499.0,48801498.0,0.9996,Gnb2l1,genic
prL36,chr11,87422499.0,87423498.0,0.9996,Tex14,genic
prL37,chr12,110695791.0,110696790.0,0.9996,Hsp90aa1,overlapTSS
prL38,chr13,23746132.0,23747131.0,0.9996,RP23-480B19.12,genic
prL39,chr13,23763132.0,23764131.0,0.9996,Hist1h1a,overlapTSS
prL40,chr13,81711002.0,81712001.0,0.9996,Polr3g,overlapTSS
prL41,chr18,34624347.0,34625346.0,0.9996,Brd8,overlapTSS
prL42,chr2,23155481.0,23156480.0,0.9996,Mastl,overlapTSS
prL43,chr2,34771481.0,34772480.0,0.9996,Hspa5,overlapTSS
prL44,chr2,165992501.0,165993500.0,0.9996,RP23-108D12.7,overlapTSS
prL45,chr4,56802129.0,56803128.0,0.9996,Ikbkap,overlapTSS
prL46,chr7,3219000.0,3219999.0,0.9996,mmu-mir-291a,genic
prL47,chr8,69791102.0,69792101.0,0.9996,Zfp866,overlapTSS
prL48,chr8,106603101.0,106604100.0,0.9996,Cdh1,overlapTSS
prL49,chr8,124862101.0,124863100.0,0.9996,AC151736.3,genic
prL50,chr9,65587194.0,65588193.0,0.9996,Pif1,genic
prL51,chrX,13280875.0,13281874.0,0.9996,Ddx3x,overlapTSS
prL52,chr11,5787998.0,5788997.0,0.9995,Dbnl,overlapTSS
prL53,chr11,48799499.0,48800498.0,0.9995,Gnb2l1,overlapTSS
