name,chrom,start,end,strand,TPM
Dio2,chr12,90724551,90738438,-,0.0953314006
Dao,chr5,114003734,114025676,+,0.095328357
Tssk4,chr14,55650183,55652539,+,0.095325394
Hs3st3a1,chr11,64435331,64522835,+,0.0952856427
Gdap1,chr1,17145372,17164270,+,0.0952339858
Cdh9,chr15,16778100,16856777,+,0.0952337222
Mir1963,chr7,29083635,29083694,-,0.095230862
Mir5621,chr11,115795823,115795886,+,0.0952071101
Dkk4,chr8,22624042,22627546,+,0.095153826
Fam166a,chr2,25218744,25222281,+,0.0950875763
Col8a2,chr4,126286793,126314330,+,0.0949035165
4933413J09Rik,chr14,26357546,26400456,+,0.094899968
Mir717,chrX,52422406,52422515,-,0.0947562897
Cd300c,chr11,114956277,114960417,-,0.0946281897
Dcaf12l2,chrX,44365456,44368337,-,0.0945506989
AU019990,chr2,132598195,132653064,+,0.0945088033
Gm5086,chr13,97559999,97583994,+,0.0944574054
Nr2f2,chr7,70351949,70366746,-,0.0944310424
Gdf7,chr12,8297917,8301954,-,0.0944091826
Dnah7b,chr1,46066737,46373550,+,0.0942979066
H2-T23,chr17,36029976,36032701,-,0.0942935321
Slc6a5,chr7,49910298,49959493,+,0.0942582155
Ak5,chr3,152462814,152668140,-,0.094172659
Spo11,chr2,172979841,172993576,+,0.0940700668
Krt9,chr11,100186780,100193246,-,0.0940166531
Prdm12,chr2,31640036,31655795,+,0.093996209
Mir7039,chr5,144896731,144896816,-,0.0939848625
Fgd3,chr13,49263109,49309208,-,0.0939153603
Foxe1,chr4,46344193,46345309,+,0.0939093304
Pnpla1,chr17,28858410,28890308,+,0.0937837351
Tacr3,chr3,134829006,134934581,+,0.0937819712
Mir130a,chr2,84741114,84741178,-,0.0937194991
Gckr,chr5,31297580,31327302,+,0.0936177217
Gng11,chr6,4003986,4008446,+,0.0935545377
Erich2,chr2,70508818,70540884,+,0.0935107213
Asb2,chr12,103321141,103356001,-,0.0935095797
Dusp13,chr14,21733394,21748622,-,0.093491725
Pla2r1,chr2,60417542,60553308,-,0.0934104841
A230065H16Rik,chr12,111406808,111412077,+,0.0931287266
Mir568,chr16,43640654,43640737,+,0.0929437939
Cyp4a10,chr4,115518286,115533649,+,0.0929131067
Aldh8a1,chr10,21377299,21396578,+,0.0929058801
Trim60,chr8,64998447,65018688,-,0.0928778007
Ebf3,chr7,137193670,137314445,-,0.0927387587
Chrm3,chr13,9876612,10360803,-,0.0927250065
Slc36a1os,chr11,55191718,55197682,-,0.0927180191
Pdxk-ps,chr17,32076082,32091423,-,0.0925793277
Nek10,chr14,14820814,15006693,+,0.0925479209
5330417C22Rik,chr3,108458068,108536522,-,0.0924959738
Rnu6,chr19,14438479,14438506,-,0.0924562294
9130024F11Rik,chr1,56971468,56975196,+,0.0924435522
Pla2g3,chr11,3488226,3494166,+,0.0924210797
Fabp4,chr3,10204342,10208576,-,0.0923854543
Ankrd22,chr19,34122548,34166041,-,0.0923136265
