name,chr,start,end,max_1kb_coverage
Ezh2_1,chrX,6778824.0,6780774.0,9790.58
Ezh2_2,chrX,7543974.0,7545574.0,9019.766
Ezh2_3,chrX,7921324.0,7925074.0,9897.765
Ezh2_4,chrX,10717774.0,10719174.0,8144.262
Ezh2_5,chrX,11664724.0,11666224.0,7693.764
Ezh2_6,chrX,11805774.0,11807424.0,9082.946
Ezh2_7,chrX,11999674.0,12007374.0,19016.269
Ezh2_8,chrX,12041224.0,12042424.0,7568.894
Ezh2_9,chrX,12065474.0,12071774.0,16581.837
Ezh2_10,chrX,12072874.0,12095774.0,28838.53
Ezh2_11,chrX,12122324.0,12141774.0,25747.92
Ezh2_12,chrX,12150224.0,12161324.0,14126.421
Ezh2_13,chrX,12761624.0,12762874.0,7574.597
Ezh2_14,chrX,13485474.0,13486774.0,7877.076
Ezh2_15,chrX,13846824.0,13848074.0,7912.283
Ezh2_16,chrX,20058974.0,20061524.0,15125.75
Ezh2_17,chrX,20616874.0,20618374.0,7630.285
Ezh2_18,chrX,35890855.0,35892055.0,7568.172
Ezh2_19,chrX,36327305.0,36330055.0,27570.05
Ezh2_20,chrX,37047355.0,37050555.0,13599.781
Ezh2_21,chrX,38180223.0,38181573.0,7711.529
Ezh2_22,chrX,38250523.0,38253323.0,11981.655
Ezh2_23,chrX,41400473.0,41402323.0,9855.489
Ezh2_24,chrX,42525773.0,42527073.0,7938.453
Ezh2_25,chrX,43426573.0,43431073.0,15975.487
Ezh2_26,chrX,48032523.0,48036223.0,16544.964
Ezh2_27,chrX,48285573.0,48287573.0,10516.883999999998
Ezh2_28,chrX,48340023.0,48345423.0,10954.483
Ezh2_29,chrX,48451973.0,48454323.0,13486.771
Ezh2_30,chrX,48726223.0,48727523.0,8392.835
Ezh2_31,chrX,49475873.0,49477273.0,8725.95
Ezh2_32,chrX,49492223.0,49494973.0,12687.205
Ezh2_33,chrX,51294773.0,51295773.0,7257.825
Ezh2_34,chrX,51680223.0,51682673.0,18634.653000000002
Ezh2_35,chrX,52162623.0,52164523.0,10200.254
Ezh2_36,chrX,52613623.0,52614873.0,7758.314
Ezh2_37,chrX,53056973.0,53060323.0,12261.423
Ezh2_38,chrX,53773973.0,53776523.0,17039.026
Ezh2_39,chrX,53973823.0,53977623.0,16192.087
Ezh2_40,chrX,57502623.0,57504773.0,10513.446000000002
Ezh2_41,chrX,57671573.0,57673123.0,8370.859
Ezh2_42,chrX,57777973.0,57779573.0,9620.044
Ezh2_43,chrX,57916673.0,57923173.0,15250.97
Ezh2_44,chrX,58026673.0,58028773.0,8041.249
Ezh2_45,chrX,58029873.0,58034173.0,14519.062
Ezh2_46,chrX,59565573.0,59570773.0,20924.668999999998
Ezh2_47,chrX,60175673.0,60177473.0,9970.181
Ezh2_48,chrX,60798975.0,60800675.0,10534.857
Ezh2_49,chrX,60890575.0,60899625.0,14680.618999999999
Ezh2_50,chrX,69360125.0,69362325.0,11970.827
Ezh2_51,chrX,71048575.0,71052625.0,12257.813
Ezh2_52,chrX,71081125.0,71082525.0,8503.806
Ezh2_53,chrX,71661325.0,71666575.0,25765.786
Ezh2_54,chrX,73420861.0,73423211.0,9580.014000000001
Ezh2_55,chrX,73635511.0,73637661.0,11725.476999999999
Ezh2_56,chrX,73639361.0,73640761.0,7828.984
Ezh2_57,chrX,73879511.0,73880661.0,7915.609
Ezh2_58,chrX,74352511.0,74353611.0,7422.8330000000005
Ezh2_59,chrX,75142261.0,75143361.0,7259.521
Ezh2_60,chrX,77431761.0,77433061.0,7359.602
Ezh2_61,chrX,83486811.0,83487961.0,7748.59
Ezh2_62,chrX,85971811.0,85973361.0,9310.698
Ezh2_63,chrX,93281261.0,93301311.0,45985.02
Ezh2_64,chrX,94364861.0,94367161.0,12432.511999999999
Ezh2_65,chrX,94635711.0,94636961.0,7474.052
Ezh2_66,chrX,96925961.0,96926961.0,7240.776
Ezh2_67,chrX,98148411.0,98153011.0,13581.318000000001
Ezh2_68,chrX,98166261.0,98167461.0,7826.941999999999
Ezh2_69,chrX,99443161.0,99444561.0,8908.907
Ezh2_70,chrX,99467011.0,99468261.0,7687.866
Ezh2_71,chrX,99975511.0,99977011.0,8712.246
Ezh2_72,chrX,100085561.0,100087311.0,10672.86
Ezh2_73,chrX,101382411.0,101385761.0,11389.462
Ezh2_74,chrX,101639361.0,101640611.0,7660.313
Ezh2_75,chrX,101695261.0,101698761.0,13176.966999999999
Ezh2_76,chrX,101845661.0,101847461.0,8606.487
Ezh2_77,chrX,101848661.0,101851661.0,13882.358
Ezh2_78,chrX,102069561.0,102071861.0,11590.962
Ezh2_79,chrX,102245561.0,102253711.0,28039.574
Ezh2_80,chrX,102445261.0,102446511.0,7699.651999999999
Ezh2_81,chrX,103320961.0,103323911.0,11696.556
Ezh2_82,chrX,103354411.0,103355911.0,8178.969
Ezh2_83,chrX,103448511.0,103450811.0,10015.168
Ezh2_84,chrX,103694111.0,103695861.0,9304.032
Ezh2_85,chrX,103819511.0,103822211.0,12837.813
Ezh2_86,chrX,103979811.0,103981461.0,8746.211
Ezh2_87,chrX,105119911.0,105121711.0,9391.866
Ezh2_88,chrX,105762061.0,105766911.0,27170.56
Ezh2_89,chrX,106219311.0,106220561.0,7681.78
Ezh2_90,chrX,107676311.0,107677761.0,8702.843
Ezh2_91,chrX,109185361.0,109186611.0,7833.293000000001
Ezh2_92,chrX,110813761.0,110817861.0,16815.356
Ezh2_93,chrX,112600941.0,112602891.0,10948.507
Ezh2_94,chrX,120289891.0,120292191.0,18686.584
Ezh2_95,chrX,129749414.0,129750414.0,7254.508000000001
Ezh2_96,chrX,133683711.0,133692511.0,39303.79
Ezh2_97,chrX,133980561.0,133981861.0,8114.321
Ezh2_98,chrX,134757211.0,134759111.0,10273.47
Ezh2_99,chrX,134963611.0,134965311.0,8801.006
Ezh2_100,chrX,136666461.0,136668261.0,8756.319
Ezh2_101,chrX,137099011.0,137101111.0,13552.767
Ezh2_102,chrX,137104411.0,137105611.0,7451.741999999999
Ezh2_103,chrX,137117461.0,137121511.0,24464.0
Ezh2_104,chrX,137569361.0,137572611.0,12524.758999999998
Ezh2_105,chrX,138735161.0,138736811.0,7454.234
Ezh2_106,chrX,139107661.0,139108861.0,7478.444
Ezh2_107,chrX,140060411.0,140063611.0,17809.77
Ezh2_108,chrX,140275761.0,140279561.0,9465.752
Ezh2_109,chrX,140596911.0,140602561.0,10968.303999999998
Ezh2_110,chrX,140665161.0,140667011.0,11041.545
Ezh2_111,chrX,141152257.0,141153307.0,7312.293000000001
Ezh2_112,chrX,141515957.0,141517357.0,8187.098000000001
Ezh2_113,chrX,141720807.0,141727307.0,15763.23
Ezh2_114,chrX,142304907.0,142306057.0,7712.319
Ezh2_115,chrX,143393357.0,143394907.0,7871.2519999999995
Ezh2_116,chrX,143717707.0,143718907.0,7651.005
Ezh2_117,chrX,144686757.0,144690657.0,13416.708999999999
Ezh2_118,chrX,146960007.0,146964157.0,12506.982
Ezh2_119,chrX,152144157.0,152146257.0,13974.042
Ezh2_120,chrX,152971957.0,152973407.0,8347.206
Ezh2_121,chrX,152977757.0,152979107.0,8375.502
Ezh2_122,chrX,153587807.0,153589307.0,8717.302
Ezh2_123,chrX,153759757.0,153760907.0,7520.385
Ezh2_124,chrX,155621757.0,155626807.0,12046.907
Ezh2_125,chrX,157943518.0,157944568.0,7261.081
Ezh2_126,chrX,158041018.0,158043768.0,14076.913999999999
Ezh2_127,chrX,159256018.0,159258118.0,10452.79
Ezh2_128,chrX,159414518.0,159416268.0,10698.782
Ezh2_129,chrX,160390318.0,160392368.0,10801.46
Ezh2_130,chrX,160909618.0,160911118.0,8187.903
Ezh2_131,chrX,160940718.0,160942218.0,9313.66
Ezh2_132,chrX,161717018.0,161720468.0,11683.63
Ezh2_133,chrX,161725868.0,161727018.0,7354.455
Ezh2_134,chrX,161908118.0,161910018.0,9849.927
Ezh2_135,chrX,162040618.0,162041718.0,7841.651
Ezh2_136,chrX,162158168.0,162160418.0,13775.286
Ezh2_137,chrX,163759618.0,163761468.0,9790.615
Ezh2_138,chrX,163907618.0,163909068.0,7976.4130000000005
Ezh2_139,chrX,164244068.0,164245468.0,8163.044
Ezh2_140,chrX,166237618.0,166240718.0,14196.458
Ezh2_141,chrX,167207518.0,167209718.0,13251.733999999999
Ezh2_142,chrX,167880068.0,167881268.0,7744.593000000001
Ezh2_143,chrX,168075718.0,168076968.0,7858.584
Ezh2_144,chrX,168784368.0,168785668.0,8074.278
Ezh2_145,chrX,168794568.0,168798018.0,19068.214
Ezh2_146,chrX,169037018.0,169038318.0,7367.460999999999
Ezh2_147,chrX,169988018.0,169989318.0,7748.004
