name,chr,start,end,strand,RPK
Mogat2,chr7,99238111,99239111,-,297.2477285047
Ptrf,chr11,100970117,100971117,-,297.2344184527
Fcgr3,chr1,171058903,171059903,-,297.1826872124
Zfp41,chr15,75616183,75617183,+,297.0249385616
Nhej1,chr1,75046139,75047139,-,297.0006298013
Lama1,chr17,67696764,67697764,+,296.9617472851
Sh3pxd2a,chr19,47463911,47464911,-,296.9363022816
Lrp1,chr10,127620648,127621648,-,296.9168494086
Myh13,chr11,67326602,67327602,+,296.8826767759
Oraov1,chr7,144914693,144915693,+,296.5051237876
Ldoc1,chrX,61709115,61710115,+,296.3039679284
Mlana,chr19,29697440,29698440,+,296.2735248667
Vstm5,chr9,15238544,15239544,+,296.06438098
Rps6ka4,chr19,6840127,6841127,-,295.845886449
Cd37,chr7,45238615,45239615,-,295.6373440565
Dcaf5,chr12,80436101,80437101,-,295.5762560771
Emp2,chr16,10313468,10314468,-,295.1409620733
Hdac4,chr1,92147893,92148893,-,294.8695244281
Stk10,chr11,32532765,32533765,+,294.7532227496
Cdc42bpa,chr1,179960588,179961588,+,294.6771047272
Lpgat1,chr1,191717523,191718523,+,294.6264850182
Mtf1,chr4,124802048,124803048,+,294.5730121667
Plec,chr15,76230878,76231878,-,294.308240948
C1ql1,chr11,102945961,102946961,-,294.2309770268
Gm17296,chr8,126474565,126475565,-,294.1631895395
Fbxo46,chr7,19119358,19120358,+,293.6752082923
Smad6,chr9,64021559,64022559,-,293.4864356059
Tmem245,chr4,56946929,56947929,-,293.4751967542
Psmb10,chr8,105937892,105938892,-,293.3816463886
Zer1,chr2,30124111,30125111,-,293.2141367861
Necab2,chr8,119446218,119447218,+,292.9170272263
Ssfa2,chr2,79634924,79635924,+,292.7424412939
Fam72a,chr1,131527488,131528488,+,292.6886883105
Gli1,chr10,127341079,127342079,-,292.6708986961
Rapgef3,chr15,97767166,97768166,-,292.292369076
Map1b,chr13,99516102,99517102,-,292.2550405021
Auts2,chr5,132541843,132542843,-,292.2545348974
Pbxip1,chr3,89436203,89437203,+,292.2110692365
Nphs1,chr7,30459557,30460557,+,292.0238281665
Nfic,chr10,81426673,81427673,-,291.8936888305
Gba2,chr4,43578364,43579364,-,291.8766024144
Tmem47,chrX,81070143,81071143,+,291.8630905779
Zfp36,chr7,28378728,28379728,-,291.7941320456
Slc33a1,chr3,63964233,63965233,-,291.7482332287
Arl16,chr11,120467100,120468100,-,291.5034977526
Crygc,chr1,65073032,65074032,-,291.4300925188
Ogfod2,chr5,124111837,124112837,+,291.4067927918
Ptch2,chr4,117095855,117096855,+,291.2480303074
Atm,chr9,53536171,53537171,-,291.245769523
Zfp729b,chr13,67609207,67610207,-,291.2105822418
Tmem64,chr4,15265319,15266319,+,291.1438688408
Il6ra,chr3,89912662,89913662,-,291.0415489306
Dmd,chrX,82948369,82949369,+,290.9779084308
Htt,chr5,34761239,34762239,+,290.8494693899
Smug1,chr15,103162784,103163784,-,290.7807533652
Scyl3,chr1,163928599,163929599,+,290.6610593768
Gc,chr5,89457398,89458398,-,290.5999884454
Rad51c,chr11,87404454,87405454,-,290.4712702583
Thra,chr11,98741372,98742372,+,290.2926322943
Map3k5,chr10,19934025,19935025,+,290.2852163588
Cir1,chr2,73312092,73313092,-,290.0276885882
Zfyve26,chr12,79295782,79296782,-,289.9213877195
Dnajb5,chr4,42952593,42953593,+,289.8924876945
Efemp2,chr19,5474189,5475189,+,289.2848150066
Prx,chr7,27498823,27499823,+,289.1400400488
Gin1,chr1,97769678,97770678,+,289.048865735
Fcho1,chr8,71725181,71726181,-,288.9887942097
Dhtkd1,chr2,5942292,5943292,-,288.9775268862
Ccpg1os,chr9,72984876,72985876,-,288.5856304572
Ido2,chr8,24575833,24576833,-,288.5374418578
Ccdc28b,chr4,129623408,129624408,-,288.4112129755
Socs4,chr14,47276642,47277642,+,288.3628714083
Pigm,chr1,172376030,172377030,+,288.3144091606
Gdpgp1,chr7,80232392,80233392,+,288.2852135116
Cgn,chr3,94786015,94787015,-,288.2519691896
Ffar3,chr7,30855678,30856678,-,288.1258267387
Rspry1,chr8,94601440,94602440,+,287.9209448654
Tmub1,chr5,24447346,24448346,-,287.7700498345
Slc29a3,chr10,60752282,60753282,-,287.5715082998
Grik3,chr4,125490330,125491330,+,287.0903878656
Tpgs2,chr18,25168377,25169377,-,287.0578004423
Fgf3,chr7,144838111,144839111,+,286.9737924017
Lztfl1,chr9,123717057,123718057,-,286.9305400267
Dnajb2,chr1,75235922,75236922,+,286.829902187
Traf3,chr12,111165869,111166869,+,286.7726156906
G2e3,chr12,51347729,51348729,+,286.7224490253
Zfp60,chr7,27730908,27731908,+,286.5510993968
Capn2,chr1,182516983,182517983,-,286.4203428556
Spata24,chr18,35661686,35662686,-,286.4046959205
Ube2cbp,chr9,86464416,86465416,-,286.11352715
Ice2,chr9,69397497,69398497,+,286.0208201115
Rmi2,chr16,10834558,10835558,+,285.9841365351
Wdr31,chr4,62470395,62471395,-,285.8792010946
Zdhhc24,chr19,4878167,4879167,+,285.8432244817
Cptp,chr4,155868940,155869940,-,285.7802922263
Cmc1,chr9,118149696,118150696,-,285.6719263405
Lgals7,chr7,28863885,28864885,+,285.1924641279
Xkr8,chr4,132732046,132733046,-,285.1870766363
Gm5617,chr9,48494842,48495842,+,285.184600148
Plod2,chr9,92541722,92542722,+,284.9683205252
Nupl2,chr5,24164462,24165462,+,284.8757097738
Cers6,chr2,68861056,68862056,+,284.8643707197
Dnmbp,chr19,43939698,43940698,-,284.8626345735
Zfp472,chr17,32965330,32966330,+,284.7088853427
Efna2,chr10,80178981,80179981,+,284.6690809778
Pqlc2,chr4,139310200,139311200,-,284.654268547
Frmd6,chr12,70825013,70826013,+,284.5285142571
Zfp345,chr2,150484563,150485563,-,284.3372157178
Tbc1d9b,chr11,50130859,50131859,+,284.2871832456
Cc2d2a,chr5,43661878,43662878,+,284.2692881766
Senp5,chr16,32002787,32003787,-,284.2547731781
Lmf1,chr17,25578673,25579673,+,284.1522746264
Acp2,chr2,91202411,91203411,+,284.039143837
Slc43a1,chr2,84838907,84839907,+,284.0241262302
Aplf,chr6,87671668,87672668,-,283.9434274109
Dhrs13,chr11,78031812,78032812,+,283.9291873495
Fktn,chr4,53713681,53714681,+,283.760068131
Arhgef12,chr9,43105218,43106218,-,283.7490171125
Ppp1r13l,chr7,19360715,19361715,+,283.6996381729
Pnma2,chr14,66910707,66911707,+,283.583234755
Dmxl1,chr18,49832496,49833496,+,283.5805237544
AK010878,chr12,102757310,102758310,-,283.5698399231
Tcirg1,chr19,3906633,3907633,-,283.2473741019
Slc35a3,chr3,116711780,116712780,-,283.2367418746
Col4a1,chr8,11312326,11313326,-,283.1038878196
Rhou,chr8,123653428,123654428,+,283.0551656157
Tspan5,chr3,138741707,138742707,+,282.8959488109
Nxt2,chrX,142226269,142227269,+,282.8953372684
Bloc1s5,chr13,38634609,38635609,-,282.8912096965
Ermard,chr17,15041111,15042111,+,282.8295200005
Ttc19,chr11,62280972,62281972,+,282.8205213494
Ccdc32,chr2,119028893,119029893,-,282.7594182347
Lysmd2,chr9,75625231,75626231,+,282.6858288657
Rims3,chr4,120877368,120878368,+,282.5838920052
Gca,chr2,62663826,62664826,+,282.4896557693
Zfp653,chr9,22070845,22071845,-,282.3604794033
Mir8094,chr17,35250788,35251788,+,282.1729542957
Trf,chr9,103229786,103230786,-,282.1170974832
5830417I10Rik,chr3,88776556,88777556,+,282.0412121586
Prorsd1,chr11,29514533,29515533,-,281.933700944
Gphn,chr12,78226154,78227154,+,281.8036354712
Fbxo27,chr7,28692348,28693348,+,281.5318729216
Zfp821,chr8,109705045,109706045,+,281.1420611055
D1Pas1,chr1,186966915,186967915,+,281.1393235935
Nenf,chr1,191317618,191318618,-,280.8826146824
Nckap5l,chr15,99457248,99458248,-,280.8000810095
Zbtb14,chr17,69383477,69384477,+,280.7926138378
D16Ertd472e,chr16,78576188,78577188,-,280.711859267
