name,chr,start,end,score
Hira_1,chr1,4770006.0,4771605.0,59.21
Hira_2,chr1,4772497.0,4777931.0,285.98
Hira_3,chr1,4779640.0,4781560.0,138.76
Hira_4,chr1,4781576.0,4783245.0,117.11
Hira_5,chr1,4806437.0,4807691.0,50.29
Hira_6,chr1,4807854.0,4809012.0,73.62
Hira_7,chr1,4829414.0,4832442.0,147.71
Hira_8,chr1,4836092.0,4838787.0,130.62
Hira_9,chr1,4849385.0,4852034.0,172.42
Hira_10,chr1,4853802.0,4857825.0,231.55
Hira_11,chr1,4869098.0,4871525.0,130.7
Hira_12,chr1,4887049.0,4889329.0,98.63
Hira_13,chr1,4889350.0,4891603.0,77.64
Hira_14,chr1,4898126.0,4899902.0,97.88
Hira_15,chr1,4903812.0,4905193.0,53.77
Hira_16,chr1,4969696.0,4972368.0,102.1
Hira_17,chr1,5022111.0,5023808.0,167.99
Hira_18,chr1,6447996.0,6449965.0,78.99
Hira_19,chr1,7046684.0,7048047.0,50.66
Hira_20,chr1,7067784.0,7069925.0,81.65
Hira_21,chr1,7087673.0,7088842.0,68.88
Hira_22,chr1,7205415.0,7206850.0,78.33
Hira_23,chr1,9548024.0,9549595.0,59.29
Hira_24,chr1,9697313.0,9699544.0,83.81
Hira_25,chr1,9700739.0,9703264.0,124.35
Hira_26,chr1,9724314.0,9725682.0,61.41
Hira_27,chr1,9936552.0,9938204.0,70.27
Hira_28,chr1,9938434.0,9944320.0,507.82
Hira_29,chr1,10031734.0,10035193.0,224.82
Hira_30,chr1,10877021.0,10879376.0,160.56
Hira_31,chr1,11277963.0,11279303.0,52.89
Hira_32,chr1,11399926.0,11401772.0,129.36
Hira_33,chr1,12636296.0,12637671.0,60.68
Hira_34,chr1,12711246.0,12713592.0,127.96
Hira_35,chr1,12752873.0,12754607.0,50.58
Hira_36,chr1,12762976.0,12764782.0,82.04
Hira_37,chr1,12794707.0,12796180.0,67.81
Hira_38,chr1,12810341.0,12812349.0,92.89
Hira_39,chr1,12812780.0,12815233.0,173.2
Hira_40,chr1,12834473.0,12836474.0,105.82
Hira_41,chr1,12860843.0,12862372.0,63.56
Hira_42,chr1,12862657.0,12863771.0,50.38
Hira_43,chr1,12990122.0,12991326.0,67.81
