name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
Hira_peak_1,chr1,5072641,5072741,101,5072724,14,9.402,5.58701,4.71828
Hira_peak_2,chr1,16342965,16343046,82,16343044,11,7.34247,4.91029,2.80238
Hira_peak_3,chr1,19176282,19176343,62,19176308,30,29.57688,12.68491,24.28723
Hira_peak_4,chr1,22555904,22555964,61,22555932,28,26.92608,11.86653,21.69456
Hira_peak_5,chr1,24684113,24684225,113,24684152,24,19.90958,9.12809,14.85679
Hira_peak_6,chr1,39079884,39079940,57,39079913,21,18.14027,9.00219,13.13493
Hira_peak_7,chr1,44201267,44201321,55,44201311,19,15.79192,8.18381,10.86002
Hira_peak_8,chr1,46732573,46732628,56,46732596,21,18.14027,9.00219,13.13493
Hira_peak_9,chr1,48881518,48881617,100,48881578,22,19.34368,9.41138,14.30188
Hira_peak_10,chr1,58613916,58614020,105,58613962,50,51.1433,16.71035,45.47571
Hira_peak_11,chr1,69456766,69456862,97,69456816,28,26.92608,11.86653,21.69456
Hira_peak_12,chr1,70725735,70725808,74,70725781,14,10.3099,6.13786,5.57705
Hira_peak_13,chr1,71079346,71079411,66,71079381,38,40.35983,15.76267,34.83952
Hira_peak_14,chr1,74891684,74891737,54,74891702,19,12.09901,6.05987,7.30201
Hira_peak_15,chr1,85081148,85081203,56,85081186,26,9.21274,3.7448,4.55487
Hira_peak_16,chr1,85171202,85171255,54,85171223,20,11.56063,5.57,6.7775
Hira_peak_17,chr1,85179756,85179835,80,85179794,22,12.61428,5.71571,7.78847
Hira_peak_18,chr1,85179901,85179962,62,85179936,22,12.52124,5.67005,7.69744
Hira_peak_19,chr1,90028534,90028599,66,90028568,22,15.572,7.25369,10.65507
Hira_peak_20,chr1,93289818,93289871,54,93289845,17,10.90176,5.82562,6.15244
Hira_peak_21,chr1,95451943,95451999,57,95451969,19,15.79192,8.18381,10.86002
Hira_peak_22,chr1,100738881,100738956,76,100738919,40,43.59592,16.77682,38.02487
Hira_peak_23,chr1,108082783,108082844,62,108082799,16,12.43011,6.95624,7.60949
Hira_peak_24,chr1,133594959,133595088,130,133594982,18,9.97077,5.12019,5.26761
Hira_peak_25,chr1,133595356,133595414,59,133595388,26,17.10405,7.09034,12.13154
Hira_peak_26,chr1,135230379,135230457,79,135230427,23,16.20111,7.34394,11.25998
Hira_peak_27,chr1,157599485,157599543,59,157599506,21,18.14027,9.00219,13.13493
Hira_peak_28,chr1,172116132,172116185,54,172116159,17,9.29805,4.94424,4.61827
Hira_peak_29,chr1,178539695,178539748,54,178539714,18,13.59654,7.14877,8.73505
Hira_peak_30,chr1,181743317,181743413,97,181743338,17,9.65317,5.13464,4.9607
