name,chr,start,end,Xi.pval,Xi_Xa,location
tbp_21947,chrX,6654187.0,6654770.0,0.27860999999999997,,intergenic
tbp_21948,chrX,7428192.0,7429065.0,0.10437,,no_ase_genedata
tbp_21949,chrX,7464747.0,7465353.0,0.11802,,intergenic
tbp_21950,chrX,7573502.0,7574245.0,1.0,,inactivated
tbp_21951,chrX,7574378.0,7575080.0,0.1166,,nontranscribed
tbp_21952,chrX,7657155.0,7657871.0,0.73075,,inactivated
tbp_21953,chrX,7670396.0,7671139.0,1.0,,inactivated
tbp_21954,chrX,7679605.0,7680484.0,0.43806000000000006,,no_ase_genedata
tbp_21955,chrX,7721582.0,7722821.0,0.80047,Xa_only,inactivated
tbp_21956,chrX,7728258.0,7729091.0,0.07982,,inactivated
tbp_21957,chrX,7740297.0,7741783.0,0.76657,Xa_only,inactivated
tbp_21958,chrX,7789577.0,7790509.0,1.0,,no_ase_genedata
tbp_21959,chrX,7845183.0,7845902.0,0.16203,,inactivated
tbp_21960,chrX,7877811.0,7878936.0,1.0,,inactivated
tbp_21961,chrX,7947295.0,7947908.0,1.0,Xa_only,inactivated
tbp_21962,chrX,7947937.0,7948814.0,0.34345,Xa_only,inactivated
tbp_21963,chrX,8037688.0,8038347.0,0.2798,,intergenic
tbp_21964,chrX,8065944.0,8067071.0,0.43148000000000003,,inactivated
tbp_21965,chrX,8074303.0,8075156.0,0.11890999999999999,,inactivated
tbp_21966,chrX,8090168.0,8091049.0,0.46053,,no_ase_genedata
tbp_21967,chrX,8125026.0,8126227.0,0.43651,,inactivated
tbp_21968,chrX,8131324.0,8132544.0,0.27854,,inactivated
tbp_21969,chrX,8145080.0,8146235.0,0.884,Xa_only,inactivated
tbp_21970,chrX,8205274.0,8206821.0,0.10432999999999999,,no_ase_genedata
tbp_21971,chrX,11663176.0,11663759.0,1.0,,intergenic
tbp_21972,chrX,11999727.0,12000290.0,1.0,,intergenic
tbp_21973,chrX,12080095.0,12080921.0,1.0,,inactivated
tbp_21974,chrX,12109125.0,12109890.0,0.5805,,inactivated
tbp_21975,chrX,12187456.0,12188307.0,0.57906,,intergenic
tbp_21976,chrX,12346847.0,12348395.0,0.47675,,no_ase_genedata
tbp_21977,chrX,12672791.0,12673790.0,0.8257200000000001,,inactivated
tbp_21978,chrX,12761395.0,12762471.0,1.0,,inactivated
tbp_21979,chrX,12784898.0,12785720.0,1.0,,no_ase_genedata
tbp_21980,chrX,12927746.0,12928409.0,0.34359,Xa_only,intergenic
tbp_21981,chrX,13071426.0,13072393.0,1.0,,inactivated
tbp_21982,chrX,13280197.0,13281647.0,0.8851,Xa_only,inactivated
tbp_21983,chrX,13344180.0,13344799.0,1.0,,intergenic
tbp_21984,chrX,13457694.0,13458253.0,1.0,,intergenic
tbp_21985,chrX,18161732.0,18163142.0,0.56604,Xa_only,escaping
tbp_21986,chrX,20364174.0,20364815.0,0.43296,,inactivated
tbp_21987,chrX,20425473.0,20426321.0,0.11945,,no_ase_genedata
tbp_21988,chrX,20657880.0,20658489.0,1.0,,no_ase_genedata
tbp_21989,chrX,20662735.0,20663989.0,0.56945,,no_ase_genedata
tbp_21990,chrX,20920303.0,20921452.0,1.0,,nontranscribed
tbp_21991,chrX,23361186.0,23362192.0,1.0,,no_ase_genedata
tbp_21992,chrX,23364414.0,23365577.0,1.0,,no_ase_genedata
tbp_21993,chrX,35888535.0,35889278.0,1.0,,no_ase_genedata
tbp_21994,chrX,36597729.0,36598790.0,1.0,,no_ase_genedata
tbp_21995,chrX,36794621.0,36796690.0,1.0,Xa_only,no_ase_genedata
tbp_21996,chrX,36873804.0,36874909.0,1.0,,no_ase_genedata
tbp_21997,chrX,37084486.0,37085592.0,1.0,,no_ase_genedata
tbp_21998,chrX,37126264.0,37127154.0,0.35179,,escaping
tbp_21999,chrX,37210566.0,37211944.0,1.0,,nontranscribed
tbp_22000,chrX,38456069.0,38456895.0,1.0,,no_ase_genedata
tbp_22001,chrX,38575724.0,38576515.0,1.0,,no_ase_genedata
tbp_22002,chrX,41911389.0,41912282.0,1.0,,no_ase_genedata
tbp_22003,chrX,42067960.0,42068661.0,1.0,,inactivated
tbp_22004,chrX,48157657.0,48158731.0,0.06856,,no_ase_genedata
tbp_22005,chrX,48234188.0,48234947.0,0.43866000000000005,,intergenic
tbp_22006,chrX,48256134.0,48257237.0,0.07957,Xa_only,escaping
tbp_22007,chrX,48284778.0,48285418.0,0.43753000000000003,,escaping
tbp_22008,chrX,48318261.0,48318909.0,0.35220999999999997,,intergenic
tbp_22009,chrX,48343285.0,48344322.0,0.35103,,no_ase_genedata
tbp_22010,chrX,48453909.0,48454522.0,0.35394000000000003,,inactivated
tbp_22011,chrX,48512623.0,48513684.0,0.58291,,no_ase_genedata
tbp_22012,chrX,50550088.0,50550699.0,1.0,,intergenic
tbp_22013,chrX,50622739.0,50623538.0,0.00698,,no_ase_genedata
tbp_22014,chrX,51018402.0,51018943.0,1.0,,no_ase_genedata
tbp_22015,chrX,51205540.0,51206143.0,1.0,,no_ase_genedata
tbp_22016,chrX,53056649.0,53057676.0,0.5806899999999999,,no_ase_genedata
tbp_22017,chrX,56454497.0,56455207.0,1.0,,no_ase_genedata
tbp_22018,chrX,56455332.0,56455968.0,0.11882999999999999,,no_ase_genedata
tbp_22019,chrX,56546068.0,56547277.0,0.8251700000000001,,inactivated
tbp_22020,chrX,56597234.0,56598260.0,1.0,,no_ase_genedata
tbp_22021,chrX,57052890.0,57053954.0,0.45982,Xa_only,inactivated
tbp_22022,chrX,58029893.0,58030715.0,1.0,,no_ase_genedata
tbp_22023,chrX,68678034.0,68679054.0,0.22523,,no_ase_genedata
tbp_22024,chrX,71049288.0,71049952.0,0.35129,,no_ase_genedata
tbp_22025,chrX,71555336.0,71556538.0,0.57219,,inactivated
tbp_22026,chrX,71812384.0,71813411.0,0.23334000000000002,,inactivated
tbp_22027,chrX,72274211.0,72275016.0,1.0,,no_ase_genedata
tbp_22028,chrX,72918128.0,72919202.0,1.0,,inactivated
tbp_22029,chrX,72986716.0,72987738.0,0.7290399999999999,,no_ase_genedata
tbp_22030,chrX,73227789.0,73228693.0,1.0,,inactivated
tbp_22031,chrX,73342339.0,73343227.0,1.0,,inactivated
tbp_22032,chrX,73459116.0,73459816.0,0.72624,Xa_only,inactivated
tbp_22033,chrX,73639043.0,73640005.0,1.0,,inactivated
tbp_22034,chrX,73672292.0,73673527.0,0.11606,Xa_only,inactivated
tbp_22035,chrX,73716864.0,73717807.0,1.0,,inactivated
tbp_22036,chrX,73720008.0,73720702.0,1.0,,inactivated
tbp_22037,chrX,73786109.0,73787766.0,0.68067,,inactivated
tbp_22038,chrX,73825057.0,73825812.0,0.73018,,no_ase_genedata
tbp_22039,chrX,73880192.0,73880831.0,0.11927,,no_ase_genedata
tbp_22040,chrX,73965542.0,73968104.0,0.6823899999999999,,inactivated
tbp_22041,chrX,74085038.0,74086740.0,0.2285,Xa_only,no_ase_genedata
tbp_22042,chrX,74245841.0,74246950.0,0.34712,,inactivated
tbp_22043,chrX,74269598.0,74271438.0,0.40085,Xa_only,inactivated
tbp_22044,chrX,74282230.0,74283167.0,0.27946,,inactivated
tbp_22045,chrX,74296710.0,74297672.0,0.46138,Xa_only,no_ase_genedata
tbp_22046,chrX,74304731.0,74305688.0,0.35089000000000004,Xa_only,inactivated
tbp_22047,chrX,74352924.0,74353586.0,1.0,,inactivated
tbp_22048,chrX,74367703.0,74369191.0,0.88495,Xa_only,inactivated
tbp_22049,chrX,74428249.0,74430318.0,0.7298399999999999,,inactivated
tbp_22050,chrX,75382343.0,75383084.0,0.3531,,escaping
tbp_22051,chrX,75415891.0,75417304.0,0.7361,,inactivated
tbp_22052,chrX,75513869.0,75514798.0,0.9525899999999999,Xa_only,inactivated
tbp_22053,chrX,75699736.0,75700533.0,1.0,,intergenic
tbp_22054,chrX,85573104.0,85573715.0,0.01549,,inactivated
tbp_22055,chrX,85573902.0,85574501.0,1.0,,inactivated
tbp_22056,chrX,87238001.0,87238910.0,1.0,,nontranscribed
tbp_22057,chrX,93631501.0,93632473.0,0.34553,,inactivated
tbp_22058,chrX,94022456.0,94023116.0,1.0,,intergenic
tbp_22059,chrX,94029665.0,94030861.0,0.12997999999999998,Xa_only,intergenic
tbp_22060,chrX,94123029.0,94123802.0,1.0,,inactivated
tbp_22061,chrX,94149504.0,94151097.0,0.5781,Xa_only,intergenic
tbp_22062,chrX,94177234.0,94178643.0,0.56775,Xa_only,intergenic
tbp_22063,chrX,94212239.0,94213310.0,0.010209999999999999,,escaping
tbp_22064,chrX,94234185.0,94235108.0,0.22423,Xa_only,inactivated
tbp_22065,chrX,94366945.0,94367672.0,0.88626,,inactivated
tbp_22066,chrX,94541810.0,94542474.0,1.0,,inactivated
tbp_22067,chrX,95956321.0,95957551.0,0.8478399999999999,Xa_only,inactivated
tbp_22068,chrX,95968182.0,95969211.0,0.28189000000000003,Xa_only,intergenic
tbp_22069,chrX,96130467.0,96131210.0,0.10436,,no_ase_genedata
tbp_22070,chrX,97375666.0,97377301.0,1.0,,no_ase_genedata
tbp_22071,chrX,98936513.0,98938725.0,0.11822,,escaping
tbp_22072,chrX,99042234.0,99043125.0,1.0,,inactivated
tbp_22073,chrX,99043790.0,99044509.0,0.22571,,inactivated
tbp_22074,chrX,99048090.0,99048676.0,0.16305,,inactivated
tbp_22075,chrX,99135421.0,99136370.0,1.0,,inactivated
tbp_22076,chrX,100625372.0,100626231.0,0.8234100000000001,,inactivated
tbp_22077,chrX,100776335.0,100777077.0,0.10413,,inactivated
tbp_22078,chrX,100796486.0,100797160.0,0.27719,,inactivated
tbp_22079,chrX,101221899.0,101223116.0,0.68358,Xa_only,no_ase_genedata
tbp_22080,chrX,101254150.0,101255148.0,0.28053,,inactivated
tbp_22081,chrX,101273747.0,101274424.0,1.0,,inactivated
tbp_22082,chrX,101419417.0,101420233.0,1.0,,inactivated
tbp_22083,chrX,101429280.0,101430387.0,1.0,,inactivated
tbp_22084,chrX,101521845.0,101522926.0,0.03863,Xa_only,intergenic
tbp_22085,chrX,101527100.0,101527793.0,0.8304299999999999,,escaping
tbp_22086,chrX,101532511.0,101534191.0,1.0,,escaping
tbp_22087,chrX,101639226.0,101640661.0,0.22263000000000002,,escaping
tbp_22088,chrX,101645295.0,101646015.0,0.3431,,escaping
tbp_22089,chrX,101681396.0,101682206.0,0.35112,,escaping
tbp_22090,chrX,101793915.0,101795160.0,0.57277,,inactivated
tbp_22091,chrX,101953621.0,101954499.0,0.88713,Xa_only,nontranscribed
tbp_22092,chrX,102118664.0,102119908.0,0.56911,,no_ase_genedata
tbp_22093,chrX,102188524.0,102189837.0,0.66061,,escaping
tbp_22094,chrX,102251694.0,102253075.0,0.43633999999999995,,inactivated
tbp_22095,chrX,102305523.0,102306468.0,0.00492,Xi_only,inactivated
tbp_22096,chrX,103356144.0,103357120.0,0.1054,,no_ase_genedata
tbp_22097,chrX,103447182.0,103448155.0,1.0,,inactivated
tbp_22098,chrX,103481426.0,103483747.0,0.0392,,escaping
tbp_22099,chrX,103492224.0,103492875.0,1.0,,escaping
tbp_22100,chrX,103493238.0,103494361.0,0.00539,Xi_only,escaping
tbp_22101,chrX,103503977.0,103504980.0,0.31345,,escaping
tbp_22102,chrX,103509890.0,103510531.0,0.34607,,escaping
tbp_22103,chrX,103520610.0,103521294.0,0.10555,,no_ase_genedata
tbp_22104,chrX,103628612.0,103629608.0,0.71649,,escaping
tbp_22105,chrX,103630506.0,103631273.0,0.11565,,no_ase_genedata
tbp_22106,chrX,103980290.0,103981901.0,0.34345,Xa_only,no_ase_genedata
tbp_22107,chrX,104413301.0,104414299.0,0.34681999999999996,Xa_only,inactivated
tbp_22108,chrX,105079389.0,105080774.0,0.47713999999999995,,escaping
tbp_22109,chrX,105928690.0,105929872.0,1.0,Xa_only,inactivated
tbp_22110,chrX,106011293.0,106011945.0,0.43746999999999997,Xa_only,inactivated
tbp_22111,chrX,106186669.0,106187721.0,0.46198,,inactivated
tbp_22112,chrX,129749422.0,129750067.0,1.0,,inactivated
tbp_22113,chrX,134307402.0,134308556.0,0.57268,,nontranscribed
tbp_22114,chrX,134584999.0,134586338.0,1.0,,inactivated
tbp_22115,chrX,134600421.0,134601040.0,1.0,,inactivated
tbp_22116,chrX,134601140.0,134601936.0,1.0,,inactivated
tbp_22117,chrX,134738832.0,134739677.0,1.0,,intergenic
tbp_22118,chrX,135597824.0,135598680.0,0.27743,,no_ase_genedata
tbp_22119,chrX,136243091.0,136243714.0,0.65794,,no_ase_genedata
tbp_22120,chrX,136244815.0,136246086.0,0.88582,,no_ase_genedata
tbp_22121,chrX,136267347.0,136268164.0,0.46121,,nontranscribed
tbp_22122,chrX,136740602.0,136741777.0,0.56784,,inactivated
tbp_22123,chrX,136743280.0,136744183.0,0.67945,,inactivated
tbp_22124,chrX,139333200.0,139333833.0,1.0,,inactivated
tbp_22125,chrX,139610082.0,139611183.0,0.0017100000000000001,XaXi,escaping
tbp_22126,chrX,139871088.0,139872115.0,0.35336,Xa_only,no_ase_genedata
tbp_22127,chrX,142227836.0,142228485.0,0.27883,,no_ase_genedata
tbp_22128,chrX,143482523.0,143483258.0,0.26679,,intergenic
tbp_22129,chrX,150587863.0,150588683.0,1.0,,inactivated
tbp_22130,chrX,151016761.0,151018311.0,0.68038,,inactivated
tbp_22131,chrX,151074147.0,151074950.0,0.13812,,inactivated
tbp_22132,chrX,151095875.0,151097048.0,0.31444,,inactivated
tbp_22133,chrX,151343526.0,151344483.0,1.0,,nontranscribed
tbp_22134,chrX,151520289.0,151521302.0,0.58198,,inactivated
tbp_22135,chrX,151802977.0,151804123.0,1.0,,inactivated
tbp_22136,chrX,152015914.0,152016681.0,1.0,,inactivated
tbp_22137,chrX,152232709.0,152233979.0,0.43698000000000004,Xa_only,escaping
tbp_22138,chrX,152234033.0,152234575.0,1.0,,escaping
tbp_22139,chrX,152326715.0,152327942.0,0.09319,,intergenic
