name,chr,start,end,strand,RPK
Eef1a1,chr9,78481224,78482224,-,290435.677274641
Rplp1,chr9,61914010,61915010,-,213068.857157716
Hsp90ab1,chr17,45572761,45573761,-,189825.892135354
Rps26,chr10,128626006,128627006,-,138320.750039955
Npm1,chr11,33162706,33163706,-,133343.981936942
Ftl1,chr7,45459386,45460386,-,128590.562029576
Rpl41,chr10,128548668,128549668,-,125938.508429522
Rps4x,chrX,102187871,102188871,-,117276.500072831
Actb,chr5,142906254,142907254,-,115565.973345737
Rpl4,chr9,64172886,64173886,+,114165.24143038
Rpl8,chr15,76903570,76904570,+,112344.372609036
Rps18,chr17,33955141,33956141,-,110606.361099873
Ppia,chr11,6415369,6416369,+,108550.351118508
Hspa8,chr9,40800772,40801772,+,107601.262920839
Rpl12,chr2,32961211,32962211,+,106654.515644183
Rpl32,chr6,115808243,115809243,-,102347.671173347
Rps29,chr12,69158686,69159686,-,102274.708021595
Rps24,chr14,24490180,24491180,+,100334.514108
Rpl11,chr4,136052871,136053871,-,97338.9855511223
Rps12,chr10,23786709,23787709,-,96561.4687456242
Rplp2,chr7,141447149,141448149,+,91915.3280430083
Rplp0,chr5,115558966,115559966,+,91626.2315834967
Dppa5a,chr9,78367699,78368699,-,89842.0357547383
Pkm,chr9,59655867,59656867,+,86543.7403983583
Ptma,chr1,86526235,86527235,+,85783.5579210011
Rps15,chr10,80291930,80292930,+,84880.4328053001
Gnb2l1,chr11,48799859,48800859,+,84352.7051564505
Rps9,chr7,3703540,3704540,+,83652.6127190612
Rps28,chr17,33823998,33824998,-,83338.6253228678
Rps17,chr7,81344734,81345734,-,81584.0865936709
Cfl1,chr19,5489954,5490954,+,80920.0200890484
Pabpc1,chr15,36608473,36609473,-,80852.4413690307
Rps5,chr7,12921810,12922810,+,79518.8064966967
Rpl28,chr7,4792464,4793464,+,79446.0336124776
Rpl7,chr1,16103933,16104933,-,78196.697946731
Rpl19,chr11,98026209,98027209,+,76654.9108768392
Rps23,chr13,90922621,90923621,+,75020.9364062262
Rpl10,chrX,74270315,74271315,+,73223.9676000419
Rps8,chr4,117155632,117156632,-,72240.4483051651
Rpl35,chr2,39004631,39005631,-,71271.1806372173
Tpt1,chr14,75844755,75845755,+,70949.491909048
Rps16,chr7,28350188,28351188,+,70299.6122497742
Eef2,chr10,81176130,81177130,+,70233.7156917204
Rpl36a,chrX,134585153,134586153,+,69829.0370939559
Rps11,chr7,45123889,45124889,-,69394.3462375046
Hsp90aa1,chr12,110695895,110696895,-,68564.6729186355
Aldoa,chr7,126799947,126800947,-,68457.4680205287
Rpl13a,chr7,45128245,45129245,-,67132.426031958
Atp5b,chr10,128082806,128083806,+,66917.2889038496
Rpl18,chr7,45717570,45718570,+,65849.981091458
Tubb5,chr17,35837801,35838801,-,65049.4867205209
Rps20,chr4,3835100,3836100,-,63657.0576114431
Rps2,chr17,24719562,24720562,+,62024.3461747525
Rpl23a,chr11,78183084,78184084,-,62005.066625164
Rpl13,chr8,123101849,123102849,+,61025.6605547986
Pfn1,chr11,70654150,70655150,-,60420.1417381226
Eif5a,chr11,69921458,69922458,-,59771.1028642649
Tmsb10,chr6,72958248,72959248,-,59485.2104109226
Eif4a1,chr11,69671923,69672923,-,59433.8447876478
Rpsa,chr9,120127265,120128265,+,59433.5878881724
Rpl39,chrX,37084684,37085684,-,59077.3507431472
Rpl3,chr15,80082906,80083906,-,55898.0928886276
Rpl14,chr9,120571016,120572016,+,55364.5060275104
Uba52,chr8,70509867,70510867,-,54265.4234890463
Rpl9,chr5,65390931,65391931,-,54127.8638053486
Bex1,chrX,136215013,136216013,-,53339.2618778548
Rpl23,chr11,97781939,97782939,-,53272.0631636535
Rpl17,chr18,74999976,75000976,+,52991.9824817204
Rps25,chr9,44407213,44408213,+,52879.4817153346
Rpl7a,chr2,26910306,26911306,+,52465.898893017
Rps14,chr18,60774095,60775095,+,50496.6284715801
Rps3,chr7,99483209,99484209,-,49980.3376459886
Eef1g,chr19,8966540,8967540,+,49350.9917204828
Rpl24,chr16,55965774,55966774,+,48132.2041219113
Sod1,chr16,90220241,90221241,+,47462.7988546296
Rps13,chr7,116333690,116334690,-,46423.0609096602
Slc25a5,chrX,36795096,36796096,+,46200.2318438953
Mir682,chr13,75644545,75645545,+,45549.879750544
Rps19,chr7,24884213,24885213,+,44221.3879797739
Ldha,chr7,46845303,46846303,+,43879.8384906275
Rps3a1,chr3,86142168,86143168,-,43643.777164911
Pou5f1,chr17,35505531,35506531,+,43393.0786455687
Rpl27a,chr7,109518694,109519694,+,42815.564555046
Ngfrap1,chrX,136269752,136270752,+,42098.9862787609
Rps7,chr12,28635453,28636453,-,41674.7928671638
Rps21,chr2,180256878,180257878,+,41264.1319865871
Trim28,chr7,13023651,13024651,+,41246.4947869628
Mt2,chr8,94172117,94173117,+,40966.8737740807
Ywhae,chr11,75732386,75733386,+,40929.4443346541
Rpl36,chr17,56612894,56613894,+,40917.1582229866
Ybx1,chr4,119294013,119295013,-,40393.9144695826
Rpl10a,chr17,28327970,28328970,+,39776.0651764792
Rpl18a,chr8,70896943,70897943,-,39713.3595201566
Rps6,chr4,86856867,86857867,-,39406.00900542
Gsta4,chr9,78191465,78192465,+,38621.8761089654
Rpl6,chr5,121204000,121205000,+,38616.467734
Prdx1,chr4,116685098,116686098,+,38434.560875245
Mif,chr10,75859750,75860750,-,37466.0464480746
Ranbp1,chr16,18248194,18249194,-,36625.776731012
Spp1,chr5,104434610,104435610,+,36336.5189563396
Rps27a,chr11,29547540,29548540,-,36160.2262799296
Ckb,chr12,111671838,111672838,-,35783.418789573
Atp5a1,chr18,77773267,77774267,+,35212.7373822981
Rpl31,chr1,39367350,39368350,+,35113.812329068
Mylpf,chr7,127211107,127212107,+,34549.4707899485
Nanog,chr6,122706988,122707988,+,33883.8671417336
Calr,chr8,84846431,84847431,-,33836.0024858009
Rpl35a,chr16,33055952,33056952,+,33636.157157305
Apoe,chr7,19698688,19699688,-,33156.2272695741
Cox7c,chr13,86046295,86047295,-,32853.5006442984
Hspd1,chr1,55087432,55088432,-,31974.5193025729
Ifitm2,chr7,140955461,140956461,-,31966.9862200425
Rpl37,chr15,5116112,5117112,+,31260.4806620274
Rpl5,chr5,107900027,107901027,+,30195.8493821034
Mt1,chr8,94178588,94179588,+,30081.4615946863
H2afz,chr3,137863986,137864986,+,28631.3561347573
Igfbp2,chr1,72823979,72824979,+,28620.0336008959
Cox6b1,chr7,30625651,30626651,-,28556.7421161716
Cox8a,chr19,7217116,7218116,-,28498.7848532518
Pgk1,chrX,106186599,106187599,+,28431.9123429406
Rps4l,chr6,148354155,148355155,+,28276.0680502657
Rpl38,chr11,114668042,114669042,+,28220.6277649232
Eif2s2,chr2,154892406,154893406,-,28053.3367394394
Rps10,chr17,27634742,27635742,-,27828.8824907116
Tubb4b,chr2,25224202,25225202,-,27663.6305906667
Vdac1,chr11,52360614,52361614,+,27541.1627193029
Hnrnpa2b1,chr6,51469394,51470394,-,27364.5956934954
Cdk4,chr10,127063102,127064102,+,27336.3729064966
Myl6,chr10,128493325,128494325,-,26888.0618956931
Btf3,chr13,98316506,98317506,-,26710.3747424564
Fkbp4,chr6,128438131,128439131,-,26382.9233380864
Set,chr2,30061495,30062495,+,26144.8881420545
Eif4ebp1,chr8,27259826,27260826,+,26100.8881450447
Rhox5,chrX,37754107,37755107,+,25875.0002837306
Rpl37a,chr1,72710759,72711759,+,25555.6240385677
Eef1b2,chr1,63176330,63177330,+,25371.513837403
Nme2,chr11,93955756,93956756,-,25353.4527554795
Cct5,chr15,31601304,31602304,-,25346.0787485522
Hspb1,chr5,135887418,135888418,+,25156.4608261228
Ncl,chr1,86358955,86359955,-,25052.8093730437
Snrpd3,chr10,75517541,75518541,+,24637.7008888889
Tdgf1,chr9,110945658,110946658,-,24158.4846285475
Hmgn1,chr16,96127225,96128225,-,24093.4457902315
Calm2,chr17,87446435,87447435,-,23890.6312611385
2210409E12Rik,chr11,88972137,88973137,+,23826.3192698143
Hnrnpab,chr11,51606381,51607381,-,23810.7865434839
Cox6a1,chr5,115348455,115349455,-,23579.1265083385
Atp5g3,chr2,73910826,73911826,-,23253.6569449969
Cct3,chr3,88296634,88297634,+,23202.2546136717
Mdh2,chr5,135778148,135779148,+,23164.3940912376
C1qbp,chr11,70982526,70983526,-,23095.8034819933
Anp32b,chr4,46450616,46451616,+,23055.4513960172
Hdgf,chr3,87905820,87906820,+,23037.9231194704
Fabp3,chr4,130308277,130309277,+,22995.7416530903
Odc1,chr12,17544372,17545372,+,22889.2514619771
Pcbp2,chr15,102470131,102471131,+,22671.9605582523
Ssr2,chr3,88579170,88580170,+,22593.0557890767
Cct6a,chr5,129786855,129787855,+,22517.392700261
Cct2,chr10,117063314,117064314,-,22453.7248665477
Fkbp3,chr12,65073438,65074438,-,22370.7862251734
Asns,chr6,7692682,7693682,-,22348.0886707951
Hint1,chr11,54865937,54866937,+,22346.1421574653
Cox5a,chr9,57520731,57521731,+,22186.2413577232
Hspe1,chr1,55087647,55088647,+,22184.097265871
Fus,chr7,127966978,127967978,+,22172.459477368
Cox4i1,chr8,120667724,120668724,+,22078.1287168557
Hsp90b1,chr10,86704944,86705944,-,22074.1992111031
Hspa9,chr18,34953851,34954851,-,22069.8700757214
Cox6c,chr15,35937746,35938746,-,22065.0925254363
Fth1,chr19,9980099,9981099,+,21955.7053382455
Hnrnpu,chr1,178337284,178338284,-,21464.3929499394
Actg1,chr11,120347984,120348984,-,21363.5432172826
Nono,chrX,101429150,101430150,+,21346.7919228795
Tceb2,chr17,23828609,23829609,-,21117.9281492148
Stip1,chr19,7039526,7040526,-,20892.0877104975
Hnrnpk,chr13,58402843,58403843,-,20324.2662609059
Ube2c,chr2,164769428,164770428,+,20317.0830451366
Psmb6,chr11,70524856,70525856,+,20184.1403731231
Slc25a3,chr10,91123463,91124463,-,19698.5038730894
Gpx1,chr9,108338579,108339579,+,19628.8774390003
Pcbp1,chr6,86525665,86526665,-,19595.3188282138
Pa2g4,chr10,128565434,128566434,-,19196.3709667626
Tpi1,chr6,124813796,124814796,-,18974.6831156361
Rpl27,chr11,101441744,101442744,+,18871.287889888
Cct8,chr16,87495369,87496369,-,18871.1145368279
Mlf2,chr6,124930887,124931887,+,18772.8004639249
Capns1,chr7,30194548,30195548,-,18680.4687621601
Clta,chr4,44012142,44013142,+,18573.4576650834
Ran,chr5,129019655,129020655,+,18302.2949549825
Klhl13,chrX,23364582,23365582,-,18215.9105645299
Cox7b,chrX,106015199,106016199,+,18194.6542752581
Tdh,chr14,63508592,63509592,-,18172.161690088
Fau,chr19,6057387,6058387,+,18091.0164884117
Uqcrh,chr4,116074570,116075570,-,18010.0396387098
E130012A19Rik,chr11,97629216,97630216,-,17872.2642579113
Tmsb4x,chrX,167208718,167209718,-,17743.449311932
Tcp1,chr17,12915828,12916828,+,17737.897138651
Ppp1ca,chr19,4191673,4192673,+,17707.1318647347
Ptbp1,chr10,79853931,79854931,+,17681.2007362041
Tuba1b,chr15,98933890,98934890,-,17375.9478401693
Slc25a4,chr8,46210509,46211509,-,17329.1097431083
Slc2a3,chr6,122742245,122743245,-,17305.5631612557
Srsf2,chr11,116852594,116853594,-,17295.8935110002
Wbp5,chrX,136244579,136245579,+,17261.7929620978
Cnn3,chr3,121426040,121427040,+,16944.547605991
Txn1,chr4,57955911,57956911,-,16875.1211081615
Atp5j2,chr5,145191092,145192092,-,16836.329042772
H3f3a,chr1,180813103,180814103,-,16827.7493100268
Nasp,chr4,116627451,116628451,-,16808.221741694
Psma2,chr13,14612741,14613741,+,16806.8693257576
Eif3k,chr7,28981388,28982388,-,16762.5545558892
Uqcrb,chr13,66904850,66905850,-,16736.2720850188
Hnrnpl,chr7,28810389,28811389,+,16709.4214898433
Morf4l2,chrX,136743186,136744186,-,16637.0202127419
Phb2,chr6,124711788,124712788,+,16592.4737522059
Ddb1,chr19,10605124,10606124,+,16427.1718937732
Eif3l,chr15,79074722,79075722,+,16369.9949276868
Prdx2,chr8,84969147,84970147,+,16362.4016664779
Ahsa1,chr12,87266227,87267227,+,16332.5655924832
Uba1,chrX,20657801,20658801,+,16309.1644143548
Usmg5,chr19,47090125,47091125,-,16296.5862434409
Plp2,chrX,7670778,7671778,-,16250.9550443793
Prmt1,chr7,44985920,44986920,-,16207.0484370837
St13,chr15,81399194,81400194,-,16180.9196629607
Uqcr10,chr11,4703844,4704844,-,16017.4479690627
S100a11,chr3,93519995,93520995,+,16002.4253214969
Arhgdia,chr11,120581120,120582120,-,15968.5332314666
Trap1a,chrX,139333182,139334182,+,15965.4327015389
Mybbp1a,chr11,72440877,72441877,+,15952.5237718565
Rrm2,chr12,24707753,24708753,+,15950.117756055
Sparc,chr11,55419580,55420580,-,15828.4028145862
U2af1,chr17,31658254,31659254,-,15806.6004497947
Cct4,chr11,22990092,22991092,+,15702.4556986323
Hdac1,chr4,129542146,129543146,-,15682.1199861492
Paics,chr5,76950910,76951910,+,15673.9582420942
L1td1,chr4,98726253,98727253,+,15647.0449049626
Eif4b,chr15,102073272,102074272,+,15556.6211715418
Psmb7,chr2,38643406,38644406,-,15500.3505966747
Cct7,chr6,85451004,85452004,+,15427.3946860703
Gpi1,chr7,34229836,34230836,-,15381.731216353
Psmb2,chr4,126677142,126678142,+,15375.4652455988
Pdha1,chrX,160137836,160138836,-,15374.1946678458
Nop56,chr2,130273911,130274911,+,15366.8666336734
Atf4,chr15,80254683,80255683,+,15289.105862496
Srm,chr4,148591012,148592012,+,15233.2121061161
Rpl14-ps1,chr7,45324457,45325457,+,15222.0755663577
Polr2e,chr10,80039159,80040159,-,15208.0696977844
Hspa5,chr2,34771589,34772589,+,15203.9338489764
Atp5o,chr16,91931130,91932130,-,15187.0881745366
Hnrnpc,chr14,52103528,52104528,-,15094.8533531763
G3bp1,chr11,55469251,55470251,+,15031.8996948355
Snrpd2,chr7,19149337,19150337,+,15009.005623224
Tuba1a,chr15,98953001,98954001,-,14991.4816737412
P4hb,chr11,120572436,120573436,-,14968.4420247308
Ifitm3,chr7,141010244,141011244,-,14937.8667252383
Hnrnph1,chr11,50377218,50378218,+,14907.1057362983
Tubb2b,chr13,34129854,34130854,-,14887.5454803966
Eif1,chr11,100319495,100320495,+,14850.7599503165
Ybx3,chr6,131387950,131388950,-,14845.9699141843
Park7,chr4,150909421,150910421,-,14753.6863277224
Trh,chr6,92244150,92245150,-,14749.286341755
Pdia3,chr2,121413401,121414401,+,14710.1322320044
Marcksl1,chr4,129513080,129514080,+,14706.8478995767
Pabpn1,chr14,54893642,54894642,+,14684.2599798785
Eif3h,chr15,51864961,51865961,-,14668.6843455483
Eif3d,chr15,77970324,77971324,-,14643.727378441
Nedd4,chr9,72661846,72662846,+,14614.6927168022
Chchd10,chr10,75935072,75936072,+,14590.3657027637
Ddx5,chr11,106787994,106788994,-,14586.8622425473
Ddx3x,chrX,13280521,13281521,+,14407.1063272175
1810022K09Rik,chr3,14610756,14611756,-,14350.0172649571
Eif3c,chr7,126565866,126566866,-,14331.8546626802
Mybl2,chr2,163054134,163055134,+,14317.6798620716
Cfdp1,chr8,111853810,111854810,-,14258.9074626155
Ddx39b,chr17,35241245,35242245,+,14247.1288517318
Nudc,chr4,133545527,133546527,-,14213.0181736616
Rps27l,chr9,66945617,66946617,+,14211.5821674066
Pcna,chr2,132252680,132253680,-,14170.1279932981
Calcoco2,chr11,96111462,96112462,-,14160.8437514309
Snrpg,chr6,86371039,86372039,+,14138.6534168589
Atp5h,chr11,115419419,115420419,-,14083.6047429501
Arf1,chr11,59227767,59228767,-,14081.8452033344
Psmc1,chr12,100111830,100112830,+,14026.8294362749
Cnbp,chr6,87850606,87851606,-,13996.693240552
Lamp1,chr8,13158634,13159634,+,13996.3432987337
Bsg,chr10,79703857,79704857,+,13991.4077699328
Nap1l1,chr10,111472691,111473691,+,13946.7110710091
Nhp2,chr11,51619272,51620272,+,13893.2583890328
H3f3b,chr11,116024004,116025004,-,13847.0535157607
Slc25a39,chr11,102407017,102408017,-,13846.8142611478
Rn45s,chr17,39842496,39843496,+,13840.1161977275
Cd9,chr6,125494255,125495255,-,13788.3955459787
Parp1,chr1,180568474,180569474,+,13786.4255476091
Prelid1,chr13,55321554,55322554,+,13774.4483930823
Eif1ax,chrX,159371694,159372694,+,13762.5497098488
Banf1,chr19,5366376,5367376,-,13760.6798651686
Ccnd3,chr17,47504550,47505550,+,13723.9082422026
Hspa4,chr11,53299979,53300979,-,13691.2437245618
Tkt,chr14,30548630,30549630,+,13637.2596101235
Anp32a,chr9,62340842,62341842,+,13590.3348111164
Ubxn1,chr19,8871058,8872058,+,13486.1177062386
H2afx,chr9,44334214,44335214,+,13397.4702201545
Ndufa4,chr6,11906946,11907946,-,13387.0280733853
Psma4,chr9,54950358,54951358,+,13385.9637249797
Kpnb1,chr11,97187392,97188392,-,13321.9047420921
Fbl,chr7,28169247,28170247,+,13283.494979072
Nop58,chr1,59684505,59685505,+,13230.7166357119
Mrpl42,chr10,95501427,95502427,-,13135.5490140991
Psmb1,chr17,15497776,15498776,-,13105.4440847169
Rcc2,chr4,140700972,140701972,+,13085.6991503495
Eif4g1,chr16,20672226,20673226,+,13062.0562320974
Snrpe,chr1,133609780,133610780,-,12992.4073820664
Mcm3,chr1,20819713,20820713,-,12974.9865683106
Swi5,chr2,32287569,32288569,-,12927.806070906
Gars,chr6,55037500,55038500,+,12927.0854145002
Snhg1,chr19,8722986,8723986,+,12921.6409366713
Ipo5,chr14,120910693,120911693,+,12887.9972304255
Fkbp1a,chr2,151541982,151542982,+,12811.7130437162
Dnajc8,chr4,132535058,132536058,+,12786.38191072
Fscn1,chr5,142959854,142960854,+,12722.5688395201
Sept1,chr7,127217945,127218945,-,12701.0202784737
Cox5b,chr1,36690986,36691986,+,12654.2908641457
Ube2s,chr7,4811840,4812840,-,12630.3458762629
Kpna2,chr11,106999025,107000025,-,12540.8284737869
Atp5k,chr5,108433878,108434878,-,12514.9896297641
Actn4,chr7,28961780,28962780,-,12460.0512152599
Uqcrq,chr11,53430331,53431331,-,12418.9000097239
Snrpb,chr2,130178864,130179864,-,12413.4744087719
Atp5d,chr10,80141814,80142814,+,12365.5502276286
Eif2b5,chr16,20498316,20499316,+,12340.3636299557
Psat1,chr19,15924559,15925559,-,12315.2019794906
Bax,chr7,45466398,45467398,-,12313.6637978519
Skp1a,chr11,52231494,52232494,+,12310.0605430536
Vim,chr2,13573810,13574810,+,12299.5565602569
Ywhag,chr5,135934141,135935141,-,12274.2729607709
Mcm7,chr5,138171362,138172362,-,12248.4278588203
Rpl15,chr14,18270486,18271486,-,12238.149033273
Aes,chr10,81558943,81559943,+,12183.7229109635
Hnrnpm,chr17,33684958,33685958,-,12132.1936021371
Eif3b,chr5,140418804,140419804,+,12127.92576582
Nars,chr18,64516057,64517057,-,12084.53081174
Psmb3,chr11,97702933,97703933,+,12083.8191002842
Ppib,chr9,66059668,66060668,+,12030.7260644792
Ppp2r1a,chr17,20944953,20945953,+,12024.6688048562
Lap3,chr5,45492873,45493873,+,12008.3003819242
Rbbp7,chrX,162759871,162760871,+,12004.5202059077
Uhrf1,chr17,56302836,56303836,+,11961.9211080495
Idh3g,chrX,73786397,73787397,-,11944.0121321479
Cdc34,chr10,79681694,79682694,+,11887.6996398982
Psma6,chr12,55398324,55399324,+,11855.7799620305
Vdac2,chr14,21831060,21832060,+,11839.8797367964
Pdia6,chr12,17266094,17267094,+,11833.425109119
Lsm3,chr6,91515534,91516534,+,11817.9119002078
Rpl36al,chr12,69183567,69184567,-,11814.7600704621
Sox2,chr3,34649504,34650504,+,11785.004724154
Eif3g,chr9,20898090,20899090,-,11769.2873574282
Shfm1,chr6,6578158,6579158,-,11755.1872314958
Rsl1d1,chr16,11202792,11203792,-,11728.7104110507
Mcm5,chr8,75109008,75110008,+,11676.4752227841
Snrpd1,chr18,10617295,10618295,+,11655.8354860919
Apex1,chr14,50924448,50925448,+,11647.2713226898
Mcm2,chr6,88898280,88899280,-,11627.1731291407
Psmc4,chr7,28049592,28050592,-,11618.3051174249
Psmb4,chr3,94886458,94887458,-,11607.2048868856
Ppa1,chr10,61648120,61649120,+,11599.0286583935
Stmn2,chr3,8509026,8510026,+,11595.9572705766
Raly,chr2,154790609,154791609,+,11589.5895184703
Utf1,chr7,139943355,139944355,+,11544.8379309291
Hat1,chr2,71388759,71389759,+,11539.2952697053
Psmc5,chr11,106255684,106256684,+,11532.5120524058
Msh6,chr17,87974549,87975549,+,11522.5329397216
Nedd8,chr14,55671406,55672406,-,11488.0648200074
Snx3,chr10,42501553,42502553,+,11475.5079042524
Lmnb1,chr18,56707312,56708312,+,11430.3370577246
Taldo1,chr7,141391659,141392659,+,11359.4341865465
Ctnnb1,chr9,120932899,120933899,+,11356.2456340356
Atp5g2,chr15,102670547,102671547,-,11355.9890480216
Cacybp,chr1,160212392,160213392,-,11339.5480747675
Trp53,chr11,69579858,69580858,+,11315.0661901207
Gdi2,chr13,3537574,3538574,+,11305.7783667247
Eif3f,chr7,108933914,108934914,+,11291.5563515889
Eif3i,chr4,129600148,129601148,-,11279.7283117704
Hypk,chr2,121456587,121457587,+,11247.2628812252
Stmn1,chr4,134467819,134468819,+,11224.5049533637
Atp5c1,chr2,10080010,10081010,-,11222.9117100123
Psmd3,chr11,98682053,98683053,+,11172.8947835947
Uba2,chr7,34168029,34169029,-,11167.6958058461
Dkc1,chrX,75095353,75096353,+,11159.8195089507
Rpl22,chr4,152323935,152324935,+,11155.3459202243
Asna1,chr8,85024778,85025778,-,11122.8694338211
Atp5l,chr9,44920242,44921242,-,11077.313360078
Tomm6,chr17,47687886,47688886,-,11066.0557812766
Eif4g2,chr7,111082530,111083530,-,11055.2477819645
Eif3e,chr15,43282236,43283236,-,11048.9609154373
Cyc1,chr15,76343022,76344022,+,11000.0399100316
Ptges3,chr10,128058481,128059481,+,10945.4904224497
Ucp2,chr7,100492857,100493857,+,10932.0497935561
Eif4a3,chr11,119299543,119300543,-,10925.4761858206
Bzw1,chr1,58392635,58393635,+,10915.0406459701
Akr1a1,chr4,116651174,116652174,-,10888.0570309524
Upp1,chr11,9117507,9118507,+,10882.1411595445
Rpl29,chr9,106429038,106430038,+,10880.2903585696
Mrfap1,chr5,36796254,36797254,-,10846.5884235583
Ruvbl2,chr7,45433964,45434964,-,10829.7523771476
Aars,chr8,111033341,111034341,+,10698.6014043218
Ssrp1,chr2,85036619,85037619,+,10681.6127495084
Pgd,chr4,149166207,149167207,-,10666.531655036
Dctpp1,chr7,127260167,127261167,-,10625.8137702138
Slc2a1,chr4,119108244,119109244,+,10616.0051335882
Snrpf,chr10,93589158,93590158,-,10607.6111102692
Idh2,chr7,80114850,80115850,-,10597.5898521935
Ppm1g,chr5,31220045,31221045,-,10566.4619315935
Sfr1,chr19,47731255,47732255,+,10560.9020266723
Tecr,chr8,83593991,83594991,-,10524.4855279642
Hmgb2,chr8,57511342,57512342,+,10499.8859057537
Atp5g1,chr11,96075194,96076194,-,10499.5762374283
Snx5,chr2,144270402,144271402,-,10473.1993408948
Morf4l1,chr9,90114320,90115320,-,10462.8317542948
Ptms,chr6,124917446,124918446,-,10446.2248564646
Mcm6,chr1,128359156,128360156,-,10433.3412109464
Psap,chr10,60277127,60278127,+,10430.4742444363
Myl12b,chr17,70990016,70991016,-,10364.2485438847
Chchd2,chr5,129886970,129887970,-,10353.8221784029
Scd2,chr19,44293175,44294175,+,10334.2811340427
Ssb,chr2,69861061,69862061,+,10315.3826024053
Dnajc7,chr11,100619668,100620668,-,10303.7080261582
Cs,chr10,128337331,128338331,+,10286.7612377259
Hsph1,chr5,149635815,149636815,-,10252.6300630886
Serbp1,chr6,67266478,67267478,+,10245.981360738
Mkrn1,chr6,39419869,39420869,-,10231.3663985581
Atp5f1,chr3,105959748,105960748,-,10192.1662949176
Psma1,chr7,114275616,114276616,-,10187.2765453121
Polr2f,chr15,79140866,79141866,+,10146.9099961838
U2af2,chr7,5061642,5062642,+,10142.1375502927
Psmc3,chr2,91053515,91054515,+,10061.933263527
Rhoa,chr9,108305704,108306704,+,10034.1890847967
Nop10,chr2,112261425,112262425,+,10028.5335478516
Uqcr11,chr10,80406321,80407321,-,10026.7712224745
Arl6ip1,chr7,118129125,118130125,-,10023.4775444132
Srsf5,chr12,80945003,80946003,+,10018.6127874101
Eif4h,chr5,134638828,134639828,-,10013.8931760666
Esrrb,chr12,86360616,86361616,+,9996.5377709659
Kars,chr8,112010854,112011854,-,9964.3647661357
Akap12,chr10,4265828,4266828,+,9915.799553142
Psmd2,chr16,20651151,20652151,+,9913.7941192961
Dhx9,chr1,153487160,153488160,-,9838.9682131488
Sf3b2,chr19,5294955,5295955,-,9830.9044995773
Prdx6,chr1,161250710,161251710,-,9795.4176652605
Polr2m,chr9,71485483,71486483,-,9787.7089328434
Erh,chr12,80643361,80644361,-,9759.2395567419
Impdh2,chr9,108560000,108561000,+,9751.2965707692
Sfpq,chr4,127020800,127021800,+,9746.7937393852
Ppp2ca,chr11,52098323,52099323,+,9743.1040048359
Hprt,chrX,52987577,52988577,+,9728.2852175332
Cyb5r3,chr15,83171708,83172708,-,9711.0383963674
Psmd4,chr3,95042114,95043114,-,9692.7921248512
Atxn10,chr15,85335880,85336880,+,9679.5068869233
Eif3a,chr19,60790193,60791193,-,9677.2309775739
Cdc20,chr4,118436843,118437843,-,9632.557711846
Rad23b,chr4,55349541,55350541,+,9601.3700281204
Srrm1,chr4,135352714,135353714,-,9545.2233359414
Bcap31,chrX,73715675,73716675,-,9540.4647134121
Ddx39,chr8,83714676,83715676,+,9530.6575529971
Gcsh,chr8,116992949,116993949,-,9527.8951311136
Ppid,chr3,79590888,79591888,+,9477.9338801698
Gng5,chr3,146499335,146500335,+,9434.0089373292
Mat2a,chr6,72439058,72440058,-,9407.497607097
Edf1,chr2,25557399,25558399,+,9401.5882896894
Senp3,chr11,69681584,69682584,-,9400.041200162
Anapc5,chr5,122820842,122821842,-,9397.6302332166
Uqcrc1,chr9,108936147,108937147,+,9378.5351307367
Dut,chr2,125246747,125247747,+,9306.6666373142
Nme1,chr11,93968021,93969021,-,9298.4487352065
Cox7a2,chr9,79759353,79760353,-,9260.3678366505
Canx,chr11,50325173,50326173,-,9247.0921025984
