name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
KO_DOX_peak_1,chr1,3532174,3532514,341,3532335,30,5.064,2.27958,2.2513
KO_DOX_peak_2,chr1,3672822,3673237,416,3672931,58,9.20377,2.40255,5.57424
KO_DOX_peak_3,chr1,4490766,4491557,792,4491170,97,13.48529,2.33222,9.30638
KO_DOX_peak_4,chr1,4495412,4495984,573,4495549,83,6.59198,1.79728,3.43498
KO_DOX_peak_5,chr1,4570569,4571531,963,4570947,54,16.35791,3.73091,11.94955
KO_DOX_peak_6,chr1,4572145,4572728,584,4572520,39,7.70311,2.60965,4.33298
KO_DOX_peak_7,chr1,4591629,4592076,448,4591791,42,9.01613,2.78409,5.41268
KO_DOX_peak_8,chr1,4689561,4690222,662,4689706,54,9.02611,2.45656,5.42123
KO_DOX_peak_9,chr1,5021012,5022114,1103,5021291,63,8.77263,2.25621,5.21525
KO_DOX_peak_10,chr1,5915606,5916407,802,5916125,63,12.43919,2.76448,8.37192
KO_DOX_peak_11,chr1,6357822,6358586,765,6358389,54,8.80491,2.4217,5.24249
KO_DOX_peak_12,chr1,6359613,6360447,835,6359751,49,6.70656,2.17906,3.52939
KO_DOX_peak_13,chr1,6381985,6382669,685,6382542,63,12.83478,2.82162,8.72171
KO_DOX_peak_14,chr1,6383424,6384158,735,6383670,64,13.7062,2.92233,9.50762
KO_DOX_peak_15,chr1,6439733,6441027,1295,6440441,69,13.786,2.81025,9.5801
KO_DOX_peak_16,chr1,6452132,6452435,304,6452307,43,5.5933,2.09114,2.65408
KO_DOX_peak_17,chr1,9300032,9301195,1164,9300747,61,10.54058,2.53682,6.71293
KO_DOX_peak_18,chr1,9546017,9546463,447,9546277,34,9.55388,3.27071,5.86537
KO_DOX_peak_19,chr1,9796950,9797659,710,9797283,70,12.13528,2.57479,8.09999
KO_DOX_peak_20,chr1,9848974,9850845,1872,9849802,62,12.41057,2.78473,8.34601
KO_DOX_peak_21,chr1,9907781,9908518,738,9908269,35,7.72641,2.76025,4.35215
KO_DOX_peak_22,chr1,9965913,9966836,924,9966531,67,13.61072,2.83327,9.42079
KO_DOX_peak_23,chr1,9968728,9969507,780,9969236,59,9.03134,2.35884,5.4257
KO_DOX_peak_24,chr1,10233635,10234659,1025,10234016,58,18.39617,3.91662,13.87651
KO_DOX_peak_25,chr1,10992528,10992834,307,10992702,45,8.65091,2.61604,5.11105
