name,chr,start,end,strand
Serpina7,chrX,139084736,139085736,-
Mid1ip1,chrX,10716864,10717864,+
Pnck,chrX,73659570,73660570,-
Cybb,chrX,9468824,9469824,-
Nyx,chrX,13467171,13468171,+
Gjb1,chrX,101375875,101376875,+
Tsc22d3,chrX,140600022,140601022,-
Xlr5b,chrX,73148340,73149340,+
Cmc4,chrX,75416084,75417084,-
Pnma3,chrX,73064286,73065286,+
Ptchd1,chrX,155622827,155623827,-
Sept6,chrX,36989195,36990195,-
Tceanc,chrX,166509978,166510978,-
Xlr3a,chrX,73096595,73097595,-
Plxna3,chrX,74328565,74329565,+
Tsix,chrX,103431016,103432016,+
Xlr3b,chrX,73191678,73192678,+
Itgb1bp2,chrX,101448608,101449608,+
Fthl17,chrX,9032985,9033985,+
Ccdc120,chrX,7740824,7741824,-
Bmp15,chrX,6320223,6321223,-
Pdzd4,chrX,73824469,73825469,-
Xlr4a,chrX,73082007,73083007,-
Kcnd1,chrX,7823258,7824258,+
Tspan7,chrX,10484615,10485615,+
Lamp2,chrX,38455960,38456960,-
Efhc2,chrX,17318868,17319868,-
Xlr4b,chrX,73213832,73214832,+
Gm1720,chrX,166661524,166662524,+
Dnase1l1,chrX,74281833,74282833,-
Syn1,chrX,20920418,20921418,-
2810403D21Rik,chrX,108833977,108834977,+
Figf,chrX,164373021,164374021,+
Cnksr2,chrX,158042610,158043610,-
Praf2,chrX,7728070,7729070,+
Ctps2,chrX,162901059,162902059,+
3830403N18Rik,chrX,56136071,56137071,+
Gm14827,chrX,94442231,94443231,+
Asb9,chrX,164497402,164498402,+
Cfp,chrX,20931024,20932024,-
Prickle3,chrX,7656878,7657878,+
Xk,chrX,9272283,9273283,+
Pnma5,chrX,73036603,73037603,-
Map7d2,chrX,159414077,159415077,+
C1galt1c1,chrX,38634643,38635643,-
Slc7a3,chrX,101084905,101085905,-
Fam120c,chrX,151343722,151344722,+
Apln,chrX,48034352,48035352,-
Gdi1,chrX,74304511,74305511,+
Plp2,chrX,7670778,7671778,-
Gnl3l,chrX,151016822,151017822,-
2310010G23Rik,chrX,36816700,36817700,-
Gprasp2,chrX,135838533,135839533,+
Tfe3,chrX,7762160,7763160,+
Xlr4c,chrX,73242630,73243630,-
Mcf2,chrX,60178589,60179589,-
Taf7l,chrX,134475990,134476990,-
Bcorl1,chrX,48340857,48341857,+
Xiap,chrX,42067335,42068335,+
Tex11,chrX,101059139,101060139,-
Gprasp1,chrX,135742191,135743191,+
Bcap31,chrX,73715675,73716675,-
Jade3,chrX,20425187,20426187,+
Flna,chrX,74246034,74247034,-
Dock11,chrX,35888331,35889331,+
Rab33a,chrX,48518784,48519784,+
Mbtps2,chrX,157598215,157599215,-
Trappc2,chrX,166440324,166441324,+
