name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
WT_DOX_peak_1,chr1,3531607,3531917,311,3531705,36,6.62017,2.46759,3.54641
WT_DOX_peak_2,chr1,3532238,3532662,425,3532413,35,6.23277,2.41035,3.23517
WT_DOX_peak_3,chr1,3532809,3533235,427,3533076,38,7.6758,2.63717,4.37327
WT_DOX_peak_4,chr1,3669622,3669978,357,3669752,57,8.0571,2.25201,4.68832
WT_DOX_peak_5,chr1,3672732,3673214,483,3672868,59,7.48855,2.13919,4.23013
WT_DOX_peak_6,chr1,4345203,4345555,353,4345299,28,5.702,2.51984,2.82672
WT_DOX_peak_7,chr1,4352388,4353100,713,4352722,28,5.702,2.51984,2.82672
WT_DOX_peak_8,chr1,4418065,4418564,500,4418174,29,6.16463,2.60674,3.17989
WT_DOX_peak_9,chr1,4490176,4490560,385,4490395,74,6.24266,1.82344,3.24291
WT_DOX_peak_10,chr1,4490920,4491596,677,4491188,112,17.03079,2.47012,12.60383
WT_DOX_peak_11,chr1,4495387,4495769,383,4495574,89,6.57341,1.7583,3.50899
WT_DOX_peak_12,chr1,4570433,4571503,1071,4570937,62,22.52767,4.47348,17.88179
WT_DOX_peak_13,chr1,4572308,4573042,735,4572515,37,7.2646,2.5798,4.04695
WT_DOX_peak_14,chr1,4591520,4592036,517,4591779,46,12.37238,3.31659,8.33009
WT_DOX_peak_15,chr1,4593225,4593685,461,4593480,35,6.88756,2.56162,3.7504
WT_DOX_peak_16,chr1,4610694,4611019,326,4610845,27,5.25353,2.43295,2.49095
WT_DOX_peak_17,chr1,4689437,4690268,832,4689844,65,11.11453,2.53657,7.23305
WT_DOX_peak_18,chr1,4879599,4879892,294,4879699,34,8.67593,3.04119,5.18371
WT_DOX_peak_19,chr1,5021233,5022108,876,5021513,74,10.71492,2.33607,6.8938
WT_DOX_peak_20,chr1,5045738,5046312,575,5045815,30,6.13858,2.55919,3.17329
WT_DOX_peak_21,chr1,5255151,5255464,314,5255208,26,4.81963,2.34606,2.17345
WT_DOX_peak_22,chr1,5588721,5589462,742,5589198,30,6.64097,2.69363,3.55073
WT_DOX_peak_23,chr1,5916024,5916461,438,5916375,46,5.45461,2.0159,2.64864
WT_DOX_peak_24,chr1,5918312,5918637,326,5918389,45,6.0964,2.14622,3.13943
WT_DOX_peak_25,chr1,6358033,6358795,763,6358396,52,8.00469,2.33509,4.64525
WT_DOX_peak_26,chr1,6359748,6360823,1076,6360286,53,8.21404,2.34872,4.80834
WT_DOX_peak_27,chr1,6381811,6382677,867,6382214,58,10.19549,2.5499,6.45411
WT_DOX_peak_28,chr1,6383383,6384083,701,6383531,56,9.73955,2.5244,6.07396
WT_DOX_peak_29,chr1,6439276,6439764,489,6439488,40,4.84138,2.00076,2.19019
WT_DOX_peak_30,chr1,6439985,6441148,1164,6440665,63,13.25732,2.88322,9.12067
WT_DOX_peak_31,chr1,9300339,9301610,1272,9300735,66,12.471,2.70009,8.41873
WT_DOX_peak_32,chr1,9545550,9545897,348,9545703,42,13.30089,3.73632,9.15291
WT_DOX_peak_33,chr1,9546044,9546550,507,9546275,34,8.67593,3.04119,5.18371
WT_DOX_peak_34,chr1,9613963,9614311,349,9614211,40,7.04847,2.44225,3.88157
WT_DOX_peak_35,chr1,9649717,9650167,451,9650107,47,8.04436,2.45138,4.67808
WT_DOX_peak_36,chr1,9796351,9797517,1167,9797270,66,9.25632,2.27433,5.66287
WT_DOX_peak_37,chr1,9799471,9800026,556,9799637,59,6.68626,2.0266,3.58733
WT_DOX_peak_38,chr1,9849076,9851003,1928,9849589,62,10.91451,2.56933,7.0582
WT_DOX_peak_39,chr1,9907558,9908498,941,9908321,41,10.30284,3.09876,6.54668
WT_DOX_peak_40,chr1,9965653,9966874,1222,9966159,73,14.14455,2.76894,9.9196
WT_DOX_peak_41,chr1,9968587,9969087,501,9968831,62,8.60167,2.24851,5.13151
WT_DOX_peak_42,chr1,10010267,10010605,339,10010428,30,6.64097,2.69363,3.55073
WT_DOX_peak_43,chr1,10233811,10235482,1672,10234496,56,15.05665,3.40128,10.76127
WT_DOX_peak_44,chr1,10804657,10806327,1671,10805733,41,12.68586,3.64943,8.60408
WT_DOX_peak_45,chr1,10992413,10993013,601,10992801,44,7.66553,2.45679,4.36435
WT_DOX_peak_46,chr1,10994049,10995555,1507,10994877,68,20.17711,3.76707,15.60587
WT_DOX_peak_47,chr1,11415515,11416056,542,11415739,35,9.21532,3.12808,5.62831
WT_DOX_peak_48,chr1,12641659,12642170,512,12642007,27,4.88285,2.32848,2.2216
WT_DOX_peak_49,chr1,12657445,12657904,460,12657687,53,20.67198,4.69212,16.08405
WT_DOX_peak_50,chr1,12694211,12694554,344,12694249,31,4.49265,2.10932,1.94254
WT_DOX_peak_51,chr1,12694696,12695339,644,12694974,38,7.79584,2.66364,4.47202
WT_DOX_peak_52,chr1,12993827,12994952,1126,12993966,41,6.47054,2.30039,3.4262
WT_DOX_peak_53,chr1,13050811,13051172,362,13050983,27,5.25353,2.43295,2.49095
WT_DOX_peak_54,chr1,13427988,13428308,321,13428229,29,5.31939,2.3785,2.54254
WT_DOX_peak_55,chr1,13499815,13500211,397,13499857,28,5.702,2.51984,2.82672
WT_DOX_peak_56,chr1,13590757,13591840,1084,13590974,36,9.76632,3.21497,6.08659
WT_DOX_peak_57,chr1,13591965,13592269,305,13592019,30,6.40212,2.62939,3.3707
WT_DOX_peak_58,chr1,13738623,13739119,497,13739016,28,4.68632,2.24174,2.0895
WT_DOX_peak_59,chr1,14505187,14506149,963,14505890,86,18.29122,2.98602,13.79786
WT_DOX_peak_60,chr1,14507607,14507949,343,14507820,64,9.40314,2.32477,5.7873
WT_DOX_peak_61,chr1,14917177,14917986,810,14917771,28,5.702,2.51984,2.82672
WT_DOX_peak_62,chr1,14918223,14918516,294,14918361,35,9.21532,3.12808,5.62831
WT_DOX_peak_63,chr1,15285850,15286143,294,15286013,58,7.69678,2.18365,4.39067
WT_DOX_peak_64,chr1,15287476,15288537,1062,15288143,71,12.88266,2.65037,8.78137
WT_DOX_peak_65,chr1,15891813,15892421,609,15892231,47,5.05278,1.9321,2.35322
WT_DOX_peak_66,chr1,15893162,15893928,767,15893358,59,9.05338,2.36202,5.50118
WT_DOX_peak_67,chr1,16057112,16058147,1036,16058058,36,7.34591,2.63278,4.1135
WT_DOX_peak_68,chr1,16073357,16074582,1226,16074043,42,8.17054,2.6117,4.77193
WT_DOX_peak_69,chr1,16091894,16093548,1655,16092628,51,19.22605,4.51185,14.69341
WT_DOX_peak_70,chr1,16106654,16107439,786,16106875,33,8.14847,2.9543,4.75348
WT_DOX_peak_71,chr1,16157136,16157678,543,16157193,32,6.90587,2.67879,3.76537
WT_DOX_peak_72,chr1,16170258,16170608,351,16170383,35,6.98002,2.58324,3.82588
WT_DOX_peak_73,chr1,16520195,16521593,1399,16520638,49,9.9024,2.72976,6.20346
WT_DOX_peak_74,chr1,16620657,16621800,1144,16620869,33,7.23453,2.721,4.02257
WT_DOX_peak_75,chr1,17091002,17091445,444,17091242,64,11.59452,2.6226,7.64631
WT_DOX_peak_76,chr1,17096122,17096516,395,17096344,72,9.55356,2.22687,5.91541
WT_DOX_peak_77,chr1,17098602,17099257,656,17099051,50,5.54853,1.97346,2.72167
WT_DOX_peak_78,chr1,17727939,17728320,382,17728090,31,7.13064,2.78052,3.9373
WT_DOX_peak_79,chr1,18059063,18060114,1052,18059316,76,17.47532,3.12158,13.02276
WT_DOX_peak_80,chr1,19087411,19088019,609,19087668,33,8.14847,2.9543,4.75348
WT_DOX_peak_81,chr1,19208272,19208807,536,19208629,69,5.10165,1.72531,2.39044
WT_DOX_peak_82,chr1,19235952,19236275,324,19236086,71,5.56444,1.76692,2.73396
WT_DOX_peak_83,chr1,19331271,19332532,1262,19332228,40,9.5711,2.97974,5.93044
WT_DOX_peak_84,chr1,19768286,19769073,788,19768851,31,7.13064,2.78052,3.9373
WT_DOX_peak_85,chr1,20428743,20429136,394,20428942,32,7.53472,2.84155,4.26824
WT_DOX_peak_86,chr1,20451190,20451554,365,20451362,32,5.27031,2.2721,2.50409
WT_DOX_peak_87,chr1,20477162,20477483,322,20477372,47,6.39681,2.16242,3.36695
WT_DOX_peak_88,chr1,20768813,20769909,1097,20769643,39,11.4862,3.47565,7.55128
WT_DOX_peak_89,chr1,20770065,20770518,454,20770242,33,8.14847,2.9543,4.75348
WT_DOX_peak_90,chr1,20789138,20789713,576,20789579,34,6.48487,2.50093,3.43772
WT_DOX_peak_91,chr1,20829487,20829850,364,20829603,32,7.63326,2.86741,4.33818
WT_DOX_peak_92,chr1,20891994,20892511,518,20892306,30,6.64097,2.69363,3.55073
WT_DOX_peak_93,chr1,21163150,21164155,1006,21163659,40,6.94494,2.42105,3.79731
WT_DOX_peak_94,chr1,21272574,21273383,810,21272681,37,10.32866,3.30187,6.55925
WT_DOX_peak_95,chr1,21959638,21960194,557,21959840,69,10.96552,2.44448,7.10286
WT_DOX_peak_96,chr1,21962518,21963213,696,21962960,59,7.74715,2.17568,4.43216
WT_DOX_peak_97,chr1,22532428,22533000,573,22532743,55,11.07628,2.76047,7.19952
WT_DOX_peak_98,chr1,22534342,22535170,829,22534585,53,9.73906,2.59421,6.07353
WT_DOX_peak_99,chr1,22795222,22795518,297,22795325,31,6.08671,2.50784,3.13176
WT_DOX_peak_100,chr1,22804765,22805555,791,22805370,68,11.27903,2.50203,7.37779
WT_DOX_peak_101,chr1,22807121,22807442,322,22807334,56,7.09194,2.12582,3.91683
WT_DOX_peak_102,chr1,23254368,23254791,424,23254569,35,7.84657,2.78918,4.51435
WT_DOX_peak_103,chr1,23254924,23255668,745,23255094,34,7.6971,2.79446,4.39079
WT_DOX_peak_104,chr1,23381483,23381815,333,23381607,29,5.44594,2.41224,2.64139
WT_DOX_peak_105,chr1,23759573,23760024,452,23759814,57,5.07087,1.81989,2.36649
WT_DOX_peak_106,chr1,23760419,23761367,949,23761156,76,10.20211,2.25001,6.45982
WT_DOX_peak_107,chr1,23833160,23833648,489,23833401,35,9.21532,3.12808,5.62831
WT_DOX_peak_108,chr1,23922708,23923881,1174,23923321,53,19.71632,4.47969,15.16319
WT_DOX_peak_109,chr1,24090695,24091208,514,24090853,47,7.44834,2.34572,4.19772
WT_DOX_peak_110,chr1,24098231,24099223,993,24098492,55,6.60546,2.06811,3.53405
WT_DOX_peak_111,chr1,24134412,24134705,294,24134593,37,7.19577,2.56445,3.99035
WT_DOX_peak_112,chr1,24263789,24264441,653,24264361,52,8.48815,2.41324,5.03662
WT_DOX_peak_113,chr1,24264855,24265487,633,24265227,55,9.75847,2.54984,6.08659
WT_DOX_peak_114,chr1,24585027,24586347,1321,24586252,79,8.72597,2.05363,5.22601
WT_DOX_peak_115,chr1,24611902,24612523,622,24612073,56,6.88913,2.09594,3.75173
WT_DOX_peak_116,chr1,24613106,24613818,713,24613620,74,13.61074,2.68242,9.43609
