name,chr,start,end,length,cpgNum,gcNum,perCpg,perGc,obsExp
CpG: 47,chr1,84934572,84935054,482,47,329,19.5,68.3,0.84
CpG: 78,chr1,63176547,63177427,880,78,543,17.7,61.7,0.93
CpG: 67,chr1,125435174,125435976,802,67,464,16.7,57.9,1.01
CpG: 93,chr1,183368926,183369826,900,93,631,20.7,70.1,0.84
CpG: 27,chr1,3531624,3531843,219,27,167,24.7,76.3,0.86
CpG: 34,chr1,3670619,3671074,455,34,293,14.9,64.4,0.72
CpG: 45,chr1,3671654,3672156,502,45,348,17.9,69.3,0.75
CpG: 165,chr1,4491701,4493673,1972,165,1286,16.7,65.2,0.79
CpG: 47,chr1,4496947,4497608,661,47,393,14.2,59.5,0.81
CpG: 44,chr1,4571641,4572075,434,44,265,20.3,61.1,1.09
CpG: 24,chr1,4689184,4689397,213,24,149,22.5,70,0.96
CpG: 49,chr1,4785376,4785814,438,49,289,22.4,66,1.04
CpG: 73,chr1,4807559,4808103,544,73,367,26.8,67.5,1.18
CpG: 83,chr1,4857465,4858372,907,83,545,18.3,60.1,1.01
CpG: 77,chr1,5018557,5019711,1154,77,714,13.3,61.9,0.71
CpG: 49,chr1,5083039,5083536,497,49,329,19.7,66.2,0.9
CpG: 85,chr1,5916428,5917474,1046,85,649,16.3,62,0.85
CpG: 107,chr1,6214430,6215332,902,107,645,23.7,71.5,0.93
CpG: 29,chr1,6359082,6359442,360,29,245,16.1,68.1,0.72
CpG: 42,chr1,6382891,6383203,312,42,229,26.9,73.4,1
CpG: 36,chr1,6441200,6441612,412,36,209,17.5,50.7,1.36
CpG: 85,chr1,7088491,7089271,780,85,540,21.8,69.2,0.91
CpG: 64,chr1,7397746,7398594,848,64,543,15.1,64,0.74
CpG: 61,chr1,9299215,9300020,805,61,512,15.2,63.6,0.76
CpG: 97,chr1,9545269,9546268,999,97,666,19.4,66.7,0.87
CpG: 87,chr1,9699785,9700881,1096,87,624,15.9,56.9,0.98
CpG: 89,chr1,9747560,9748645,1085,89,631,16.4,58.2,0.98
CpG: 95,chr1,9797821,9798652,831,95,493,22.9,59.3,1.3
CpG: 40,chr1,9848165,9848530,365,40,265,21.9,72.6,0.88
CpG: 46,chr1,9943785,9944196,411,46,277,22.4,67.4,1
CpG: 128,chr1,9967118,9968330,1212,128,811,21.1,66.9,0.94
CpG: 31,chr1,10037950,10038215,265,31,167,23.4,63,1.21
CpG: 60,chr1,10039745,10040279,534,60,387,22.5,72.5,0.89
CpG: 136,chr1,10232143,10233428,1285,136,780,21.2,60.7,1.15
CpG: 45,chr1,10805299,10805885,586,45,371,15.4,63.3,0.77
CpG: 56,chr1,10993486,10994005,519,56,324,21.6,62.4,1.11
CpG: 44,chr1,11414060,11414465,405,44,283,21.7,69.9,0.89
CpG: 34,chr1,12990718,12991200,482,34,307,14.1,63.7,0.7
CpG: 98,chr1,12991485,12992784,1299,98,734,15.1,56.5,0.95
CpG: 16,chr1,12996222,12996435,213,16,129,15,60.6,0.82
CpG: 30,chr1,13126298,13126669,371,30,238,16.2,64.2,0.79
CpG: 188,chr1,13372746,13374794,2048,188,1298,18.4,63.4,0.92
CpG: 101,chr1,13589162,13590177,1015,101,623,19.9,61.4,1.06
CpG: 49,chr1,13660231,13660732,501,49,344,19.6,68.7,0.83
CpG: 35,chr1,14309747,14310036,289,35,209,24.2,72.3,0.93
CpG: 48,chr1,14506541,14507148,607,48,394,15.8,64.9,0.75
CpG: 68,chr1,14755151,14755803,652,68,455,20.9,69.8,0.86
CpG: 87,chr1,15286418,15287178,760,87,561,22.9,73.8,0.84
CpG: 60,chr1,15805591,15806108,517,60,355,23.2,68.7,0.99
CpG: 52,chr1,15892420,15893052,632,52,447,16.5,70.7,0.67
CpG: 41,chr1,16092956,16093371,415,41,277,19.8,66.7,0.89
CpG: 169,chr1,16104765,16106291,1526,169,1006,22.1,65.9,1.02
CpG: 45,chr1,16519743,16520093,350,45,261,25.7,74.6,0.93
CpG: 107,chr1,16618558,16619401,843,107,605,25.4,71.8,0.99
CpG: 25,chr1,16656764,16657043,279,25,176,17.9,63.1,0.94
CpG: 56,chr1,16665146,16665626,480,56,337,23.3,70.2,0.97
CpG: 35,chr1,17091517,17091971,454,35,267,15.4,58.8,0.89
CpG: 116,chr1,17096764,17098139,1375,116,864,16.9,62.8,0.86
CpG: 23,chr1,17145467,17145795,328,23,205,14,62.5,0.72
CpG: 91,chr1,18058035,18058896,861,91,570,21.1,66.2,0.97
CpG: 25,chr1,19104571,19104923,352,25,225,14.2,63.9,0.72
CpG: 30,chr1,19209755,19210067,312,30,195,19.2,62.5,0.98
CpG: 35,chr1,19213940,19214404,464,35,307,15.1,66.2,0.74
CpG: 19,chr1,19236612,19236850,238,19,153,16,64.3,0.78
CpG: 45,chr1,20819888,20820297,409,45,289,22,70.7,0.95
CpG: 33,chr1,20890434,20890811,377,33,267,17.5,70.8,0.72
CpG: 15,chr1,20935285,20935502,217,15,133,13.8,61.3,0.78
CpG: 20,chr1,20951662,20951890,228,20,151,17.5,66.2,0.81
CpG: 72,chr1,21078869,21079694,825,72,515,17.5,62.4,0.91
CpG: 99,chr1,21961003,21962124,1121,99,687,17.7,61.3,0.94
CpG: 104,chr1,22533177,22534185,1008,104,642,20.6,63.7,1.02
CpG: 62,chr1,22805682,22806364,682,62,432,18.2,63.3,0.91
CpG: 27,chr1,23101887,23102262,375,27,229,14.4,61.1,0.77
CpG: 114,chr1,23256018,23257054,1036,114,643,22,62.1,1.17
CpG: 83,chr1,23382681,23383400,719,83,479,23.1,66.6,1.04
CpG: 131,chr1,23761822,23763204,1382,131,930,19,67.3,0.85
CpG: 76,chr1,23921719,23922554,835,76,469,18.2,56.2,1.15
CpG: 38,chr1,24005371,24005714,343,38,222,22.2,64.7,1.06
CpG: 108,chr1,24099641,24100556,915,108,613,23.6,67,1.05
CpG: 71,chr1,24586521,24587177,656,71,432,21.6,65.9,1.01
CpG: 54,chr1,24678516,24679083,567,54,371,19,65.4,0.89
CpG: 75,chr1,25829845,25830680,835,75,485,18,58.1,1.08
CpG: 137,chr1,30873108,30874026,918,137,669,29.8,72.9,1.13
CpG: 145,chr1,30948826,30950216,1390,145,828,20.9,59.6,1.18
CpG: 50,chr1,32172540,32173046,506,50,346,19.8,68.4,0.85
CpG: 73,chr1,33669553,33670569,1016,73,548,14.4,53.9,0.99
CpG: 91,chr1,33719825,33720450,625,91,455,29.1,72.8,1.12
CpG: 44,chr1,33757611,33757949,338,44,257,26,76,0.9
CpG: 62,chr1,33814130,33814690,560,62,374,22.1,66.8,1
CpG: 20,chr1,33906988,33907242,254,20,147,15.7,57.9,0.94
CpG: 20,chr1,33907457,33907693,236,20,165,16.9,69.9,0.71
CpG: 31,chr1,33907902,33908106,204,31,160,30.4,78.4,0.99
CpG: 16,chr1,33908265,33908468,203,16,117,15.8,57.6,0.97
CpG: 18,chr1,34006046,34006248,202,18,116,17.8,57.4,1.1
CpG: 52,chr1,34011484,34011861,377,52,300,27.6,79.6,0.87
CpG: 25,chr1,34177942,34178193,251,25,161,19.9,64.1,1.04
CpG: 64,chr1,34439241,34440138,897,64,525,14.3,58.5,0.83
CpG: 43,chr1,34459407,34459964,557,43,352,15.4,63.2,0.77
CpG: 19,chr1,34472754,34472966,212,19,132,17.9,62.3,0.93
CpG: 42,chr1,34579529,34579840,311,42,235,27,75.6,0.95
CpG: 37,chr1,34678070,34678419,349,37,239,21.2,68.5,0.93
CpG: 81,chr1,34750258,34751085,827,81,521,19.6,63,0.99
CpG: 40,chr1,34801701,34802059,358,40,258,22.3,72.1,0.86
CpG: 71,chr1,34842534,34843165,631,71,354,22.5,56.1,1.44
CpG: 33,chr1,34849895,34850178,283,33,203,23.3,71.7,0.92
CpG: 47,chr1,34930034,34930639,605,47,374,15.5,61.8,0.82
CpG: 81,chr1,36068460,36069216,756,81,462,21.4,61.1,1.15
CpG: 46,chr1,36103537,36104186,649,46,397,14.2,61.2,0.76
CpG: 53,chr1,36243891,36244412,521,53,349,20.3,67,0.92
CpG: 48,chr1,36269231,36269697,466,48,313,20.6,67.2,0.92
CpG: 61,chr1,36307616,36308213,597,61,400,20.4,67,0.91
CpG: 74,chr1,36368684,36369330,646,74,395,22.9,61.1,1.25
CpG: 44,chr1,36444875,36445308,433,44,304,20.3,70.2,0.85
CpG: 72,chr1,36471266,36472155,889,72,475,16.2,53.4,1.14
CpG: 128,chr1,36511763,36513006,1243,128,766,20.6,61.6,1.09
CpG: 38,chr1,36546910,36547290,380,38,255,20,67.1,0.91
CpG: 139,chr1,36556807,36558424,1617,139,1087,17.2,67.2,0.76
CpG: 32,chr1,36683084,36683438,354,32,222,18.1,62.7,0.92
CpG: 58,chr1,36691322,36691869,547,58,364,21.2,66.5,0.96
CpG: 50,chr1,36709621,36710148,527,50,363,19,68.9,0.8
CpG: 44,chr1,36770808,36771193,385,44,260,22.9,67.5,1.01
CpG: 18,chr1,36779084,36779320,236,18,136,15.3,57.6,0.92
CpG: 154,chr1,36938841,36940122,1281,154,889,24,69.4,1
CpG: 17,chr1,37029247,37029486,239,17,158,14.2,66.1,0.65
CpG: 62,chr1,37299840,37300507,667,62,381,18.6,57.1,1.17
CpG: 67,chr1,37429777,37430415,638,67,437,21,68.5,0.9
CpG: 56,chr1,37540315,37540920,605,56,361,18.5,59.7,1.05
CpG: 88,chr1,37719313,37720128,815,88,536,21.6,65.8,1
CpG: 78,chr1,37864612,37865324,712,78,446,21.9,62.6,1.15
CpG: 32,chr1,37875331,37875824,493,32,261,13,52.9,0.93
CpG: 38,chr1,37890362,37890782,420,38,237,18.1,56.4,1.14
CpG: 41,chr1,37996946,37997459,513,41,311,16,60.6,0.87
CpG: 101,chr1,37997823,37998675,852,101,612,23.7,71.8,0.94
CpG: 167,chr1,38129048,38130208,1160,167,802,28.8,69.1,1.21
CpG: 26,chr1,38210065,38210345,280,26,202,18.6,72.1,0.72
CpG: 94,chr1,38626793,38628084,1291,94,666,14.6,51.6,1.1
CpG: 131,chr1,38835801,38836776,975,131,701,26.9,71.9,1.04
CpG: 46,chr1,38897864,38898202,338,46,256,27.2,75.7,0.95
CpG: 47,chr1,38987499,38988052,553,47,370,17,66.9,0.76
CpG: 103,chr1,39193418,39194435,1017,103,629,20.3,61.8,1.07
CpG: 100,chr1,39367434,39368617,1183,100,705,16.9,59.6,0.95
CpG: 81,chr1,39478123,39478997,874,81,563,18.5,64.4,0.9
CpG: 98,chr1,39535587,39536365,778,98,548,25.2,70.4,1.02
CpG: 100,chr1,39576525,39577527,1002,100,614,20,61.3,1.07
CpG: 76,chr1,39650441,39651282,841,76,568,18.1,67.5,0.79
CpG: 127,chr1,39900472,39901459,987,127,642,25.7,65,1.22
CpG: 30,chr1,40266556,40266876,320,30,227,18.8,70.9,0.75
CpG: 17,chr1,40325809,40326019,210,17,138,16.2,65.7,0.76
CpG: 111,chr1,40681006,40682084,1078,111,748,20.6,69.4,0.86
CpG: 28,chr1,40790518,40790811,293,28,198,19.1,67.6,0.84
CpG: 26,chr1,42491684,42491938,254,26,166,20.5,65.4,0.97
CpG: 40,chr1,42684497,42685011,514,40,344,15.6,66.9,0.7
CpG: 31,chr1,42686605,42686928,323,31,209,19.2,64.7,0.93
CpG: 28,chr1,42694074,42694484,410,28,236,13.7,57.6,0.84
CpG: 44,chr1,42694733,42695261,528,44,291,16.7,55.1,1.1
CpG: 158,chr1,42696574,42698657,2083,158,1114,15.2,53.5,1.06
CpG: 36,chr1,42851139,42851682,543,36,353,13.3,65,0.63
CpG: 53,chr1,42952792,42953543,751,53,413,14.1,55,0.96
CpG: 57,chr1,43092247,43092816,569,57,306,20,53.8,1.39
CpG: 46,chr1,43098480,43098954,474,46,328,19.4,69.2,0.81
CpG: 42,chr1,43163728,43164080,352,42,256,23.9,72.7,0.91
CpG: 67,chr1,43445846,43446568,722,67,471,18.6,65.2,0.88
CpG: 22,chr1,43553864,43554185,321,22,192,13.7,59.8,0.77
CpG: 95,chr1,43827314,43828135,821,95,573,23.1,69.8,0.96
