name,chr,start,end,score
H3.3_1,chr1,3482797.0,3482998.0,67.48
H3.3_2,chr1,4766873.0,4767228.0,75.23
H3.3_3,chr1,4767409.0,4767794.0,167.82
H3.3_4,chr1,4770131.0,4770926.0,272.91
H3.3_5,chr1,4771286.0,4771447.0,53.63
H3.3_6,chr1,4774981.0,4775996.0,241.02
H3.3_7,chr1,4777643.0,4777920.0,54.0
H3.3_8,chr1,4780427.0,4780779.0,85.47
H3.3_9,chr1,4780799.0,4781027.0,73.37
H3.3_10,chr1,4781382.0,4781548.0,56.94
H3.3_11,chr1,4781845.0,4782349.0,122.67
H3.3_12,chr1,4782424.0,4782845.0,67.41
H3.3_13,chr1,4803143.0,4803497.0,174.8
H3.3_14,chr1,4833301.0,4833497.0,74.91
H3.3_15,chr1,4842188.0,4842691.0,156.97
H3.3_16,chr1,4843960.0,4844198.0,66.99
H3.3_17,chr1,4855457.0,4856194.0,112.79
H3.3_18,chr1,4856282.0,4856620.0,75.76
H3.3_19,chr1,4857338.0,4857719.0,58.17
H3.3_20,chr1,4882739.0,4882973.0,52.47
H3.3_21,chr1,4891112.0,4891310.0,56.77
H3.3_22,chr1,4904247.0,4904422.0,60.63
H3.3_23,chr1,4969859.0,4970523.0,105.28
H3.3_24,chr1,4970673.0,4971031.0,149.61
H3.3_25,chr1,4972505.0,4972697.0,70.63
H3.3_26,chr1,5020849.0,5021293.0,71.93
H3.3_27,chr1,5233014.0,5233372.0,54.92
H3.3_28,chr1,5461221.0,5461432.0,67.81
H3.3_29,chr1,5462322.0,5462474.0,56.54
H3.3_30,chr1,6448973.0,6449139.0,64.78
H3.3_31,chr1,6449142.0,6449378.0,77.67
H3.3_32,chr1,6870368.0,6870590.0,82.34
H3.3_33,chr1,7052492.0,7053029.0,82.88
H3.3_34,chr1,7060628.0,7060747.0,58.85
H3.3_35,chr1,7068444.0,7069043.0,292.48
H3.3_36,chr1,7070280.0,7070661.0,54.95
H3.3_37,chr1,7088239.0,7088511.0,66.04
H3.3_38,chr1,7105301.0,7105574.0,80.43
H3.3_39,chr1,7129534.0,7129658.0,76.29
H3.3_40,chr1,7205698.0,7206404.0,212.26
H3.3_41,chr1,7206661.0,7207124.0,163.82
H3.3_42,chr1,7207602.0,7207866.0,56.07
H3.3_43,chr1,7297916.0,7298080.0,109.25
H3.3_44,chr1,7299576.0,7299770.0,52.99
H3.3_45,chr1,7451900.0,7452049.0,57.77
H3.3_46,chr1,7494046.0,7494304.0,87.38
H3.3_47,chr1,7497158.0,7497336.0,63.53
H3.3_48,chr1,7497407.0,7497614.0,99.55
H3.3_49,chr1,7497973.0,7498280.0,166.14
H3.3_50,chr1,7498780.0,7499186.0,184.41
H3.3_51,chr1,7499223.0,7499384.0,53.88
H3.3_52,chr1,7499526.0,7499677.0,88.8
H3.3_53,chr1,7591265.0,7591533.0,83.84
H3.3_54,chr1,7608075.0,7608233.0,59.96
H3.3_55,chr1,7671265.0,7671696.0,192.61
H3.3_56,chr1,7672246.0,7672406.0,90.7
H3.3_57,chr1,7732500.0,7732650.0,50.57
H3.3_58,chr1,8178257.0,8178358.0,61.48
H3.3_59,chr1,8533316.0,8533546.0,62.15
H3.3_60,chr1,8535553.0,8535827.0,150.6
H3.3_61,chr1,8557768.0,8557890.0,51.22
H3.3_62,chr1,8582610.0,8582843.0,59.16
H3.3_63,chr1,9470255.0,9470727.0,135.98
H3.3_64,chr1,9548187.0,9548663.0,152.7
H3.3_65,chr1,9629397.0,9629899.0,113.46
H3.3_66,chr1,9629991.0,9630558.0,137.18
H3.3_67,chr1,9699343.0,9699671.0,50.68
H3.3_68,chr1,9699674.0,9700276.0,122.78
H3.3_69,chr1,9700784.0,9701296.0,148.13
H3.3_70,chr1,9701827.0,9702356.0,137.47
H3.3_71,chr1,9747530.0,9747973.0,66.04
H3.3_72,chr1,9798857.0,9799021.0,51.88
H3.3_73,chr1,9799026.0,9799358.0,62.38
H3.3_74,chr1,9847338.0,9848102.0,256.38
H3.3_75,chr1,9848335.0,9848583.0,62.61
H3.3_76,chr1,9937861.0,9938012.0,56.72
H3.3_77,chr1,9939243.0,9939526.0,92.44
H3.3_78,chr1,9939682.0,9940028.0,115.47
H3.3_79,chr1,9940049.0,9940311.0,79.97
H3.3_80,chr1,9941373.0,9941683.0,112.11
H3.3_81,chr1,9953546.0,9953877.0,87.04
H3.3_82,chr1,9954166.0,9954435.0,60.16
H3.3_83,chr1,9985926.0,9986305.0,69.58
H3.3_84,chr1,10008630.0,10009048.0,71.53
H3.3_85,chr1,10038930.0,10039322.0,75.36
H3.3_86,chr1,10170980.0,10171200.0,54.74
H3.3_87,chr1,10171498.0,10171600.0,54.22
H3.3_88,chr1,10171797.0,10172143.0,108.09
H3.3_89,chr1,10645970.0,10646185.0,108.9
H3.3_90,chr1,10646954.0,10647094.0,67.76
H3.3_91,chr1,10853461.0,10853639.0,54.76
H3.3_92,chr1,10877390.0,10877886.0,155.8
H3.3_93,chr1,10877898.0,10878170.0,88.5
H3.3_94,chr1,10878275.0,10878468.0,55.37
H3.3_95,chr1,10878481.0,10878734.0,64.37
H3.3_96,chr1,10880363.0,10880610.0,87.91
H3.3_97,chr1,11147681.0,11147980.0,63.87
H3.3_98,chr1,11277056.0,11277389.0,69.5
H3.3_99,chr1,11277848.0,11277986.0,55.78
H3.3_100,chr1,11278157.0,11278735.0,246.26
H3.3_101,chr1,11400878.0,11401153.0,93.99
H3.3_102,chr1,11413341.0,11413639.0,54.14
H3.3_103,chr1,11415072.0,11415607.0,109.43
H3.3_104,chr1,11565002.0,11565198.0,56.8
