name,chrom,start,end,strand,TPM
Tmem245,chr4,56876012,56947429,-,11.5470334594
Tcirg1,chr19,3896049,3907133,-,11.5464933077
Pvrl1,chr9,43744575,43807461,+,11.5387821966
Gas2l3,chr10,89408822,89443967,-,11.5370324712
Rc3h2,chr2,37370070,37422903,-,11.5348048275
Rfxank,chr8,70130805,70139197,-,11.5319930329
Trip4,chr9,65828925,65908794,-,11.5316761049
Asap3,chr4,136206364,136246573,+,11.5313695004
Dcun1d2,chr8,13255962,13288126,-,11.5214904983
Mir290a,chr7,3218625,3218708,+,11.506562049
Lrch3,chr16,32914099,33016029,+,11.5042716482
Tfcp2,chr15,100502747,100552008,-,11.5042160347
Pibf1,chr14,99099423,99254494,+,11.4935691009
Ebag9,chr15,44619640,44641026,+,11.4880475012
Mmp17,chr5,129584213,129608211,+,11.4835935967
Arrdc2,chr8,70835137,70839720,-,11.4747552596
Bcl9l,chr9,44499135,44510412,+,11.4643377398
Szt2,chr4,118362739,118409263,-,11.4619737745
Arhgef12,chr9,42963841,43105718,-,11.4419645593
Anks1,chr17,27909305,28062779,+,11.4412687685
Lin52,chr12,84451507,84531533,+,11.4337494545
Ell3,chr2,121439026,121442601,-,11.4312445822
Dnajb5,chr4,42953093,42958732,+,11.4276784094
Pik3c2a,chr7,116337275,116443458,-,11.420046576
Ralgps2,chr1,156804165,156939626,-,11.4074133
Rspry1,chr8,94601940,94660276,+,11.3936775824
Zfp369,chr13,65278853,65297795,+,11.3873308538
Ice2,chr9,69397997,69433074,+,11.3855274892
Igdcc3,chr9,65141188,65185870,+,11.3787959165
Zfp454,chr11,50872722,50887443,-,11.3775571005
Sik2,chr9,50892800,51009073,-,11.3754621623
Bbip1,chr19,53929658,53944627,-,11.3716174491
Gba2,chr4,43566927,43578864,-,11.3715339489
Thap3,chr4,151982637,151988986,-,11.3710073459
Dmd,chrX,82948869,85205050,+,11.3608953696
Synrg,chr11,83964430,84044576,+,11.352531404
Zbtb14,chr17,69383977,69390544,+,11.3500631454
Ccdc32,chr2,119017778,119029393,-,11.3439942087
Ptrf,chr11,100956735,100970617,-,11.3404339202
Rilpl2,chr5,124463264,124478235,-,11.3368909242
Ogfod2,chr5,124112337,124115476,+,11.3245211714
Nck2,chr1,43445750,43570518,+,11.3219510135
Stim1,chr7,102267823,102436855,+,11.3182797553
Ubn1,chr16,5050067,5086285,+,11.3170602151
Azi2,chr9,118040521,118069794,+,11.2888464008
Kiss1,chr1,133327211,133329722,+,11.2874977256
Ermard,chr17,15041611,15064232,+,11.2847029544
Vmac,chr17,56713931,56717699,-,11.2812661659
Clcc1,chr3,108653912,108678840,+,11.2795598907
BC017158,chr7,128271378,128298131,-,11.2771110726
Snora69,chrX,37082911,37083033,-,11.2741204768
Lyplal1,chr1,186087731,186117310,-,11.2726536112
Psors1c2,chr17,35533200,35534648,+,11.271055777
