name,chr,start,end,max_1kb_coverage
Ezh2_1,chrX,3213311.0,3214961.0,3655.639
Ezh2_2,chrX,3240561.0,3242261.0,3409.62
Ezh2_3,chrX,3399661.0,3401361.0,3687.341
Ezh2_4,chrX,4178365.0,4179765.0,3025.098
Ezh2_5,chrX,4595156.0,4596756.0,3225.973
Ezh2_6,chrX,5287382.0,5288782.0,3215.08
Ezh2_7,chrX,5466832.0,5469132.0,3854.5440000000003
Ezh2_8,chrX,5579382.0,5581032.0,3222.157
Ezh2_9,chrX,5666632.0,5668382.0,4120.738
Ezh2_10,chrX,5703632.0,5705482.0,5253.928000000001
Ezh2_11,chrX,5788682.0,5790132.0,4333.9929999999995
Ezh2_12,chrX,5920932.0,5922732.0,4718.945
Ezh2_13,chrX,5971482.0,5973232.0,4211.166
Ezh2_14,chrX,5980832.0,5982682.0,4617.197
Ezh2_15,chrX,6049632.0,6051482.0,5145.997
Ezh2_16,chrX,6081132.0,6082982.0,5159.122
Ezh2_17,chrX,6091282.0,6092982.0,4238.213
Ezh2_18,chrX,6170882.0,6172782.0,4142.4890000000005
Ezh2_19,chrX,6552232.0,6553432.0,3991.8309999999997
Ezh2_20,chrX,6612182.0,6613232.0,3185.762
Ezh2_21,chrX,6692682.0,6694532.0,4137.3820000000005
Ezh2_22,chrX,6734582.0,6736282.0,4130.829000000001
Ezh2_24,chrX,6862374.0,6864074.0,3847.446
Ezh2_25,chrX,7044524.0,7046224.0,4268.51
Ezh2_26,chrX,7316874.0,7318624.0,4363.582
Ezh2_27,chrX,7349824.0,7351474.0,3346.4509999999996
Ezh2_28,chrX,7366374.0,7368024.0,3379.074
Ezh2_29,chrX,7374174.0,7375574.0,3081.0640000000003
Ezh2_30,chrX,7377324.0,7379474.0,7233.205
Ezh2_31,chrX,7615024.0,7617074.0,7866.504
Ezh2_32,chrX,7639524.0,7641424.0,4644.952
Ezh2_33,chrX,7671574.0,7673224.0,3709.4120000000003
Ezh2_34,chrX,7965574.0,7967424.0,4415.919
Ezh2_35,chrX,8021474.0,8023324.0,4623.059
