name,chr,start,end,score
Ubn2_1,chr1,3981608.0,3983375.0,218.9
Ubn2_2,chr1,4611568.0,4612479.0,108.89
Ubn2_3,chr1,4755876.0,4756519.0,60.8
Ubn2_4,chr1,4766489.0,4768165.0,173.04
Ubn2_5,chr1,4768753.0,4769636.0,101.23
Ubn2_6,chr1,4770054.0,4771007.0,88.2
Ubn2_7,chr1,4771559.0,4773236.0,175.64
Ubn2_8,chr1,4773277.0,4776754.0,312.24
Ubn2_9,chr1,4777646.0,4778673.0,77.6
Ubn2_10,chr1,4780459.0,4783162.0,348.6
Ubn2_11,chr1,4812994.0,4814284.0,145.15
Ubn2_12,chr1,4817079.0,4817754.0,52.73
Ubn2_13,chr1,4818433.0,4819197.0,51.26
Ubn2_14,chr1,4823017.0,4823757.0,64.78
Ubn2_15,chr1,4825649.0,4826635.0,62.24
Ubn2_16,chr1,4829014.0,4830595.0,165.39
Ubn2_17,chr1,4830690.0,4832334.0,179.96
Ubn2_18,chr1,4832408.0,4833707.0,125.73
Ubn2_19,chr1,4833828.0,4834721.0,55.71
Ubn2_20,chr1,4838949.0,4839638.0,53.75
Ubn2_21,chr1,4841901.0,4842805.0,79.51
Ubn2_22,chr1,4843153.0,4844418.0,93.69
Ubn2_23,chr1,4849839.0,4850983.0,97.25
Ubn2_24,chr1,4854178.0,4856805.0,341.14
Ubn2_25,chr1,4869745.0,4870782.0,98.91
Ubn2_26,chr1,4873822.0,4874493.0,52.73
Ubn2_27,chr1,4882621.0,4883452.0,81.41
Ubn2_28,chr1,4890995.0,4891698.0,55.38
Ubn2_29,chr1,4900190.0,4900993.0,59.74
Ubn2_30,chr1,4903731.0,4904825.0,92.0
Ubn2_31,chr1,4907496.0,4908657.0,53.81
Ubn2_32,chr1,4910464.0,4911704.0,77.88
Ubn2_33,chr1,4931343.0,4932053.0,50.8
Ubn2_34,chr1,4933227.0,4934368.0,82.39
Ubn2_35,chr1,4935373.0,4936270.0,58.25
Ubn2_36,chr1,4969462.0,4970995.0,128.83
Ubn2_37,chr1,4987524.0,4988331.0,85.54
Ubn2_38,chr1,5461034.0,5462585.0,256.34
Ubn2_39,chr1,6448848.0,6449601.0,66.58
Ubn2_40,chr1,6983568.0,6984242.0,52.28
Ubn2_41,chr1,6984496.0,6985286.0,92.85
Ubn2_42,chr1,7060501.0,7061287.0,85.11
Ubn2_43,chr1,7068398.0,7069342.0,124.55
Ubn2_44,chr1,7111097.0,7111897.0,67.31
Ubn2_45,chr1,7112742.0,7113455.0,61.33
Ubn2_46,chr1,7129077.0,7129866.0,72.48
Ubn2_47,chr1,7138057.0,7138996.0,64.74
Ubn2_48,chr1,7206159.0,7207155.0,74.83
Ubn2_49,chr1,7297422.0,7298477.0,175.92
Ubn2_50,chr1,7298947.0,7300178.0,170.15
Ubn2_51,chr1,7395437.0,7395981.0,74.55
Ubn2_52,chr1,7496843.0,7497417.0,56.25
Ubn2_53,chr1,7498569.0,7499841.0,157.28
Ubn2_54,chr1,7670939.0,7671717.0,66.51
Ubn2_55,chr1,9627952.0,9631041.0,305.11
Ubn2_56,chr1,9724494.0,9725302.0,62.04
Ubn2_57,chr1,9846229.0,9847129.0,70.56
Ubn2_58,chr1,9847291.0,9848053.0,57.78
Ubn2_59,chr1,9936339.0,9938152.0,175.83
Ubn2_60,chr1,9938492.0,9940242.0,135.36
Ubn2_61,chr1,9950074.0,9950899.0,50.77
Ubn2_62,chr1,10028683.0,10029649.0,71.91
Ubn2_63,chr1,10031060.0,10033401.0,279.82
Ubn2_64,chr1,10043735.0,10044388.0,59.2
Ubn2_65,chr1,10823035.0,10823756.0,60.12
Ubn2_66,chr1,10877289.0,10878293.0,104.56
Ubn2_67,chr1,11276003.0,11276695.0,64.65
Ubn2_68,chr1,11400142.0,11401461.0,135.7
Ubn2_69,chr1,12021972.0,12023368.0,168.25
Ubn2_70,chr1,12574101.0,12575439.0,157.62
Ubn2_71,chr1,12592163.0,12592879.0,57.15
Ubn2_72,chr1,12636656.0,12637653.0,89.7
Ubn2_73,chr1,12763010.0,12763983.0,118.8
Ubn2_74,chr1,12791262.0,12791899.0,54.04
Ubn2_75,chr1,12794817.0,12795995.0,110.16
Ubn2_76,chr1,12805548.0,12806774.0,67.38
Ubn2_77,chr1,12806870.0,12807690.0,77.26
Ubn2_78,chr1,12811095.0,12811754.0,57.68
Ubn2_79,chr1,12813989.0,12814865.0,89.94
Ubn2_80,chr1,12990400.0,12991121.0,102.09
Ubn2_81,chr1,12997322.0,12999372.0,225.41
Ubn2_82,chr1,13009164.0,13009661.0,53.06
Ubn2_83,chr1,13010035.0,13011885.0,190.68
Ubn2_84,chr1,13019050.0,13020212.0,71.83
Ubn2_85,chr1,13028804.0,13029346.0,53.56
Ubn2_86,chr1,13038523.0,13039320.0,82.39
Ubn2_87,chr1,13050364.0,13051703.0,87.2
Ubn2_88,chr1,13053103.0,13054202.0,83.55
Ubn2_89,chr1,13055970.0,13056828.0,89.14
Ubn2_90,chr1,13058119.0,13058865.0,56.45
Ubn2_91,chr1,13059320.0,13060183.0,72.38
Ubn2_92,chr1,13065222.0,13066494.0,103.34
Ubn2_93,chr1,13069214.0,13070038.0,71.69
Ubn2_94,chr1,13071995.0,13072928.0,117.8
Ubn2_95,chr1,13073609.0,13074412.0,86.25
Ubn2_96,chr1,13078999.0,13081293.0,247.94
Ubn2_97,chr1,13083544.0,13084952.0,118.75
Ubn2_98,chr1,13085232.0,13086884.0,128.55
Ubn2_99,chr1,13101927.0,13103075.0,108.29
Ubn2_100,chr1,13107127.0,13108334.0,143.59
Ubn2_101,chr1,13115656.0,13117025.0,98.35
Ubn2_102,chr1,13118987.0,13120399.0,88.15
Ubn2_103,chr1,13120435.0,13121222.0,61.44
Ubn2_104,chr1,13128370.0,13129907.0,146.87
Ubn2_105,chr1,13130273.0,13131028.0,70.14
Ubn2_106,chr1,13131241.0,13132000.0,56.54
Ubn2_107,chr1,13133079.0,13134050.0,119.61
Ubn2_108,chr1,13134895.0,13136602.0,90.06
