name,chr,start,end,Enh.prob,geneName,location
enh1,chr3,34761079.0,34762078.0,1.0,Sox2,intergenic
enh2,chr7,3206000.0,3206999.0,1.0,mmu-mir-290,intergenic
enh3,chr8,89003102.0,89004101.0,1.0,Sall1,intergenic
enh4,chr9,110947497.0,110948496.0,1.0,Tdgf1,upstream
enh5,chr12,86501051.0,86502050.0,0.9999,Esrrb,genic
enh6,chr4,55475129.0,55476128.0,0.9999,SNORA17,upstream
enh7,chr8,43320647.0,43321646.0,0.9999,Zfp42,intergenic
enh8,chr9,58279194.0,58280193.0,0.9997,Loxl1,downstream
enh9,chr3,34758079.0,34759078.0,0.9996,Sox2,intergenic
enh10,chr3,34760079.0,34761078.0,0.9996,Sox2,intergenic
enh11,chr7,107236487.0,107237486.0,0.9993,AC132462.2,upstream
enh12,chr7,140959102.0,140960101.0,0.9993,Ifitm2,upstream
enh13,chr1,36985156.0,36986155.0,0.9992,5S_rRNA,intergenic
enh14,chr3,135546037.0,135547036.0,0.9992,Manba,genic
enh15,chr11,12466998.0,12467997.0,0.9987,Cobl,upstream
enh16,chr3,95653079.0,95654078.0,0.9987,Mcl1,upstream
enh17,chr6,100378007.0,100379006.0,0.9985,Rybp,intergenic
enh18,chr6,65024007.0,65025006.0,0.9983,Smarcad1,intergenic
enh19,chr6,122340983.0,122341982.0,0.9982,Phc1,upstream
enh20,chr17,70828661.0,70829660.0,0.9979,Dlgap1,downstream
enh21,chr2,71865944.0,71866943.0,0.9978,Pdk1,upstream
enh22,chr17,84350661.0,84351660.0,0.9975,Thada,genic
enh23,chr4,55464129.0,55465128.0,0.9975,RP23-120N11.5,genic
enh24,chr6,122341983.0,122342982.0,0.9975,Phc1,upstream
enh25,chr17,45607052.0,45608051.0,0.9973,Gm7325,upstream
enh26,chr5,72901762.0,72902761.0,0.997,AC158939.1,intergenic
enh27,chr10,56374195.0,56375194.0,0.9965,Gja1,upstream
enh28,chr2,20654374.0,20655373.0,0.9965,Etl4,genic
enh29,chr4,141565086.0,141566085.0,0.9965,Fblim1,downstream
enh30,chr10,62895253.0,62896252.0,0.9961,U6,upstream
enh31,chr12,12787195.0,12788194.0,0.9959,U6,intergenic
enh32,chr14,105858784.0,105859783.0,0.9959,Spry2,intergenic
enh33,chr5,110468982.0,110469981.0,0.9957,AC169384.1,intergenic
enh34,chr11,44746499.0,44747498.0,0.9956,Ebf1,genic
enh35,chr3,34646079.0,34647078.0,0.9956,Sox2,upstream
enh36,chr11,97661687.0,97662686.0,0.9955,Mllt6,upstream
enh37,chr7,38028982.0,38029981.0,0.9955,C80913,upstream
enh38,chr3,34756079.0,34757078.0,0.9953,Sox2,intergenic
enh39,chr18,33835347.0,33836346.0,0.9951,Epb4.1l4a,genic
enh40,chr11,20230998.0,20231997.0,0.9943,Cep68,genic
enh41,chr3,133524037.0,133525036.0,0.9942,Tet2,genic
enh42,chr5,64864762.0,64865761.0,0.9941,Klf3,intergenic
