name,chr,start,end,strand,RPK
Chgb,chr2,132780777,132781777,+,2.2925220857
Cntnap1,chr11,101175616,101176616,+,2.2910130387
Ptpre,chr7,135537323,135538323,+,2.289960282
Scn11a,chr9,119824956,119825956,-,2.288061878
Sphkap,chr1,83407700,83408700,-,2.2859899754
Il6,chr5,30012660,30013660,+,2.2810139314
F7,chr8,13025533,13026533,+,2.2794939443
Omt2b,chr9,78327529,78328529,+,2.2791852304
Cyp4f18,chr8,72009126,72010126,-,2.276725803
Pcdh18,chr3,49756816,49757816,-,2.2739660391
Chst13,chr6,90324685,90325685,-,2.2739208369
Gm6498,chr14,48198215,48199215,+,2.2707888909
Rep15,chr6,147032036,147033036,+,2.2690297585
Kcnj9,chr1,172328763,172329763,-,2.2677624162
Bfsp2,chr9,103479828,103480828,-,2.2666102377
Gm3558,chr14,7568066,7569066,-,2.2654439694
Rhoh,chr5,65863068,65864068,+,2.26534677
Gm15972,chr18,23751805,23752805,-,2.2647033124
Ptger3,chr3,157566391,157567391,+,2.2635964959
Epgn,chr5,91027016,91028016,+,2.2610411682
Afp,chr5,90490213,90491213,+,2.2606841965
Ddx60,chr8,61927586,61928586,+,2.2596761708
4930413G21Rik,chr7,122969959,122970959,-,2.2596305877
Slamf8,chr1,172590068,172591068,-,2.2594221177
Cacnb4,chr2,52676109,52677109,-,2.2572204829
Mir7229,chr5,113324045,113325045,-,2.2571980116
Smpd3,chr8,106337488,106338488,-,2.2559813422
Creb5,chr6,53572873,53573873,+,2.2547237685
Tgm5,chr2,121085259,121086259,-,2.2540786559
Kcns2,chr15,34836854,34837854,+,2.2531839643
Doc2b,chr11,75795557,75796557,-,2.2531584309
Chrm3,chr13,10360303,10361303,-,2.250869375
Wnt16,chr6,22287726,22288726,+,2.2507281046
Ffar1,chr7,30860970,30861970,-,2.2504922689
Slc5a8,chr10,88885491,88886491,+,2.2455475924
4933405D12Rik,chr3,122923616,122924616,-,2.2449478113
Ces2b,chr8,104831143,104832143,+,2.2442989243
Hbb-y,chr7,103852707,103853707,-,2.2435327493
Epha3,chr16,63863657,63864657,-,2.2432894454
Mir744,chr11,65734332,65735332,-,2.2422314465
Gpr142,chr11,114798423,114799423,+,2.2420166643
Foxd2os,chr4,114908788,114909788,+,2.2394766811
Agtr1a,chr13,30335855,30336855,+,2.234547127
Allc,chr12,28581983,28582983,-,2.2312977281
Hoxd10,chr2,74691390,74692390,+,2.2303527333
Lrrc75b,chr10,75559830,75560830,-,2.2285049129
Nrip2,chr6,128399265,128400265,+,2.2279486404
Rarb,chr14,17081831,17082831,-,2.22525415
Nos2,chr11,78920358,78921358,+,2.224767336
D930020B18Rik,chr10,121641200,121642200,+,2.2231459703
Rasl2-9,chr7,5125450,5126450,-,2.222540743
3425401B19Rik,chr14,32684772,32685772,-,2.2207951532
Lmcd1,chr6,112273257,112274257,+,2.2137554878
Gpr35,chr1,92972618,92973618,+,2.2131301803
Pldi,chr10,60937632,60938632,-,2.2125131147
Apob,chr12,7977176,7978176,+,2.2124879851
Cxcl5,chr5,90758797,90759797,+,2.2120342371
Gm4832,chr17,88125011,88126011,+,2.2109856826
Urad,chr5,147321940,147322940,-,2.2080689218
Srp54b,chr12,55154603,55155603,+,2.2070898828
Gm12522,chr3,108383241,108384241,-,2.2061595806
9430065F17Rik,chr13,67552701,67553701,+,2.2058076145
Mroh2b,chr15,4898236,4899236,+,2.2037357022
Apol7b,chr15,77446960,77447960,-,2.2016965916
Ankrd36,chr11,5569183,5570183,+,2.1995945529
Tmem200a,chr10,26078552,26079552,-,2.1980027898
Spem1,chr11,69821665,69822665,-,2.1967201161
Prdm12,chr2,31639536,31640536,+,2.1954874666
Cldn13,chr5,134915030,134916030,-,2.1952609174
Hist1h4n,chr13,21811283,21812283,+,2.1940466776
Rnu11,chr4,132269686,132270686,-,2.1928128043
Ces5a,chr8,93535207,93536207,-,2.1927693054
Slc22a14,chr9,119189893,119190893,-,2.1916572505
Aoc1,chr6,48894754,48895754,+,2.1909226461
D030047H15Rik,chr7,4136426,4137426,-,2.1907734293
Prox1,chr1,190170180,190171180,-,2.1849564835
Cetn1,chr18,9618969,9619969,-,2.1846691234
C4bp-ps1,chr1,130681071,130682071,-,2.1828049088
1700065D16Rik,chr9,95857382,95858382,-,2.1792144048
Trpm5,chr7,143094142,143095142,-,2.1785163883
Gsta1,chr9,78230168,78231168,+,2.1773197453
5033403F01Rik,chr13,38960118,38961118,+,2.1759274886
Mageb3,chr2,121955592,121956592,-,2.175781592
Bex6,chr16,32179299,32180299,+,2.1649364748
Erg,chr16,95586093,95587093,-,2.16072417
Zfp652os,chr11,95712254,95713254,-,2.1588142283
2310007B03Rik,chr1,93160448,93161448,-,2.1586725052
Cntnap3,chr13,64903388,64904388,-,2.1586461261
A930018P22Rik,chr2,104122268,104123268,+,2.1583266436
Tmem45a2,chr16,57070846,57071846,-,2.1577473754
Csrp3,chr7,48847551,48848551,-,2.1575504703
Ppp1r27,chr11,120550632,120551632,-,2.1574438303
A630010A05Rik,chr16,14561816,14562816,+,2.1561676955
Ptcra,chr17,46763212,46764212,-,2.1550583696
Slc10a4,chr5,73006403,73007403,+,2.1547447128
Rbfox1,chr16,5884292,5885292,+,2.1512164087
Lrrn3,chr12,41485557,41486557,-,2.1475695053
Cacna2d3,chr14,29721364,29722364,-,2.1460444893
Cst7,chr2,150569914,150570914,+,2.1457547475
Gria4,chr9,4795734,4796734,-,2.1456978501
Insrr,chr3,87796450,87797450,+,2.1434746729
Dpep2,chr8,105995923,105996923,-,2.1428331647
1700069L16Rik,chr5,113724272,113725272,-,2.142673683
Fbxl13,chr5,21645105,21646105,-,2.1404246869
Lce3b,chr3,92932478,92933478,+,2.1385654825
Gm15091,chrX,149941154,149942154,+,2.1377676367
Zpbp,chr11,11461919,11462919,-,2.1373364314
Marc1,chr1,184810800,184811800,-,2.1369134447
Dock10,chr1,80758053,80759053,-,2.1349303861
Serpinb8,chr1,107589505,107590505,+,2.1337970205
Hist2h2ab,chr3,96219415,96220415,+,2.1332787029
Sdsl,chr5,120472263,120473263,-,2.131467117
Rem1,chr2,152626507,152627507,+,2.1286119476
Neurl3,chr1,36272925,36273925,-,2.1285063827
Speer5-ps1,chr10,44169946,44170946,+,2.1255521116
Nppa,chr4,148000245,148001245,+,2.1245251063
Masp1,chr16,23520090,23521090,-,2.1244295417
Mrln,chr10,70204163,70205163,+,2.1233259828
4930500L23Rik,chr5,139523250,139524250,+,2.1231192076
Gm15612,chr6,88842353,88843353,+,2.1196056745
Klhl30,chr1,91350572,91351572,+,2.1194812479
Dcst1,chr3,89364753,89365753,-,2.117426116
E130008D07Rik,chr17,43157791,43158791,-,2.1165692032
Abca13,chr11,9191441,9192441,+,2.1159348944
Irgc1,chr7,24445182,24446182,-,2.1144262657
Slc26a1,chr5,108675149,108676149,-,2.1137580921
Cd46,chr1,195091748,195092748,-,2.1114865624
Gm4461,chr17,33215851,33216851,-,2.1086172422
Mir6541,chr14,62865041,62866041,+,2.1055995687
LOC102631757,chr17,31152251,31153251,+,2.1045491415
Trpm3,chr19,22138616,22139616,+,2.1032180515
Spo11,chr2,172979341,172980341,+,2.1026976445
Dcstamp,chr15,39745429,39746429,+,2.1025035052
Dscaml1,chr9,45429792,45430792,+,2.10086349
E530011L22Rik,chr9,121759443,121760443,-,2.0994408562
4930590L20Rik,chr1,140655902,140656902,-,2.0981330773
Gm684,chr9,51278054,51279054,-,2.0970691737
Ppp1r3d,chr2,178413963,178414963,-,2.0938430937
Clec4a4,chr6,122989866,122990866,+,2.0928520084
Slc39a5,chr10,128400724,128401724,-,2.0925745322
Gm2897,chr14,3048784,3049784,+,2.0923879709
