name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
WTvsKO_peak_1,chr1,36112399,36113003,605,36112666,31.4,6.69973,2.69964,2.54658
WTvsKO_peak_2,chr1,36778505,36779003,499,36778806,32.27,11.12648,3.88765,5.74288
WTvsKO_peak_3,chr1,37613317,37613727,411,37613546,52.33,9.70241,2.62923,4.64762
WTvsKO_peak_4,chr1,43122771,43123295,525,43123023,37.5,7.55006,2.67866,3.13415
WTvsKO_peak_5,chr1,45769573,45769970,398,45769737,30.52,6.07296,2.58475,2.15492
WTvsKO_peak_6,chr1,54923282,54924190,909,54924189,48.84,4.84901,1.91684,1.3979
WTvsKO_peak_7,chr1,54924320,54924692,373,54924615,68.02,8.01413,2.09164,3.45036
WTvsKO_peak_8,chr1,54926978,54927963,986,54927082,40.12,9.33966,2.93691,4.37654
WTvsKO_peak_9,chr1,58737641,58738050,410,58738011,26.16,5.99891,2.71116,2.11747
WTvsKO_peak_10,chr1,63259269,63259752,484,63259352,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_11,chr1,63259984,63260345,362,63260198,33.14,6.81026,2.62615,2.62404
WTvsKO_peak_12,chr1,74197242,74197875,634,74197520,27.91,7.53378,3.21192,3.12345
WTvsKO_peak_13,chr1,74424142,74424455,314,74424258,29.65,8.21129,3.26184,3.58578
WTvsKO_peak_14,chr1,74734739,74735157,419,74734863,30.52,9.9803,3.72443,4.86432
WTvsKO_peak_15,chr1,74736091,74736640,550,74736348,39.24,7.97196,2.68387,3.41885
WTvsKO_peak_16,chr1,74737177,74738119,943,74737794,44.48,13.87458,3.78977,7.91002
WTvsKO_peak_17,chr1,74899047,74899359,313,74899292,61.05,9.54498,2.39749,4.53814
WTvsKO_peak_18,chr1,74899518,74900229,712,74900186,66.28,6.00217,1.86888,2.1194
WTvsKO_peak_19,chr1,75252301,75252993,693,75252497,42.73,13.63904,3.88289,7.71238
WTvsKO_peak_20,chr1,75384339,75385129,791,75384546,50.58,9.80671,2.71484,4.71959
WTvsKO_peak_21,chr1,75389945,75390408,464,75390207,75,14.2356,2.73916,8.21313
WTvsKO_peak_22,chr1,75403650,75404604,955,75403697,41.86,5.444,2.14305,1.76287
WTvsKO_peak_23,chr1,75404734,75405518,785,75405038,45.35,13.49041,3.63359,7.61809
WTvsKO_peak_24,chr1,75406198,75407017,820,75406803,42.73,12.60303,3.63216,6.89755
WTvsKO_peak_25,chr1,75414198,75415498,1301,75414981,41.86,9.85331,3.06149,4.76142
WTvsKO_peak_26,chr1,75429685,75430153,469,75429961,52.33,8.36336,2.40772,3.64676
WTvsKO_peak_27,chr1,75430460,75431066,607,75430857,48.84,9.11202,2.66128,4.20872
WTvsKO_peak_28,chr1,75459763,75460114,352,75459959,60.18,8.45108,2.26574,3.71452
WTvsKO_peak_29,chr1,75465714,75466085,372,75465930,37.5,5.1017,2.13891,1.53733
WTvsKO_peak_30,chr1,75480252,75480639,388,75480357,29.65,7.53865,3.05934,3.12555
WTvsKO_peak_31,chr1,75482169,75482554,386,75482479,32.27,5.61949,2.37627,1.86079
WTvsKO_peak_32,chr1,75483115,75483932,818,75483542,41.86,7.32449,2.52123,2.9692
WTvsKO_peak_33,chr1,75488525,75488937,413,75488651,45.35,7.6089,2.43944,3.17045
WTvsKO_peak_34,chr1,75555278,75555698,421,75555410,39.24,10.67438,3.29982,5.39262
WTvsKO_peak_35,chr1,75555882,75556627,746,75556468,37.5,9.78053,3.20837,4.70631
WTvsKO_peak_36,chr1,75591845,75592213,369,75592011,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_37,chr1,75624959,75625385,427,75625261,43.61,7.83834,2.55134,3.31298
WTvsKO_peak_38,chr1,83001160,83001481,322,83001451,40.12,7.37913,2.51751,3.01209
WTvsKO_peak_39,chr1,91051926,91052302,377,91052002,37.5,6.60164,2.46529,2.49855
WTvsKO_peak_40,chr1,91055048,91055762,715,91055106,32.27,7.86994,2.95372,3.33333
WTvsKO_peak_41,chr1,91068960,91069289,330,91069103,29.65,9.57236,3.69081,4.53814
WTvsKO_peak_42,chr1,133278128,133278440,313,133278279,31.4,6.69973,2.69964,2.54658
WTvsKO_peak_43,chr1,134067618,134068303,686,134068159,38.37,10.82447,3.40181,5.51952
WTvsKO_peak_44,chr1,134299900,134300241,342,134300038,38.37,7.26824,2.57236,2.92656
WTvsKO_peak_45,chr1,158936567,158937034,468,158936828,29.65,5.77257,2.55429,1.9646
WTvsKO_peak_46,chr1,180402576,180403126,551,180402828,32.27,9.96745,3.54026,4.85398
WTvsKO_peak_47,chr1,180940884,180941292,409,180941166,39.24,8.23209,2.74071,3.60209
WTvsKO_peak_48,chr1,182255674,182256563,890,182255784,40.12,10.5406,3.20773,5.28337
WTvsKO_peak_49,chr1,182815150,182815504,355,182815365,23.55,5.42882,2.72742,1.75657
WTvsKO_peak_50,chr1,183088940,183089895,956,183089589,32.27,11.50788,4.00584,6.02658
WTvsKO_peak_51,chr10,44042087,44042621,535,44042232,31.4,6.79802,2.72576,2.6161
WTvsKO_peak_52,chr10,45019034,45019345,312,45019084,29.65,6.92784,2.88051,2.71511
WTvsKO_peak_53,chr10,46009857,46010290,434,46010045,46.22,7.34756,2.36107,2.98841
WTvsKO_peak_54,chr10,60823858,60824245,388,60824137,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_55,chr10,61499325,61499685,361,61499478,31.4,9.76362,3.56545,4.69631
WTvsKO_peak_56,chr10,62108562,62108912,351,62108640,38.37,9.46255,3.07166,4.47511
WTvsKO_peak_57,chr10,63421140,63421527,388,63421372,29.65,6.60034,2.7865,2.49855
WTvsKO_peak_58,chr10,68561843,68562164,322,68561902,34.01,5.77036,2.33413,1.9646
WTvsKO_peak_59,chr10,69988995,69989416,422,69989011,33.14,6.22626,2.48272,2.2482
WTvsKO_peak_60,chr10,69991351,69991661,311,69991591,29.65,7.01585,2.90599,2.77211
WTvsKO_peak_61,chr10,69992817,69994601,1785,69994018,33.14,10.1718,3.51668,5.02065
WTvsKO_peak_62,chr10,75976653,75977040,388,75976853,25.29,7.18923,3.16575,2.86786
WTvsKO_peak_63,chr10,78257112,78257448,337,78257209,34.01,11.64573,3.8534,6.13416
WTvsKO_peak_64,chr10,79633377,79633766,390,79633559,32.27,7.65979,2.89771,3.20919
WTvsKO_peak_65,chr10,79653076,79653461,386,79653207,34.88,7.43751,2.79951,3.05238
WTvsKO_peak_66,chr10,79873529,79874033,505,79873556,53.2,8.77532,2.44709,3.95902
WTvsKO_peak_67,chr10,79935968,79936676,709,79936606,34.01,7.71317,2.79939,3.2526
WTvsKO_peak_68,chr10,80013482,80013794,313,80013755,35.76,9.77814,3.34147,4.70631
WTvsKO_peak_69,chr10,80014911,80015310,400,80014953,27.91,6.49758,2.88525,2.43634
WTvsKO_peak_70,chr10,80016463,80016982,520,80016727,32.27,7.28564,2.79914,2.93698
WTvsKO_peak_71,chr10,80017150,80017825,676,80017262,39.24,13.05708,3.8959,7.24204
WTvsKO_peak_72,chr10,80021374,80021707,334,80021658,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_73,chr10,80467027,80467489,463,80467247,27.91,8.34645,3.47924,3.64222
WTvsKO_peak_74,chr10,80524092,80524651,560,80524590,29.65,6.60034,2.7865,2.49855
WTvsKO_peak_75,chr10,80525555,80525891,337,80525590,28.78,6.26436,2.75032,2.27639
WTvsKO_peak_76,chr10,80526449,80526915,467,80526691,30.52,7.08458,2.86209,2.82659
WTvsKO_peak_77,chr10,80811570,80812193,624,80811794,36.63,9.39147,3.17434,4.41457
WTvsKO_peak_78,chr10,81206245,81206576,332,81206540,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_79,chr10,81214463,81214884,422,81214813,31.4,7.9673,3.04442,3.41696
WTvsKO_peak_80,chr10,81251571,81251881,311,81251812,40.12,5.61601,2.15972,1.85945
WTvsKO_peak_81,chr10,81467908,81468621,714,81468027,35.76,10.98154,3.66865,5.62579
WTvsKO_peak_82,chr10,81573447,81573943,497,81573865,36.63,7.46659,2.70581,3.07435
WTvsKO_peak_83,chr10,82822380,82823057,678,82822956,29.65,7.86669,3.15734,3.33272
WTvsKO_peak_84,chr10,86314507,86314898,392,86314759,28.78,7.01098,2.97229,2.7691
WTvsKO_peak_85,chr10,90050347,90050757,411,90050513,40.12,10.34495,3.16282,5.13882
WTvsKO_peak_86,chr10,93499933,93500274,342,93499977,30.52,6.07296,2.58475,2.15492
WTvsKO_peak_87,chr10,93502266,93502693,428,93502489,33.14,9.41304,3.30493,4.43175
WTvsKO_peak_88,chr10,93733177,93733774,598,93733531,27.91,7.43938,3.18152,3.05238
WTvsKO_peak_89,chr10,100356742,100357289,548,100356968,43.61,19.52166,5.371,12.76247
WTvsKO_peak_90,chr10,116449965,116450446,482,116450162,37.5,8.35339,2.86461,3.64228
WTvsKO_peak_91,chr10,117031115,117031586,472,117031347,32.27,7.37018,2.82129,3.00485
WTvsKO_peak_92,chr10,117164663,117165035,373,117165030,27.04,5.81318,2.59669,1.98847
WTvsKO_peak_93,chr10,117187462,117187780,319,117187617,47.97,6.42473,2.21084,2.39813
WTvsKO_peak_94,chr10,117398984,117399359,376,117399122,35.76,9.17877,3.18431,4.26111
WTvsKO_peak_95,chr10,117434721,117435319,599,117434898,46.22,5.1237,1.96756,1.55611
WTvsKO_peak_96,chr10,120883372,120883686,315,120883522,37.5,8.64105,2.93247,3.86544
WTvsKO_peak_97,chr10,121414659,121415087,429,121414734,36.63,7.59642,2.7364,3.16266
WTvsKO_peak_98,chr10,122048806,122049152,347,122048961,27.04,8.35105,3.37577,3.64222
WTvsKO_peak_99,chr10,126830298,126830683,386,126830573,27.04,6.49758,2.7982,2.43634
WTvsKO_peak_100,chr10,127502463,127503024,562,127502808,30.52,6.22951,2.62697,2.24876
WTvsKO_peak_101,chr10,127594404,127595189,786,127594515,30.52,10.20415,3.79582,5.02065
WTvsKO_peak_102,chr11,8919516,8920093,578,8919981,37.5,7.05964,2.56755,2.80494
WTvsKO_peak_103,chr11,72976536,72976849,314,72976611,30.52,7.75307,3.05165,3.25757
WTvsKO_peak_104,chr11,89177569,89178046,478,89177749,30.52,5.47216,2.42489,1.78272
WTvsKO_peak_105,chr11,115981653,115982003,351,115981814,35.76,7.92671,2.86755,3.38449
WTvsKO_peak_106,chr11,116238801,116239118,318,116238847,45.35,5.38961,2.03554,1.7343
WTvsKO_peak_107,chr11,116465725,116466144,420,116465750,30.52,5.60261,2.45932,1.8491
WTvsKO_peak_108,chr12,17330447,17330800,354,17330683,40.99,7.44875,2.58568,3.0582
WTvsKO_peak_109,chr12,20231852,20232215,364,20232067,48.84,8.21431,2.4994,3.58702
WTvsKO_peak_110,chr12,46997349,46997824,476,46997549,46.22,7.34756,2.36107,2.98841
WTvsKO_peak_111,chr12,69240660,69241036,377,69240821,47.09,8.43409,2.52619,3.70311
WTvsKO_peak_112,chr12,81731477,81731787,311,81731655,24.42,6.63192,3.06074,2.49855
WTvsKO_peak_113,chr12,84599251,84599561,311,84599442,26.16,6.98403,3.01812,2.75569
WTvsKO_peak_114,chr12,85216302,85216721,420,85216604,36.63,8.72591,3.00858,3.9206
WTvsKO_peak_115,chr12,86091898,86092210,313,86091949,27.04,8.35105,3.37577,3.64222
WTvsKO_peak_116,chr12,86128328,86128846,519,86128508,27.04,8.35105,3.37577,3.64222
WTvsKO_peak_117,chr12,86147769,86148482,714,86147922,34.01,12.8626,4.21587,7.0696
WTvsKO_peak_118,chr12,86215353,86215735,383,86215650,65.41,7.45373,2.06878,3.06289
WTvsKO_peak_119,chr12,86391610,86391924,315,86391636,27.91,4.98063,2.43225,1.48081
WTvsKO_peak_120,chr12,87056932,87057398,467,87057198,34.88,8.29825,3.01928,3.64222
WTvsKO_peak_121,chr12,105007988,105008354,367,105008149,55.81,8.36271,2.36727,3.64676
WTvsKO_peak_122,chr12,105009233,105009575,343,105009330,45.35,9.50188,2.80056,4.50637
WTvsKO_peak_123,chr12,105014569,105014879,311,105014800,27.04,7.85935,3.2177,3.33195
WTvsKO_peak_124,chr12,108281479,108282007,529,108281824,33.14,6.81026,2.62615,2.62404
WTvsKO_peak_125,chr12,108330095,108330712,618,108330255,61.05,8.57042,2.26161,3.81408
WTvsKO_peak_126,chr12,109540128,109540868,741,109540349,36.63,8.258,2.89448,3.62454
WTvsKO_peak_127,chr12,109541052,109541705,654,109541276,27.91,8.35105,3.48079,3.64222
WTvsKO_peak_128,chr12,110385222,110385868,647,110385679,48.84,4.84901,1.91684,1.3979
WTvsKO_peak_129,chr12,112619240,112619594,355,112619353,44.48,10.13253,2.9712,4.98862
WTvsKO_peak_130,chr12,112751550,112751937,388,112751815,38.37,6.58793,2.42456,2.49726
WTvsKO_peak_131,chr12,112772910,112773406,497,112773115,33.14,9.23393,3.25591,4.29796
WTvsKO_peak_132,chr12,112775711,112777558,1848,112776923,64.54,14.87967,3.12074,8.75682
WTvsKO_peak_133,chr12,112778066,112779278,1213,112779039,59.3,16.49043,3.54723,10.16403
WTvsKO_peak_134,chr12,112779606,112780864,1259,112780330,68.02,15.81908,3.11649,9.56909
WTvsKO_peak_135,chr12,112780988,112781413,426,112781098,51.45,7.42602,2.28061,3.05061
WTvsKO_peak_136,chr12,112781533,112782425,893,112782034,69.77,10.07981,2.35894,4.94219
WTvsKO_peak_137,chr12,112783087,112783436,350,112783252,44.48,8.65798,2.67513,3.87477
WTvsKO_peak_138,chr12,112783661,112784827,1167,112784558,69.77,22.62832,4.16283,15.57175
WTvsKO_peak_139,chr12,112785883,112786352,470,112785953,28.78,6.68379,2.87415,2.53431
WTvsKO_peak_140,chr12,112852331,112853062,732,112852369,33.14,8.66882,3.10363,3.88052
WTvsKO_peak_141,chr12,112910122,112910498,377,112910306,27.04,6.51537,2.80352,2.44451
WTvsKO_peak_142,chr12,112912836,112913563,728,112913369,29.65,9.57236,3.69081,4.53814
WTvsKO_peak_143,chr12,112914057,112914873,817,112914344,34.01,12.70279,4.1672,6.98441
WTvsKO_peak_144,chr13,38193209,38193530,322,38193337,48.84,8.17218,2.49189,3.56511
WTvsKO_peak_145,chr13,38195822,38197100,1279,38196079,44.48,6.55834,2.27386,2.48115
WTvsKO_peak_146,chr13,41026593,41027236,644,41026854,37.5,8.7635,2.96157,3.94886
WTvsKO_peak_147,chr13,45962363,45962876,514,45962536,40.12,11.61267,3.45955,6.11587
WTvsKO_peak_148,chr13,46529169,46529494,326,46529215,33.14,5.571,2.32497,1.82875
WTvsKO_peak_149,chr13,47010168,47010620,453,47010582,34.88,7.25081,2.75276,2.91136
WTvsKO_peak_150,chr13,48586597,48587085,489,48586806,44.48,12.44146,3.46388,6.75862
WTvsKO_peak_151,chr13,54957003,54957541,539,54957421,53.2,5.3459,1.91054,1.71022
WTvsKO_peak_152,chr13,57029456,57029871,416,57029613,27.04,7.61109,3.13926,3.17164
WTvsKO_peak_153,chr13,57658571,57658899,329,57658623,57.56,11.41936,2.78851,5.98962
WTvsKO_peak_154,chr13,59562341,59562729,389,59562508,38.37,6.87451,2.48647,2.67831
WTvsKO_peak_155,chr13,60760217,60760635,419,60760487,26.16,7.76246,3.27076,3.25757
WTvsKO_peak_156,chr13,91165100,91165771,672,91165669,29.65,8.5737,3.37348,3.81408
WTvsKO_peak_157,chr13,94910617,94910982,366,94910787,34.01,9.27058,3.19686,4.31814
WTvsKO_peak_158,chr13,100577152,100577507,356,100577154,35.76,4.83511,2.14047,1.38529
WTvsKO_peak_159,chr13,113348712,113349063,352,113348846,24.42,5.931,2.82432,2.07489
WTvsKO_peak_160,chr14,20653403,20653871,469,20653673,28.78,6.4286,2.79855,2.39946
WTvsKO_peak_161,chr14,25756375,25756786,412,25756581,28.78,8.74916,3.51836,3.93773
WTvsKO_peak_162,chr14,27116196,27116661,466,27116205,35.76,5.00968,2.17995,1.49993
WTvsKO_peak_163,chr14,33217543,33217945,403,33217680,33.14,8.39525,3.03115,3.67132
WTvsKO_peak_164,chr14,33366935,33367486,552,33367235,34.88,6.48095,2.56315,2.43072
WTvsKO_peak_165,chr14,46965522,46966011,490,46965636,38.37,5.47003,2.18736,1.78272
WTvsKO_peak_166,chr14,54297119,54297504,386,54297218,30.52,8.78335,3.35464,3.96252
WTvsKO_peak_167,chr14,54486845,54487204,360,54486982,31.4,5.20724,2.31398,1.60121
WTvsKO_peak_168,chr14,54878252,54878828,577,54878256,34.01,5.13681,2.18825,1.56155
WTvsKO_peak_169,chr14,54911379,54911927,549,54911851,45.35,9.12131,2.72643,4.21695
WTvsKO_peak_170,chr14,54914319,54914670,352,54914345,29.65,7.53865,3.05934,3.12555
WTvsKO_peak_171,chr14,54928354,54928713,360,54928559,36.63,6.3962,2.4584,2.3747
WTvsKO_peak_172,chr14,57690798,57691370,573,57691212,27.91,6.79569,2.97768,2.6161
WTvsKO_peak_173,chr14,62463513,62463963,451,62463849,32.27,5.94986,2.45822,2.08676
WTvsKO_peak_174,chr14,63195183,63195682,500,63195420,35.76,8.70635,3.06302,3.90958
WTvsKO_peak_175,chr14,69810692,69811023,332,69810945,28.78,6.11664,2.70722,2.17314
WTvsKO_peak_176,chr14,121242199,121242596,398,121242342,28.78,8.70971,3.50548,3.91203
WTvsKO_peak_177,chr14,121400997,121401516,520,121401411,35.76,7.12808,2.67298,2.85535
WTvsKO_peak_178,chr15,10712353,10713339,987,10713266,29.65,7.55824,3.06515,3.13878
WTvsKO_peak_179,chr15,10717678,10718149,472,10717908,27.91,8.35105,3.48079,3.64222
WTvsKO_peak_180,chr15,12374927,12375246,320,12374948,44.48,6.20605,2.20838,2.23711
WTvsKO_peak_181,chr15,31271345,31271864,520,31271655,35.76,10.98154,3.66865,5.62579
WTvsKO_peak_182,chr15,73745573,73746108,536,73745718,39.24,7.47692,2.57697,3.08294
WTvsKO_peak_183,chr15,73749465,73749923,459,73749699,27.04,8.26919,3.3492,3.63486
WTvsKO_peak_184,chr15,75645991,75646397,407,75646194,41.86,7.65633,2.58978,3.20616
WTvsKO_peak_185,chr15,75677387,75677820,434,75677603,35.76,9.37989,3.23664,4.40377
WTvsKO_peak_186,chr15,75982645,75983040,396,75982924,56.69,7.43368,2.20254,3.05238
WTvsKO_peak_187,chr15,76005165,76005528,364,76005346,50.58,7.37074,2.29672,3.00512
WTvsKO_peak_188,chr15,76012709,76013118,410,76012935,32.27,10.08861,3.57576,4.95037
WTvsKO_peak_189,chr15,76102617,76104321,1705,76103215,91.57,14.33871,2.50191,8.27721
WTvsKO_peak_190,chr15,76104543,76106008,1466,76104806,85.47,14.16388,2.56919,8.17233
WTvsKO_peak_191,chr15,76241993,76242830,838,76242078,27.04,8.35105,3.37577,3.64222
WTvsKO_peak_192,chr15,77722215,77722747,533,77722323,40.12,7.93027,2.63282,3.38596
WTvsKO_peak_193,chr15,78800852,78801329,478,78801276,29.65,8.5737,3.37348,3.81408
