name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
H3K27me3_peak_1,chr1,5072624,5072743,120,5072670,20,14.76693,7.31339,10.22361
H3K27me3_peak_2,chr1,9545664,9546396,733,9545739,21,14.46213,6.89288,9.93842
H3K27me3_peak_3,chr1,9874353,9874453,101,9874386,17,11.67513,6.26862,7.25555
H3K27me3_peak_4,chr1,12657466,12657771,306,12657648,31,25.49719,10.05783,20.66777
H3K27me3_peak_5,chr1,14051658,14051786,129,14051717,15,9.72825,5.57211,5.41179
H3K27me3_peak_6,chr1,14051963,14052074,112,14052005,19,13.71499,6.96513,9.2115
H3K27me3_peak_7,chr1,16342932,16343044,113,16342984,23,18.03953,8.35816,13.39356
H3K27me3_peak_8,chr1,21632793,21632925,133,21632850,18,12.68404,6.61688,8.22078
H3K27me3_peak_9,chr1,22327635,22327766,132,22327684,48,50.24363,17.06458,45.01118
H3K27me3_peak_10,chr1,24684062,24684250,189,24684162,46,47.41584,16.36806,42.21834
H3K27me3_peak_11,chr1,26274663,26274838,176,26274766,18,12.68404,6.61688,8.22078
H3K27me3_peak_12,chr1,26454664,26454806,143,26454714,28,23.83825,10.09944,19.04258
H3K27me3_peak_13,chr1,26687134,26687267,134,26687222,14,6.86968,4.1253,2.80562
H3K27me3_peak_14,chr1,26687991,26688200,210,26688029,19,10.99587,5.47001,6.61522
H3K27me3_peak_15,chr1,27768656,27768758,103,27768739,22,16.93004,8.0099,12.31741
H3K27me3_peak_16,chr1,32378511,32378652,142,32378571,46,47.41584,16.36806,42.21834
H3K27me3_peak_17,chr1,36287780,36287891,112,36287834,15,9.72825,5.57211,5.41179
H3K27me3_peak_18,chr1,41917946,41918046,101,41917989,19,13.71499,6.96513,9.2115
H3K27me3_peak_19,chr1,48881505,48881622,118,48881574,29,25.04412,10.4477,20.22311
H3K27me3_peak_20,chr1,55362869,55363100,232,55363021,15,7.14447,4.12531,3.02965
H3K27me3_peak_21,chr1,56143260,56143373,114,56143324,30,26.26417,10.79596,21.41497
H3K27me3_peak_22,chr1,58613921,58614027,107,58613962,23,18.03953,8.35816,13.39356
H3K27me3_peak_23,chr1,76570559,76570740,182,76570695,14,8.79301,5.22385,4.53802
H3K27me3_peak_24,chr1,83031255,83031375,121,83031320,22,16.93004,8.0099,12.31741
H3K27me3_peak_25,chr1,84962838,84963108,271,84962887,29,11.52269,4.26149,7.12448
H3K27me3_peak_26,chr1,85099143,85099276,134,85099216,40,12.00987,3.5453,7.58107
H3K27me3_peak_27,chr1,85113944,85114080,137,85113986,37,13.40301,4.11634,8.91944
H3K27me3_peak_28,chr1,85147601,85148078,478,85147679,18,10.3661,5.329,6.02466
H3K27me3_peak_29,chr1,85153949,85154055,107,85154022,22,10.97944,4.93965,6.59936
H3K27me3_peak_30,chr1,85161474,85161627,154,85161534,35,12.00537,3.87847,7.57678
H3K27me3_peak_31,chr1,85162137,85162266,130,85162198,30,8.34576,3.17074,4.13331
H3K27me3_peak_32,chr1,85166991,85167132,142,85167054,36,11.73632,3.73048,7.31465
H3K27me3_peak_33,chr1,85214257,85214357,101,85214314,26,13.00746,5.21095,8.53534
H3K27me3_peak_34,chr1,85250659,85250880,222,85250707,37,7.96599,2.73825,3.77355
H3K27me3_peak_35,chr1,85322808,85322941,134,85322928,28,6.54286,2.75817,2.5048
H3K27me3_peak_36,chr1,85340081,85340278,198,85340270,24,6.71113,3.03708,2.65969
H3K27me3_peak_37,chr1,85460488,85460593,106,85460537,22,7.08777,3.31953,2.9771
H3K27me3_peak_38,chr1,85479425,85479525,101,85479430,20,8.2446,3.99073,4.03752
H3K27me3_peak_39,chr1,85481556,85481719,164,85481656,33,16.21398,5.44706,11.62699
H3K27me3_peak_40,chr1,85491583,85491689,107,85491622,30,10.1075,3.70238,5.77651
H3K27me3_peak_41,chr1,85495014,85495145,132,85495079,32,10.8799,3.78158,6.50291
H3K27me3_peak_42,chr1,85506451,85506766,316,85506589,33,14.35493,4.79528,9.834
H3K27me3_peak_43,chr1,85536624,85536766,143,85536693,22,10.18264,4.58186,5.84861
H3K27me3_peak_44,chr1,85550468,85550574,107,85550542,28,12.87709,4.87477,8.40855
