name,chr,start,end,abs_summit,pileup,fold_enrichment
ES_H3K27me3_peak_1,chr1,3036689,3037108,3036965,21,3.69406
ES_H3K27me3_peak_2,chr1,3287879,3288100,3288048,15,3.61819
ES_H3K27me3_peak_3,chr1,3407649,3407999,3407782,19,4.12184
ES_H3K27me3_peak_4,chr1,3498525,3498715,3498576,15,3.72856
ES_H3K27me3_peak_5,chr1,3670032,3670229,3670159,34,2.59781
ES_H3K27me3_peak_6,chr1,3682864,3683317,3683237,27,2.6479
ES_H3K27me3_peak_7,chr1,4431383,4431571,4431520,14,3.57339
ES_H3K27me3_peak_8,chr1,4490933,4491535,4491406,52,2.34529
ES_H3K27me3_peak_9,chr1,4493921,4494367,4494217,51,2.02608
ES_H3K27me3_peak_10,chr1,4495114,4495649,4495276,53,2.09333
ES_H3K27me3_peak_11,chr1,4513476,4513663,4513620,18,3.02866
ES_H3K27me3_peak_12,chr1,4570888,4571392,4571167,24,2.84159
ES_H3K27me3_peak_13,chr1,4572272,4572741,4572628,37,4.12626
ES_H3K27me3_peak_14,chr1,4574666,4574980,4574821,32,3.50505
ES_H3K27me3_peak_15,chr1,4609477,4609669,4609573,16,4.10469
ES_H3K27me3_peak_16,chr1,4689494,4689680,4689538,23,3.803
ES_H3K27me3_peak_17,chr1,4689803,4690113,4689944,20,3.33752
ES_H3K27me3_peak_18,chr1,4752130,4752479,4752346,16,3.89372
ES_H3K27me3_peak_19,chr1,5017351,5017579,5017407,28,2.78683
ES_H3K27me3_peak_20,chr1,5021672,5021915,5021779,34,3.28087
ES_H3K27me3_peak_21,chr1,5043323,5043509,5043435,18,3.78448
ES_H3K27me3_peak_22,chr1,5280242,5280428,5280317,14,3.26769
ES_H3K27me3_peak_23,chr1,5302950,5303136,5302992,17,3.96974
ES_H3K27me3_peak_24,chr1,5633306,5633533,5633366,17,4.47361
ES_H3K27me3_peak_25,chr1,5918064,5918850,5918147,31,3.26274
ES_H3K27me3_peak_26,chr1,6328803,6329019,6328835,14,3.72801
ES_H3K27me3_peak_27,chr1,6358430,6358816,6358541,41,4.25799
ES_H3K27me3_peak_28,chr1,6369739,6369925,6369809,19,3.82687
ES_H3K27me3_peak_29,chr1,6383331,6384224,6383453,37,4.03611
ES_H3K27me3_peak_30,chr1,6440501,6441020,6440649,30,5.99602
ES_H3K27me3_peak_31,chr1,6915730,6916190,6915806,19,4.28706
ES_H3K27me3_peak_32,chr1,7317291,7317538,7317447,29,2.69864
ES_H3K27me3_peak_33,chr1,7323488,7323988,7323728,41,3.59085
ES_H3K27me3_peak_34,chr1,7517610,7517983,7517779,22,4.12076
ES_H3K27me3_peak_35,chr1,8762639,8762926,8762764,20,5.21921
ES_H3K27me3_peak_36,chr1,8901117,8901321,8901173,20,5.21921
ES_H3K27me3_peak_37,chr1,9112479,9112680,9112534,18,3.79863
ES_H3K27me3_peak_38,chr1,9120410,9120704,9120537,13,3.47947
ES_H3K27me3_peak_39,chr1,9174593,9174935,9174693,19,4.97068
ES_H3K27me3_peak_40,chr1,9183337,9183576,9183397,13,3.47947
ES_H3K27me3_peak_41,chr1,9300287,9301361,9300529,39,3.54453
ES_H3K27me3_peak_42,chr1,9571274,9571551,9571390,26,6.71041
ES_H3K27me3_peak_43,chr1,9782712,9782923,9782753,19,3.50116
ES_H3K27me3_peak_44,chr1,9796790,9797673,9797376,57,3.99446
ES_H3K27me3_peak_45,chr1,9798797,9799042,9798870,35,2.52816
ES_H3K27me3_peak_46,chr1,9849188,9849393,9849333,28,2.61749
ES_H3K27me3_peak_47,chr1,9849632,9850153,9850045,29,2.73545
ES_H3K27me3_peak_48,chr1,9851231,9851470,9851348,34,3.22435
ES_H3K27me3_peak_49,chr1,9965777,9966910,9966637,48,3.36596
ES_H3K27me3_peak_50,chr1,9968544,9968980,9968756,54,3.57166
ES_H3K27me3_peak_51,chr1,10010043,10010229,10010084,16,3.42438
ES_H3K27me3_peak_52,chr1,10231086,10231563,10231391,29,3.1062
ES_H3K27me3_peak_53,chr1,10233704,10234652,10234071,49,4.5904
ES_H3K27me3_peak_54,chr1,10352904,10353101,10352960,17,3.54568
ES_H3K27me3_peak_55,chr1,10804916,10805133,10805077,14,3.72264
ES_H3K27me3_peak_56,chr1,10963125,10963408,10963234,30,7.13086
ES_H3K27me3_peak_57,chr1,10992604,10993073,10992707,37,3.42982
ES_H3K27me3_peak_58,chr1,10994518,10994843,10994569,27,2.5019
ES_H3K27me3_peak_59,chr1,10995001,10995211,10995050,27,2.51873
ES_H3K27me3_peak_60,chr1,10995669,10995889,10995765,34,3.2411
ES_H3K27me3_peak_61,chr1,11412933,11413143,11413073,27,3.57805
ES_H3K27me3_peak_62,chr1,11713082,11713310,11713153,15,3.97654
ES_H3K27me3_peak_63,chr1,11784110,11784314,11784214,19,3.85446
ES_H3K27me3_peak_64,chr1,11793931,11794117,11794038,19,3.18806
ES_H3K27me3_peak_65,chr1,12114856,12115053,12114965,16,4.22508
ES_H3K27me3_peak_66,chr1,12972618,12972868,12972754,18,4.72214
ES_H3K27me3_peak_67,chr1,12993670,12993903,12993743,29,3.16129
ES_H3K27me3_peak_68,chr1,13124685,13125027,13124887,36,3.50522
ES_H3K27me3_peak_69,chr1,13375137,13375891,13375394,27,4.42373
ES_H3K27me3_peak_70,chr1,13427277,13427497,13427445,19,3.39018
ES_H3K27me3_peak_71,chr1,13493033,13493272,13493167,20,3.86605
ES_H3K27me3_peak_72,chr1,13591093,13591506,13591210,19,3.52423
ES_H3K27me3_peak_73,chr1,13682272,13682542,13682391,17,3.46901
ES_H3K27me3_peak_74,chr1,13729493,13730191,13730110,16,4.22508
ES_H3K27me3_peak_75,chr1,13737463,13737931,13737705,21,3.91536
ES_H3K27me3_peak_76,chr1,13739560,13739769,13739619,18,3.00182
ES_H3K27me3_peak_77,chr1,13918789,13919019,13918862,17,3.95344
ES_H3K27me3_peak_78,chr1,14176404,14176708,14176532,18,4.04032
ES_H3K27me3_peak_79,chr1,14293309,14293612,14293455,23,2.78113
ES_H3K27me3_peak_80,chr1,14295700,14296070,14295953,21,2.68309
ES_H3K27me3_peak_81,chr1,14308834,14309447,14308963,30,2.89576
ES_H3K27me3_peak_82,chr1,14439932,14440118,14440015,16,3.92737
ES_H3K27me3_peak_83,chr1,14505203,14505600,14505418,47,4.21156
ES_H3K27me3_peak_84,chr1,14505680,14506124,14505962,37,3.30165
ES_H3K27me3_peak_85,chr1,14583714,14583919,14583897,15,3.37553
ES_H3K27me3_peak_86,chr1,14730957,14731256,14731082,17,4.47361
ES_H3K27me3_peak_87,chr1,14758323,14758590,14758481,20,3.74987
ES_H3K27me3_peak_88,chr1,14917687,14918056,14917872,22,3.5194
ES_H3K27me3_peak_89,chr1,15008026,15008225,15008159,19,3.74644
ES_H3K27me3_peak_90,chr1,15092146,15092339,15092303,16,4.22508
ES_H3K27me3_peak_91,chr1,15257214,15257449,15257268,17,4.47361
ES_H3K27me3_peak_92,chr1,15286053,15286325,15286170,38,2.91493
ES_H3K27me3_peak_93,chr1,15287643,15288439,15287866,38,3.0074
ES_H3K27me3_peak_94,chr1,15735672,15735858,15735789,15,3.97654
ES_H3K27me3_peak_95,chr1,15893130,15893362,15893227,27,3.39934
ES_H3K27me3_peak_96,chr1,15893544,15893867,15893704,33,4.21387
ES_H3K27me3_peak_97,chr1,15894021,15894235,15894085,27,3.47024
ES_H3K27me3_peak_98,chr1,16092155,16092631,16092387,29,6.02035
ES_H3K27me3_peak_99,chr1,16106411,16106687,16106586,18,4.17307
ES_H3K27me3_peak_100,chr1,16106995,16107912,16107175,29,6.48256
ES_H3K27me3_peak_101,chr1,16517801,16518086,16517922,29,3.87998
ES_H3K27me3_peak_102,chr1,16520297,16520831,16520637,34,4.27831
ES_H3K27me3_peak_103,chr1,16617750,16617976,16617759,13,3.47947
ES_H3K27me3_peak_104,chr1,16621058,16621320,16621186,14,3.72801
ES_H3K27me3_peak_105,chr1,16953959,16954145,16954005,15,3.97654
ES_H3K27me3_peak_106,chr1,17095451,17095787,17095593,32,2.5157
ES_H3K27me3_peak_107,chr1,17096113,17096634,17096331,41,3.22017
ES_H3K27me3_peak_108,chr1,17098767,17099063,17098985,32,2.6638
ES_H3K27me3_peak_109,chr1,17153456,17153672,17153560,21,3.96818
ES_H3K27me3_peak_110,chr1,17588294,17588499,17588325,13,3.29118
ES_H3K27me3_peak_111,chr1,17651813,17652056,17651950,17,3.55879
ES_H3K27me3_peak_112,chr1,17713679,17713908,17713746,20,4.66988
ES_H3K27me3_peak_113,chr1,17726719,17726998,17726878,18,3.29375
ES_H3K27me3_peak_114,chr1,17795176,17795362,17795276,16,3.644
ES_H3K27me3_peak_115,chr1,17839339,17839549,17839432,22,5.71628
ES_H3K27me3_peak_116,chr1,18057594,18057852,18057760,30,2.44335
ES_H3K27me3_peak_117,chr1,18059043,18059511,18059283,39,2.97305
ES_H3K27me3_peak_118,chr1,18059576,18060085,18059994,35,2.68695
ES_H3K27me3_peak_119,chr1,18077217,18077713,18077433,17,3.73847
ES_H3K27me3_peak_120,chr1,18145295,18145566,18145448,18,4.02432
ES_H3K27me3_peak_121,chr1,18534943,18535490,18535349,23,4.57587
ES_H3K27me3_peak_122,chr1,18535689,18536075,18535898,15,3.14015
ES_H3K27me3_peak_123,chr1,18573461,18573684,18573572,22,4.6505
ES_H3K27me3_peak_124,chr1,18640411,18640699,18640484,15,3.40237
ES_H3K27me3_peak_125,chr1,18979332,18979536,18979455,19,3.79968
ES_H3K27me3_peak_126,chr1,19087316,19087575,19087399,19,3.4559
ES_H3K27me3_peak_127,chr1,19098846,19099122,19098930,39,2.33653
ES_H3K27me3_peak_128,chr1,19110549,19110775,19110713,43,2.42203
