name,chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
Ubn2_peak_1,chr1,4612058,4612134,77,4612098,12,7.2614,4.68111,2.83947
Ubn2_peak_2,chr1,4987913,4987964,52,4987947,12,7.2614,4.68111,2.83947
Ubn2_peak_3,chr1,5072612,5072739,128,5072715,18,10.77837,5.55036,6.11579
Ubn2_peak_4,chr1,5461690,5461771,82,5461739,11,6.39244,4.32103,2.1001
Ubn2_peak_5,chr1,7297970,7298100,131,7298003,16,9.07564,5.00412,4.51079
Ubn2_peak_6,chr1,7591371,7591425,55,7591384,11,6.39244,4.32103,2.1001
Ubn2_peak_7,chr1,8661376,8661451,76,8661401,13,8.16189,5.0412,3.64924
Ubn2_peak_8,chr1,9436827,9436878,52,9436828,10,5.55742,3.96094,1.45513
Ubn2_peak_9,chr1,12022672,12022777,106,12022711,14,7.61402,4.5405,3.1635
Ubn2_peak_10,chr1,12657460,12657511,52,12657486,16,11.03281,6.12146,6.35087
Ubn2_peak_11,chr1,16739734,16739791,58,16739754,16,9.63033,5.31316,5.02336
Ubn2_peak_12,chr1,16868862,16868940,79,16868873,12,6.4459,4.19247,2.14638
Ubn2_peak_13,chr1,18254480,18254531,52,18254497,14,9.09181,5.40128,4.51079
Ubn2_peak_14,chr1,19176279,19176342,64,19176322,41,41.41309,15.1236,36.08625
Ubn2_peak_15,chr1,19623979,19624031,53,19624019,15,10.04932,5.76137,5.41346
Ubn2_peak_16,chr1,19628081,19628132,52,19628127,11,6.34986,4.29492,2.1001
Ubn2_peak_17,chr1,21632798,21632916,119,21632874,14,9.09181,5.40128,4.51079
Ubn2_peak_18,chr1,22555906,22555969,64,22555934,35,33.3312,12.96308,28.14692
Ubn2_peak_19,chr1,24684042,24684232,191,24684162,32,25.07581,9.53868,20.04379
Ubn2_peak_20,chr1,26687524,26687598,75,26687570,14,9.09181,5.40128,4.51079
Ubn2_peak_21,chr1,34915193,34915261,69,34915240,13,8.03415,4.96454,3.55143
Ubn2_peak_22,chr1,37233049,37233122,74,37233062,14,6.08193,3.70151,1.88477
Ubn2_peak_23,chr1,44201261,44201322,62,44201284,37,35.98087,13.68326,30.75386
Ubn2_peak_24,chr1,46076091,46076142,52,46076123,17,12.04082,6.48154,7.3185
Ubn2_peak_25,chr1,46732574,46732627,54,46732597,23,18.53939,8.64206,13.63938
Ubn2_peak_26,chr1,48881523,48881606,84,48881557,16,11.03281,6.12146,6.35087
Ubn2_peak_27,chr1,55779854,55779923,70,55779882,14,8.68056,5.15747,4.13832
Ubn2_peak_28,chr1,57308896,57309007,112,57308903,11,6.24688,4.23191,2.02386
Ubn2_peak_29,chr1,58613913,58614026,114,58613960,71,76.95472,20.93754,71.23517
Ubn2_peak_30,chr1,60047634,60047690,57,60047652,15,8.76745,5.01693,4.21989
Ubn2_peak_31,chr1,63630049,63630102,54,63630058,14,9.09181,5.40128,4.51079
Ubn2_peak_32,chr1,64134033,64134084,52,64134058,19,14.12536,7.20171,9.33642
Ubn2_peak_33,chr1,69456746,69456869,124,69456830,46,48.43144,16.92403,43.01363
Ubn2_peak_34,chr1,70238431,70238492,62,70238458,12,7.2005,4.64418,2.81577
