name,chr,start,end,Xi.pval,Xi_Xa,location
faire_48087,chrX,6399511,6400273,1,,no_ase_genedata
faire_48089,chrX,7197496,7198391,0.47969,Xa_only,intergenic
faire_48090,chrX,7318835,7319811,0.44264,Xa_only,intergenic
faire_48091,chrX,7320271,7321183,0.48228,,intergenic
faire_48092,chrX,7340163,7341055,0.5233,Xa_only,intergenic
faire_48093,chrX,7375688,7376612,0.48555,,no_ase_genedata
faire_48094,chrX,7420961,7421653,0.35511,Xa_only,no_ase_genedata
faire_48095,chrX,7428683,7430065,0.73379,Xa_only,no_ase_genedata
faire_48096,chrX,7434154,7435239,0.26471,Xa_only,no_ase_genedata
faire_48097,chrX,7567353,7568221,1,,inactivated
faire_48098,chrX,7573964,7574953,0.48334,,inactivated
faire_48099,chrX,7645308,7646124,1,Xa_only,no_ase_genedata
faire_48100,chrX,7648277,7649490,0.43865,Xa_only,no_ase_genedata
faire_48101,chrX,7656873,7657556,1,,inactivated
faire_48102,chrX,7658408,7659014,0.73306,,inactivated
faire_48103,chrX,7669994,7670878,0.05874,,inactivated
faire_48104,chrX,7672444,7675418,0.85001,Xa_only,inactivated
faire_48105,chrX,7679480,7680384,0.73322,,no_ase_genedata
faire_48106,chrX,7692713,7693560,0.4118,Xa_only,inactivated
faire_48107,chrX,7696615,7697508,0.86424,,inactivated
faire_48108,chrX,7714447,7715149,1,,inactivated
faire_48109,chrX,7721299,7722339,0.53864,Xa_only,inactivated
faire_48110,chrX,7722547,7723379,0.31411,Xa_only,inactivated
faire_48111,chrX,7727934,7728998,0.68561,Xa_only,inactivated
faire_48112,chrX,7739070,7741774,0.66693,Xa_only,inactivated
faire_48113,chrX,7762092,7763156,0.62965,,inactivated
faire_48114,chrX,7763461,7764574,1,,inactivated
faire_48115,chrX,7765453,7766417,0.60652,Xa_only,inactivated
faire_48116,chrX,7776485,7777309,0.52007,,inactivated
faire_48117,chrX,7789520,7790404,1,,no_ase_genedata
faire_48118,chrX,7821209,7822977,0.18002,Xa_only,inactivated
faire_48119,chrX,7839057,7840030,0.22281,Xa_only,inactivated
faire_48120,chrX,7840741,7842465,1,Xa_only,inactivated
faire_48121,chrX,7877662,7878676,0.28151,,inactivated
faire_48122,chrX,7879614,7880441,0.62861,,inactivated
faire_48123,chrX,7883517,7884425,1,Xa_only,inactivated
faire_48124,chrX,7898480,7899771,0.01035,XaXi,inactivated
faire_48125,chrX,7919858,7920572,0.28032,,inactivated
faire_48126,chrX,7947364,7948732,0.80767,Xa_only,inactivated
faire_48127,chrX,8000180,8001197,1,Xa_only,no_ase_genedata
faire_48128,chrX,8001694,8003274,0.3488,Xa_only,no_ase_genedata
faire_48129,chrX,8016889,8017515,1,Xa_only,no_ase_genedata
faire_48130,chrX,8065873,8066884,1,,inactivated
faire_48131,chrX,8074435,8075277,1,,inactivated
faire_48132,chrX,8096578,8097462,1,Xa_only,no_ase_genedata
faire_48133,chrX,8100935,8101777,0.05981,,no_ase_genedata
faire_48134,chrX,8131732,8133299,1,Xa_only,inactivated
